Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02257,Description_Simple,0.6,0.6,0.6,0.6,True,0.6883761882781982,0.08837618827819826,True,True,True,True,False
p00007,Description_Simple,0.6,0.6,0.6,0.6,True,0.4587748646736145,0.14122513532638548,False,True,False,False,False
p00002,Description_Simple,0.2,0.2,0.2,0.2,False,0.49414846301078796,0.29414846301078795,True,False,False,False,True
p00001,Description_Simple,0.6,0.6,0.6,0.6,True,0.6363016366958618,0.03630163669586184,True,True,True,True,False
p00005,Description_Simple,0.9,0.9,0.9,0.9,True,0.8479665517807007,0.05203344821929934,True,True,True,True,False
p02255,Description_Simple,0.6,0.6,0.6,0.6,True,0.742346465587616,0.142346465587616,True,True,True,True,False
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.7232517004013062,0.17674829959869387,True,True,True,True,False
p02256,Description_Simple,0.1,0.3,0.2,0.25,False,0.7581064105033875,0.5081064105033875,False,False,True,False,False
p02259,Description_Simple,0.9,0.9,0.9,0.9,True,0.6323970556259155,0.2676029443740845,True,True,True,True,False
p00011,Description_Simple,0.1,0.1,0.1,0.1,False,0.336552232503891,0.23655223250389099,True,False,False,False,True
p02268,Description_Simple,0.4,0.3,0.35,0.32499999999999996,False,0.3917592167854309,0.06675921678543095,True,False,False,False,True
p02263,Description_Simple,0.9,0.9,0.9,0.9,True,0.6952266693115234,0.20477333068847658,True,True,True,True,False
p00006,Description_Simple,0.1,0.1,0.1,0.1,False,0.5119807720184326,0.41198077201843264,False,False,True,False,False
p02260,Description_Simple,0.9,0.9,0.9,0.9,True,0.6958762407302856,0.20412375926971438,True,True,True,True,False
p02264,Description_Simple,0.9,0.9,0.9,0.9,True,0.6802690029144287,0.2197309970855713,True,True,True,True,False
p02258,Description_Simple,0.9,0.9,0.9,0.9,True,0.6312627792358398,0.2687372207641602,True,True,True,True,False
p02396,Description_Simple,0.1,0.1,0.1,0.1,False,0.5046291947364807,0.40462919473648074,False,False,True,False,False
p02381,Description_Simple,0.8,0.6,0.7,0.6499999999999999,True,0.45304250717163086,0.19695749282836905,False,True,False,False,False
p02391,Description_Simple,0.3,0.3,0.3,0.3,False,0.4958263039588928,0.19582630395889283,True,False,False,False,True
p02389,Description_Simple,0.4,0.6,0.5,0.45,True,0.6452322006225586,0.19523220062255858,True,True,True,True,False
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.6557212471961975,0.2442787528038025,True,True,True,True,False
p02392,Description_Simple,0.0,0.0,0.0,0.0,False,0.45872846245765686,0.45872846245765686,True,False,False,False,True
p02401,Description_Simple,0.0,0.0,0.0,0.0,False,0.5284396409988403,0.5284396409988403,False,False,True,False,False
p02399,Description_Simple,0.6,0.6,0.6,0.6,True,0.7253201007843018,0.12532010078430178,True,True,True,True,False
p02398,Description_Simple,0.1,0.1,0.1,0.1,False,0.5027393698692322,0.4027393698692322,False,False,True,False,False
p02390,Description_Simple,0.2,0.2,0.2,0.2,False,0.35155555605888367,0.15155555605888366,True,False,False,False,True
p02393,Description_Simple,0.9,0.9,0.9,0.9,True,0.7315430641174316,0.16845693588256838,True,True,True,True,False
