Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00011,Description_Simple,0.1,0.2,0.15000000000000002,0.17500000000000002,False,0.47247374057769775,0.2974737405776977,True,False,False,False,True
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.7791759967803955,0.12082400321960451,True,True,True,True,False
p00005,Description_Simple,0.6,0.6,0.6,0.6,True,0.8097396492958069,0.2097396492958069,True,True,True,True,False
p00007,Description_Simple,0.8,0.6,0.7,0.6499999999999999,True,0.507576584815979,0.1424234151840209,True,True,True,True,False
p00002,Description_Simple,0.6,0.6,0.6,0.6,True,0.7552551031112671,0.1552551031112671,True,True,True,True,False
p00001,Description_Simple,0.6,0.6,0.6,0.6,True,0.663209080696106,0.06320908069610598,True,True,True,True,False
p02258,Description_Simple,0.9,0.9,0.9,0.9,True,0.6675142049789429,0.23248579502105715,True,True,True,True,False
p02268,Description_Simple,0.9,0.9,0.9,0.9,True,0.2921939194202423,0.6078060805797577,False,True,False,False,False
p02256,Description_Simple,0.6,0.6,0.6,0.6,True,0.8023584485054016,0.20235844850540163,True,True,True,True,False
p00006,Description_Simple,0.9,0.9,0.9,0.9,True,0.5920007228851318,0.3079992771148682,True,True,True,True,False
p02263,Description_Simple,0.9,0.9,0.9,0.9,True,0.752956211566925,0.14704378843307497,True,True,True,True,False
p02259,Description_Simple,0.6,0.7,0.6499999999999999,0.625,True,0.6648184061050415,0.039818406105041504,True,True,True,True,False
p02260,Description_Simple,0.9,0.9,0.9,0.9,True,0.7288628816604614,0.1711371183395386,True,True,True,True,False
p02257,Description_Simple,0.2,0.2,0.2,0.2,False,0.638843834400177,0.438843834400177,False,False,True,False,False
p02264,Description_Simple,0.9,0.9,0.9,0.9,True,0.6484299898147583,0.2515700101852417,True,True,True,True,False
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.70989590883255,0.19010409116744997,True,True,True,True,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.7336376905441284,0.1663623094558716,True,True,True,True,False
p02393,Description_Simple,0.9,0.9,0.9,0.9,True,0.6012869477272034,0.29871305227279665,True,True,True,True,False
p02396,Description_Simple,0.6,0.6,0.6,0.6,True,0.516758382320404,0.08324161767959593,True,True,True,True,False
p02397,Description_Simple,0.6,0.6,0.6,0.6,True,0.7170374989509583,0.11703749895095827,True,True,True,True,False
p02390,Description_Simple,0.6,0.6,0.6,0.6,True,0.39406993985176086,0.2059300601482391,False,True,False,False,False
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.7133424878120422,0.18665751218795779,True,True,True,True,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.5963076949119568,0.30369230508804324,True,True,True,True,False
p02389,Description_Simple,0.9,0.9,0.9,0.9,True,0.684237539768219,0.21576246023178103,True,True,True,True,False
p02394,Description_Simple,0.9,0.9,0.9,0.9,True,0.8000918626785278,0.09990813732147219,True,True,True,True,False
p02401,Description_Simple,0.9,0.9,0.9,0.9,True,0.6189510226249695,0.28104897737503054,True,True,True,True,False
p02399,Description_Simple,0.9,0.9,0.9,0.9,True,0.7351545691490173,0.1648454308509827,True,True,True,True,False
p02400,Description_Simple,0.9,0.9,0.9,0.9,True,0.7800237536430359,0.11997624635696413,True,True,True,True,False
p02391,Description_Simple,0.9,0.9,0.9,0.9,True,0.7118684649467468,0.1881315350532532,True,True,True,True,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.6103874444961548,0.28961255550384524,True,True,True,True,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.7514915466308594,0.14850845336914065,True,True,True,True,False
p02398,Description_Simple,0.6,0.6,0.6,0.6,True,0.6251856088638306,0.02518560886383059,True,True,True,True,False
p02409,Description_Simple,0.5,0.5,0.5,0.5,True,0.4219215512275696,0.07807844877243042,False,True,False,False,False
p02405,Description_Simple,0.6,0.6,0.6,0.6,True,0.5601184964179993,0.03988150358200071,True,True,True,True,False
p02410,Description_Simple,0.9,0.9,0.9,0.9,True,0.6547484397888184,0.24525156021118166,True,True,True,True,False
p02406,Description_Simple,0.9,0.9,0.9,0.9,True,0.30515599250793457,0.5948440074920655,False,True,False,False,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.7426605224609375,0.15733947753906252,True,True,True,True,False
p02412,Description_Simple,0.9,0.9,0.9,0.9,True,0.7275241613388062,0.17247583866119387,True,True,True,True,False
p02413,Description_Simple,0.6,0.6,0.6,0.6,True,0.660426676273346,0.06042667627334597,True,True,True,True,False
p02414,Description_Simple,0.9,0.9,0.9,0.9,True,0.6476535797119141,0.25234642028808596,True,True,True,True,False
p02408,Description_Simple,0.2,0.2,0.2,0.2,False,0.2459576427936554,0.045957642793655384,True,False,False,False,True
p02407,Description_Simple,0.6,0.6,0.6,0.6,True,0.4668334126472473,0.13316658735275266,False,True,False,False,False
p02415,Description_Simple,0.6,0.9,0.75,0.75,True,0.8083888292312622,0.05838882923126221,True,True,True,True,False
p02417,Description_Simple,0.9,0.9,0.9,0.9,True,0.7724695801734924,0.1275304198265076,True,True,True,True,False
p02419,Description_Simple,0.7,0.7,0.7,0.7,True,0.7440532445907593,0.04405324459075932,True,True,True,True,False
p02404,Description_Simple,0.6,0.6,0.6,0.6,True,0.4449543058872223,0.1550456941127777,False,True,False,False,False
p02418,Description_Simple,0.9,0.9,0.9,0.9,True,0.7068426609039307,0.19315733909606936,True,True,True,True,False
p02416,Description_Simple,0.9,0.9,0.9,0.9,True,0.7110341787338257,0.18896582126617434,True,True,True,True,False
p02553,Description_Simple,0.9,0.9,0.9,0.9,True,0.6853705048561096,0.2146294951438904,True,True,True,True,False
p02420,Description_Simple,0.6,0.6,0.6,0.6,True,0.5018314719200134,0.09816852807998655,True,True,True,True,False
p02578,Description_Simple,0.6,0.6,0.6,0.6,True,0.5103653073310852,0.08963469266891477,True,True,True,True,False
p02576,Description_Simple,0.6,0.6,0.6,0.6,True,0.24540331959724426,0.3545966804027557,False,True,False,False,False
p02621,Description_Simple,0.9,0.9,0.9,0.9,True,0.2758795917034149,0.6241204082965851,False,True,False,False,False
p02570,Description_Simple,0.2,0.2,0.2,0.2,False,0.2406184822320938,0.0406184822320938,True,False,False,False,True
p02613,Description_Simple,0.6,0.6,0.6,0.6,True,0.47090595960617065,0.12909404039382932,False,True,False,False,False
p02552,Description_Simple,0.9,0.9,0.9,0.9,True,0.5907436609268188,0.3092563390731812,True,True,True,True,False
p02547,Description_Simple,0.6,0.6,0.6,0.6,True,0.456832617521286,0.14316738247871397,False,True,False,False,False
p02421,Description_Simple,0.7,0.7,0.7,0.7,True,0.6655076146125793,0.03449238538742061,True,True,True,True,False
p02622,Description_Simple,0.6,0.6,0.6,0.6,True,0.39811623096466064,0.20188376903533933,False,True,False,False,False
p02571,Description_Simple,0.6,0.6,0.6,0.6,True,0.5034998059272766,0.09650019407272337,True,True,True,True,False
p02595,Description_Simple,0.6,0.6,0.6,0.6,True,0.7121720910072327,0.11217209100723269,True,True,True,True,False
p02582,Description_Simple,0.9,0.9,0.9,0.9,True,0.735798180103302,0.16420181989669802,True,True,True,True,False
p02612,Description_Simple,0.0,0.0,0.0,0.0,False,0.2967830300331116,0.2967830300331116,True,False,False,False,True
p02577,Description_Simple,0.9,0.9,0.9,0.9,True,0.812483012676239,0.08751698732376101,True,True,True,True,False
p02629,Description_Simple,0.9,0.9,0.9,0.9,True,0.5873834490776062,0.3126165509223938,True,True,True,True,False
p02676,Description_Simple,0.7,0.7,0.7,0.7,True,0.5280657410621643,0.17193425893783565,True,True,True,True,False
p02627,Description_Simple,0.9,0.9,0.9,0.9,True,0.852609395980835,0.04739060401916506,True,True,True,True,False
p02628,Description_Simple,0.9,0.9,0.9,0.9,True,0.66689532995224,0.23310467004776003,True,True,True,True,False
p02677,Description_Simple,0.2,0.2,0.2,0.2,False,0.5552176237106323,0.3552176237106323,False,False,True,False,False
p02681,Description_Simple,0.6,0.6,0.6,0.6,True,0.4618918299674988,0.1381081700325012,False,True,False,False,False
