Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02994,Description_Fewshot,0.1,0.9,0.5,True,0.49299365282058716,0.007006347179412842,False,True,False,False,False
p02994,Description_Reason,0.9,0.9,0.9,True,0.5449862480163574,0.3550137519836426,True,True,True,True,False
p02994,Description_Simple,0.9,0.6,0.75,True,0.5760471224784851,0.1739528775215149,True,True,True,True,False
p02922,Description_Fewshot,0.9,0.1,0.5,True,0.43593019247055054,0.06406980752944946,False,True,False,False,False
p02922,Description_Reason,0.9,0.9,0.9,True,0.416963666677475,0.48303633332252505,False,True,False,False,False
p02922,Description_Simple,0.9,0.9,0.9,True,0.37533921003341675,0.5246607899665833,False,True,False,False,False
p02414,Description_Fewshot,0.1,0.2,0.15000000000000002,False,0.6909347176551819,0.5409347176551819,False,False,True,False,False
p02414,Description_Reason,0.2,0.9,0.55,True,0.6656231880187988,0.11562318801879878,True,True,True,True,False
p02414,Description_Simple,0.6,0.2,0.4,False,0.6549320220947266,0.25493202209472654,False,False,True,False,False
p03854,Description_Fewshot,0.6,0.6,0.6,True,0.43854549527168274,0.16145450472831724,False,True,False,False,False
p03854,Description_Reason,0.9,0.6,0.75,True,0.3882685601711273,0.3617314398288727,False,True,False,False,False
p03854,Description_Simple,0.2,0.6,0.4,False,0.4666846990585327,0.06668469905853269,True,False,False,False,True
p03324,Description_Fewshot,0.6,0.6,0.6,True,0.4269338548183441,0.17306614518165586,False,True,False,False,False
p03324,Description_Reason,0.6,0.6,0.6,True,0.3642292618751526,0.2357707381248474,False,True,False,False,False
p03324,Description_Simple,0.6,0.9,0.75,True,0.4447596073150635,0.3052403926849365,False,True,False,False,False
p02970,Description_Fewshot,0.9,0.6,0.75,True,0.38480284810066223,0.36519715189933777,False,True,False,False,False
p02970,Description_Reason,0.9,0.8,0.8500000000000001,True,0.3714877665042877,0.47851223349571237,False,True,False,False,False
p02970,Description_Simple,0.9,0.6,0.75,True,0.3940720856189728,0.3559279143810272,False,True,False,False,False
p02771,Description_Fewshot,0.9,0.1,0.5,True,0.6281954646110535,0.12819546461105347,True,True,True,True,False
p02771,Description_Reason,0.9,0.8,0.8500000000000001,True,0.615460991859436,0.23453900814056405,True,True,True,True,False
p02771,Description_Simple,0.9,0.9,0.9,True,0.6040875315666199,0.29591246843338015,True,True,True,True,False
p02258,Description_Fewshot,0.9,0.9,0.9,True,0.6867154240608215,0.2132845759391785,True,True,True,True,False
p02258,Description_Reason,0.9,0.9,0.9,True,0.7003952264785767,0.19960477352142336,True,True,True,True,False
p02258,Description_Simple,0.9,0.9,0.9,True,0.6528099775314331,0.24719002246856692,True,True,True,True,False
p02682,Description_Fewshot,0.9,0.9,0.9,True,0.5784860849380493,0.3215139150619507,True,True,True,True,False
p02682,Description_Reason,0.1,0.9,0.5,True,0.532393217086792,0.03239321708679199,True,True,True,True,False
p02682,Description_Simple,0.1,0.0,0.05,False,0.6107377409934998,0.5607377409934997,False,False,True,False,False
p02677,Description_Fewshot,0.0,0.2,0.1,False,0.5375446677207947,0.4375446677207947,False,False,True,False,False
p02677,Description_Reason,0.1,0.9,0.5,True,0.4328591823577881,0.06714081764221191,False,True,False,False,False
p02677,Description_Simple,0.8,0.0,0.4,False,0.5409820079803467,0.14098200798034666,False,False,True,False,False
p02628,Description_Fewshot,0.6,0.9,0.75,True,0.5241031050682068,0.2258968949317932,True,True,True,True,False
p02628,Description_Reason,0.9,0.9,0.9,True,0.45548251271247864,0.4445174872875214,False,True,False,False,False
p02628,Description_Simple,0.7,0.9,0.8,True,0.39975833892822266,0.4002416610717774,False,True,False,False,False
p03814,Description_Fewshot,0.9,0.9,0.9,True,0.6180948615074158,0.28190513849258425,True,True,True,True,False
p03814,Description_Reason,0.2,0.1,0.15000000000000002,False,0.5472882390022278,0.39728823900222776,False,False,True,False,False
p03814,Description_Simple,0.5,0.2,0.35,False,0.579302191734314,0.229302191734314,False,False,True,False,False
p02959,Description_Fewshot,0.9,0.6,0.75,True,0.39440980553627014,0.35559019446372986,False,True,False,False,False
p02959,Description_Reason,0.0,0.2,0.1,False,0.13938003778457642,0.03938003778457641,True,False,False,False,True
p02959,Description_Simple,0.6,0.6,0.6,True,0.36900657415390015,0.23099342584609983,False,True,False,False,False
p03220,Description_Fewshot,0.9,0.9,0.9,True,0.39632081985473633,0.5036791801452637,False,True,False,False,False
p03220,Description_Reason,0.9,0.0,0.45,False,0.3267296850681305,0.12327031493186952,True,False,False,False,True
p03220,Description_Simple,0.0,0.1,0.05,False,0.3837265372276306,0.3337265372276306,True,False,False,False,True
p02909,Description_Fewshot,0.2,0.9,0.55,True,0.26113271713256836,0.2888672828674317,False,True,False,False,False
p02909,Description_Reason,0.0,0.9,0.45,False,0.3537503480911255,0.09624965190887452,True,False,False,False,True
p02909,Description_Simple,0.9,0.0,0.45,False,0.23359844088554382,0.2164015591144562,True,False,False,False,True
p02389,Description_Fewshot,0.2,0.1,0.15000000000000002,False,0.37006711959838867,0.22006711959838865,True,False,False,False,True
p02389,Description_Reason,0.0,0.3,0.15,False,0.6880913972854614,0.5380913972854614,False,False,True,False,False
p02389,Description_Simple,0.9,0.0,0.45,False,0.40541329979896545,0.04458670020103456,True,False,False,False,True
p03448,Description_Fewshot,0.9,0.3,0.6,True,0.6720966696739197,0.0720966696739197,True,True,True,True,False
p03448,Description_Reason,0.3,0.9,0.6,True,0.6924507021903992,0.09245070219039919,True,True,True,True,False
p03448,Description_Simple,0.0,0.9,0.45,False,0.6841187477111816,0.23411874771118163,False,False,True,False,False
p02717,Description_Fewshot,0.0,0.0,0.0,False,0.43763911724090576,0.43763911724090576,True,False,False,False,True
p02717,Description_Reason,0.2,0.0,0.1,False,0.40792909264564514,0.30792909264564516,True,False,False,False,True
p02717,Description_Simple,0.8,0.2,0.5,True,0.44592323899269104,0.05407676100730896,False,True,False,False,False
p03109,Description_Fewshot,0.6,0.8,0.7,True,0.5503382682800293,0.14966173171997066,True,True,True,True,False
p03109,Description_Reason,0.8,0.2,0.5,True,0.5601637959480286,0.060163795948028564,True,True,True,True,False
p03109,Description_Simple,0.9,0.9,0.9,True,0.5611540675163269,0.3388459324836731,True,True,True,True,False
p02391,Description_Fewshot,0.9,0.6,0.75,True,0.7024232149124146,0.04757678508758545,True,True,True,True,False
p02391,Description_Reason,0.6,0.9,0.75,True,0.7648978233337402,0.014897823333740234,True,True,True,True,False
p02391,Description_Simple,0.1,0.9,0.5,True,0.6493183970451355,0.1493183970451355,True,True,True,True,False
p02577,Description_Fewshot,0.9,0.9,0.9,True,0.6486655473709106,0.2513344526290894,True,True,True,True,False
p02577,Description_Reason,0.6,0.9,0.75,True,0.6051447987556458,0.14485520124435425,True,True,True,True,False
p02577,Description_Simple,0.6,0.8,0.7,True,0.7217522859573364,0.02175228595733647,True,True,True,True,False
p02880,Description_Fewshot,0.9,0.6,0.75,True,0.5926672220230103,0.15733277797698975,True,True,True,True,False
p02880,Description_Reason,0.8,0.6,0.7,True,0.4861389398574829,0.21386106014251705,False,True,False,False,False
p02880,Description_Simple,0.6,0.6,0.6,True,0.5845319628715515,0.015468037128448464,True,True,True,True,False
p03293,Description_Fewshot,0.9,0.9,0.9,True,0.6786197423934937,0.22138025760650637,True,True,True,True,False
p03293,Description_Reason,0.9,0.6,0.75,True,0.6105861663818359,0.13941383361816406,True,True,True,True,False
p03293,Description_Simple,0.3,0.8,0.55,True,0.5471915602684021,0.002808439731597945,True,True,True,True,False
p03102,Description_Fewshot,0.2,0.6,0.4,False,0.5115042328834534,0.11150423288345335,False,False,True,False,False
p03102,Description_Reason,0.6,0.6,0.6,True,0.16546675562858582,0.43453324437141416,False,True,False,False,False
p03102,Description_Simple,0.9,0.6,0.75,True,0.4041924476623535,0.3458075523376465,False,True,False,False,False
p02729,Description_Fewshot,0.9,0.6,0.75,True,0.42952466011047363,0.32047533988952637,False,True,False,False,False
p02729,Description_Reason,0.6,0.5,0.55,True,0.1965530514717102,0.35344694852828984,False,True,False,False,False
p02729,Description_Simple,0.9,0.3,0.6,True,0.4437248110771179,0.15627518892288206,False,True,False,False,False
p03434,Description_Fewshot,0.6,0.6,0.6,True,0.5268219113349915,0.07317808866500852,True,True,True,True,False
p03434,Description_Reason,0.6,0.9,0.75,True,0.4762093424797058,0.2737906575202942,False,True,False,False,False
p03434,Description_Simple,0.2,0.4,0.30000000000000004,False,0.4738531708717346,0.17385317087173457,True,False,False,False,True
p02706,Description_Fewshot,0.9,0.2,0.55,True,0.3697315454483032,0.18026845455169682,False,True,False,False,False
p02706,Description_Reason,0.1,0.9,0.5,True,0.30579549074172974,0.19420450925827026,False,True,False,False,False
p02706,Description_Simple,0.9,0.3,0.6,True,0.5778031349182129,0.022196865081787087,True,True,True,True,False
p02404,Description_Fewshot,0.2,0.9,0.55,True,0.5509120225906372,0.0009120225906371626,True,True,True,True,False
p02404,Description_Reason,0.9,0.6,0.75,True,0.41281837224960327,0.33718162775039673,False,True,False,False,False
p02404,Description_Simple,0.9,0.4,0.65,True,0.403454452753067,0.246545547246933,False,True,False,False,False
p04030,Description_Fewshot,0.9,0.6,0.75,True,0.6860389709472656,0.06396102905273438,True,True,True,True,False
p04030,Description_Reason,0.6,0.2,0.4,False,0.379526823759079,0.020473176240921043,True,False,False,False,True
p04030,Description_Simple,0.3,0.9,0.6,True,0.5941210985183716,0.005878901481628396,True,True,True,True,False
p02911,Description_Fewshot,0.6,0.3,0.44999999999999996,False,0.2780817747116089,0.17191822528839107,True,False,False,False,True
p02911,Description_Reason,0.3,0.6,0.44999999999999996,False,0.35841891169548035,0.09158108830451961,True,False,False,False,True
p02911,Description_Simple,0.2,0.9,0.55,True,0.3138909339904785,0.23610906600952153,False,True,False,False,False
p03325,Description_Fewshot,0.2,0.9,0.55,True,0.3988895118236542,0.15111048817634587,False,True,False,False,False
p03325,Description_Reason,0.8,0.9,0.8500000000000001,True,0.3904518783092499,0.4595481216907502,False,True,False,False,False
p03325,Description_Simple,0.8,0.2,0.5,True,0.371267706155777,0.12873229384422302,False,True,False,False,False
p02418,Description_Fewshot,0.1,0.1,0.1,False,0.6305374503135681,0.5305374503135681,False,False,True,False,False
p02418,Description_Reason,0.2,0.2,0.2,False,0.4879922568798065,0.2879922568798065,True,False,False,False,True
p02418,Description_Simple,0.9,0.8,0.8500000000000001,True,0.542987585067749,0.30701241493225107,True,True,True,True,False
p02779,Description_Fewshot,0.1,0.2,0.15000000000000002,False,0.4402875602245331,0.29028756022453306,True,False,False,False,True
p02779,Description_Reason,0.2,0.6,0.4,False,0.43161630630493164,0.03161630630493162,True,False,False,False,True
p02779,Description_Simple,0.2,0.9,0.55,True,0.4373181462287903,0.11268185377120976,False,True,False,False,False
p00011,Description_Fewshot,0.9,0.6,0.75,True,0.5383539795875549,0.21164602041244507,True,True,True,True,False
p00011,Description_Reason,0.9,0.1,0.5,True,0.5749433040618896,0.07494330406188965,True,True,True,True,False
p00011,Description_Simple,0.6,0.2,0.4,False,0.5660480260848999,0.16604802608489988,False,False,True,False,False
p02832,Description_Fewshot,0.6,0.8,0.7,True,0.43326833844184875,0.2667316615581512,False,True,False,False,False
p02832,Description_Reason,0.8,0.6,0.7,True,0.33598199486732483,0.3640180051326751,False,True,False,False,False
p02832,Description_Simple,0.9,0.9,0.9,True,0.35535842180252075,0.5446415781974793,False,True,False,False,False
p02578,Description_Fewshot,0.6,0.6,0.6,True,0.6021062135696411,0.0021062135696411355,True,True,True,True,False
p02578,Description_Reason,0.8,0.9,0.8500000000000001,True,0.3749186396598816,0.4750813603401185,False,True,False,False,False
p02578,Description_Simple,0.8,0.0,0.4,False,0.3258107900619507,0.07418920993804934,True,False,False,False,True
p02718,Description_Fewshot,0.9,0.6,0.75,True,0.5153314471244812,0.2346685528755188,True,True,True,True,False
p02718,Description_Reason,0.9,0.9,0.9,True,0.5381367802619934,0.3618632197380066,True,True,True,True,False
p02718,Description_Simple,0.0,0.8,0.4,False,0.5433472990989685,0.14334729909896848,False,False,True,False,False
p02396,Description_Fewshot,0.2,0.8,0.5,True,0.5143955945968628,0.014395594596862793,True,True,True,True,False
p02396,Description_Reason,0.6,0.8,0.7,True,0.4570566713809967,0.24294332861900325,False,True,False,False,False
p02396,Description_Simple,0.6,0.6,0.6,True,0.5601745247840881,0.03982547521591184,True,True,True,True,False
p02641,Description_Fewshot,0.9,0.6,0.75,True,0.6255237460136414,0.12447625398635864,True,True,True,True,False
p02641,Description_Reason,0.6,0.9,0.75,True,0.5394829511642456,0.2105170488357544,True,True,True,True,False
p02641,Description_Simple,0.6,0.6,0.6,True,0.5297645926475525,0.07023540735244749,True,True,True,True,False
p02621,Description_Fewshot,0.9,0.2,0.55,True,0.48666369915008545,0.0633363008499146,False,True,False,False,False
p02621,Description_Reason,0.6,0.9,0.75,True,0.4357168972492218,0.3142831027507782,False,True,False,False,False
p02621,Description_Simple,0.9,0.9,0.9,True,0.4513159394264221,0.4486840605735779,False,True,False,False,False
p02399,Description_Fewshot,0.9,0.8,0.8500000000000001,True,0.719437301158905,0.13056269884109506,True,True,True,True,False
p02399,Description_Reason,0.9,0.9,0.9,True,0.7095444798469543,0.19045552015304568,True,True,True,True,False
p02399,Description_Simple,0.6,0.6,0.6,True,0.6197618246078491,0.019761824607849143,True,True,True,True,False
p02879,Description_Fewshot,0.6,0.9,0.75,True,0.391664981842041,0.358335018157959,False,True,False,False,False
p02879,Description_Reason,0.9,0.9,0.9,True,0.30380088090896606,0.596199119091034,False,True,False,False,False
p02879,Description_Simple,0.9,0.9,0.9,True,0.386678546667099,0.513321453332901,False,True,False,False,False
p02812,Description_Fewshot,0.9,0.6,0.75,True,0.6200895309448242,0.12991046905517578,True,True,True,True,False
p02812,Description_Reason,0.9,0.5,0.7,True,0.6050840616226196,0.09491593837738033,True,True,True,True,False
p02812,Description_Simple,0.1,0.2,0.15000000000000002,False,0.6528888940811157,0.5028888940811157,False,False,True,False,False
p02923,Description_Fewshot,0.6,0.9,0.75,True,0.36651211977005005,0.38348788022994995,False,True,False,False,False
p02923,Description_Reason,0.2,0.9,0.55,True,0.41409897804260254,0.1359010219573975,False,True,False,False,False
p02923,Description_Simple,0.6,0.6,0.6,True,0.3257431387901306,0.27425686120986936,False,True,False,False,False
p02419,Description_Fewshot,0.6,0.7,0.6499999999999999,True,0.7261327505111694,0.07613275051116952,True,True,True,True,False
p02419,Description_Reason,0.9,0.9,0.9,True,0.6791792511940002,0.22082074880599978,True,True,True,True,False
p02419,Description_Simple,0.9,0.2,0.55,True,0.6851043105125427,0.13510431051254268,True,True,True,True,False
p02388,Description_Fewshot,0.2,0.0,0.1,False,0.7369205355644226,0.6369205355644226,False,False,True,False,False
p02388,Description_Reason,0.9,0.1,0.5,True,0.7195841670036316,0.2195841670036316,True,True,True,True,False
p02388,Description_Simple,0.0,0.2,0.1,False,0.7474491596221924,0.6474491596221924,False,False,True,False,False
p03076,Description_Fewshot,0.9,0.9,0.9,True,0.3265933096408844,0.5734066903591156,False,True,False,False,False
p03076,Description_Reason,0.9,0.7,0.8,True,0.3575872778892517,0.44241272211074834,False,True,False,False,False
p03076,Description_Simple,0.7,0.9,0.8,True,0.31534895300865173,0.4846510469913483,False,True,False,False,False
p02639,Description_Fewshot,0.1,0.6,0.35,False,0.4544389545917511,0.10443895459175112,True,False,False,False,True
p02639,Description_Reason,0.9,0.9,0.9,True,0.30257776379585266,0.5974222362041474,False,True,False,False,False
p02639,Description_Simple,0.9,0.0,0.45,False,0.3557135760784149,0.0942864239215851,True,False,False,False,True
p02263,Description_Fewshot,0.4,0.9,0.65,True,0.6503744721412659,0.00037447214126584694,True,True,True,True,False
p02263,Description_Reason,0.6,0.9,0.75,True,0.7635250687599182,0.013525068759918213,True,True,True,True,False
p02263,Description_Simple,0.9,0.9,0.9,True,0.5538683533668518,0.3461316466331482,True,True,True,True,False
p03282,Description_Fewshot,0.9,0.6,0.75,True,0.34069105982780457,0.40930894017219543,False,True,False,False,False
p03282,Description_Reason,0.0,0.1,0.05,False,0.31394147872924805,0.26394147872924806,True,False,False,False,True
p03282,Description_Simple,0.1,0.0,0.05,False,0.32317423820495605,0.27317423820495607,True,False,False,False,True
p02693,Description_Fewshot,0.1,0.2,0.15000000000000002,False,0.4979530870914459,0.3479530870914459,True,False,False,False,True
p02693,Description_Reason,0.2,0.6,0.4,False,0.37873125076293945,0.02126874923706057,True,False,False,False,True
p02693,Description_Simple,0.9,0.6,0.75,True,0.46791619062423706,0.28208380937576294,False,True,False,False,False
p02886,Description_Fewshot,0.9,0.0,0.45,False,0.3465003967285156,0.10349960327148439,True,False,False,False,True
p02886,Description_Reason,0.6,0.9,0.75,True,0.3686518669128418,0.3813481330871582,False,True,False,False,False
p02886,Description_Simple,0.2,0.1,0.15000000000000002,False,0.5880204439163208,0.4380204439163208,False,False,True,False,False
