Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02577,Description_Simple,0.9,0.9,0.9,0.9,True,0.7705389261245728,0.12946107387542727,True,True,True,True,False
p03035,Description_Simple,0.1,0.1,0.1,0.1,False,0.21157017350196838,0.11157017350196838,True,False,False,False,True
p02921,Description_Simple,0.6,0.6,0.6,0.6,True,0.5710304379463196,0.028969562053680398,True,True,True,True,False
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.5991538166999817,0.30084618330001833,True,True,True,True,False
p03456,Description_Simple,0.6,0.6,0.6,0.6,True,0.6768987774848938,0.07689877748489382,True,True,True,True,False
p03059,Description_Simple,0.2,0.2,0.2,0.2,False,0.4176074266433716,0.21760742664337157,True,False,False,False,True
p02988,Description_Simple,0.5,0.5,0.5,0.5,True,0.48408567905426025,0.015914320945739746,False,True,False,False,False
p02729,Description_Simple,0.7,0.6,0.6499999999999999,0.625,True,0.5131187438964844,0.11188125610351562,True,True,True,True,False
p02910,Description_Simple,0.6,0.6,0.6,0.6,True,0.49164456129074097,0.10835543870925901,False,True,False,False,False
p02711,Description_Simple,0.1,0.1,0.1,0.1,False,0.4084579646587372,0.3084579646587372,True,False,False,False,True
p02773,Description_Simple,0.5,0.5,0.5,0.5,True,0.6210823059082031,0.12108230590820312,True,True,True,True,False
p02381,Description_Simple,0.6,0.6,0.6,0.6,True,0.6505245566368103,0.050524556636810325,True,True,True,True,False
p02917,Description_Simple,0.0,0.1,0.05,0.025,False,0.2789580523967743,0.25395805239677427,True,False,False,False,True
p03494,Description_Simple,0.2,0.2,0.2,0.2,False,0.1510767936706543,0.048923206329345714,True,False,False,False,True
p03469,Description_Simple,0.1,0.0,0.05,0.07500000000000001,False,0.23102855682373047,0.15602855682373046,True,False,False,False,True
p02570,Description_Simple,0.6,0.6,0.6,0.6,True,0.5605833530426025,0.03941664695739744,True,True,True,True,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.4120892286300659,0.2120892286300659,True,False,False,False,True
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.7500830888748169,0.14991691112518313,True,True,True,True,False
p03434,Description_Simple,0.6,0.6,0.6,0.6,True,0.6201978921890259,0.0201978921890259,True,True,True,True,False
p02981,Description_Simple,0.1,0.1,0.1,0.1,False,0.1407952904701233,0.040795290470123285,True,False,False,False,True
p02772,Description_Simple,0.5,0.5,0.5,0.5,True,0.7000058889389038,0.2000058889389038,True,True,True,True,False
p02718,Description_Simple,0.9,0.9,0.9,0.9,True,0.47426265478134155,0.42573734521865847,False,True,False,False,False
p03239,Description_Simple,0.2,0.2,0.2,0.2,False,0.14474506676197052,0.05525493323802949,True,False,False,False,True
p02576,Description_Simple,0.0,0.0,0.0,0.0,False,0.2057448923587799,0.2057448923587799,True,False,False,False,True
p02547,Description_Simple,0.6,0.6,0.6,0.6,True,0.5160977244377136,0.08390227556228635,True,True,True,True,False
p04012,Description_Simple,0.9,0.9,0.9,0.9,True,0.709559440612793,0.19044055938720705,True,True,True,True,False
p02786,Description_Simple,0.3,0.1,0.2,0.25,False,0.3049006462097168,0.0549006462097168,True,False,False,False,True
p02571,Description_Simple,0.6,0.6,0.6,0.6,True,0.4859194755554199,0.11408052444458006,False,True,False,False,False
p03457,Description_Simple,0.9,0.9,0.9,0.9,True,0.7774454951286316,0.12255450487136843,True,True,True,True,False
p02911,Description_Simple,0.2,0.4,0.30000000000000004,0.35000000000000003,False,0.40240246057510376,0.052402460575103726,True,False,False,False,True
p02916,Description_Simple,0.2,0.2,0.2,0.2,False,0.2727867364883423,0.07278673648834227,True,False,False,False,True
p02582,Description_Simple,0.6,0.6,0.6,0.6,True,0.42388150095939636,0.17611849904060362,False,True,False,False,False
p02578,Description_Simple,0.2,0.2,0.2,0.2,False,0.3983173668384552,0.1983173668384552,True,False,False,False,True
p02989,Description_Simple,0.6,0.6,0.6,0.6,True,0.2911617159843445,0.3088382840156555,False,True,False,False,False
p02389,Description_Simple,0.2,0.2,0.2,0.2,False,0.3526902198791504,0.15269021987915038,True,False,False,False,True
p02717,Description_Simple,0.0,0.0,0.0,0.0,False,0.34580114483833313,0.34580114483833313,True,False,False,False,True
p02987,Description_Simple,0.2,0.2,0.2,0.2,False,0.5926549434661865,0.3926549434661865,False,False,True,False,False
p03060,Description_Simple,0.2,0.2,0.2,0.2,False,0.3743840157985687,0.17438401579856871,True,False,False,False,True
p02264,Description_Simple,0.6,0.5,0.55,0.575,True,0.5448225736618042,0.030177426338195756,True,True,True,True,False
p02899,Description_Simple,0.2,0.2,0.2,0.2,False,0.2778434157371521,0.07784341573715209,True,False,False,False,True
p03435,Description_Simple,0.5,0.2,0.35,0.275,False,0.4304068088531494,0.1554068088531494,True,False,False,False,True
p02719,Description_Simple,0.2,0.0,0.1,0.15000000000000002,False,0.5119940042495728,0.36199400424957273,False,False,True,False,False
p03316,Description_Simple,0.3,0.6,0.44999999999999996,0.375,False,0.6449240446090698,0.2699240446090698,False,False,True,False,False
p02830,Description_Simple,0.9,0.9,0.9,0.9,True,0.47434094548225403,0.425659054517746,False,True,False,False,False
p03775,Description_Simple,0.9,0.6,0.75,0.75,True,0.42420732975006104,0.32579267024993896,False,True,False,False,False
p02263,Description_Simple,0.8,0.6,0.7,0.6499999999999999,True,0.7978370189666748,0.1478370189666749,True,True,True,True,False
p02801,Description_Simple,0.9,0.9,0.9,0.9,True,0.632907509803772,0.26709249019622805,True,True,True,True,False
p02945,Description_Simple,0.6,0.6,0.6,0.6,True,0.6237208247184753,0.023720824718475364,True,True,True,True,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.6439946889877319,0.2560053110122681,True,True,True,True,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.5170512199401855,0.3829487800598145,True,True,True,True,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.4270290732383728,0.4729709267616272,False,True,False,False,False
p02639,Description_Simple,0.2,0.2,0.2,0.2,False,0.3514358103275299,0.1514358103275299,True,False,False,False,True
p02836,Description_Simple,0.2,0.2,0.2,0.2,False,0.40259093046188354,0.20259093046188353,True,False,False,False,True
p02255,Description_Simple,0.6,0.6,0.6,0.6,True,0.6860832571983337,0.08608325719833376,True,True,True,True,False
p02405,Description_Simple,0.2,0.1,0.15000000000000002,0.17500000000000002,False,0.5651907324790955,0.3901907324790954,False,False,True,False,False
