,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GPT3.5,100.0,78.8,99.6,99.6,78.8,98.8,82.44897959183673,78.714859437751,100.0,88.8,98.8,84.8,79.2,90.0
GPT4o,100.0,99.6,99.2,100.0,99.2,100.0,99.59183673469387,99.19678714859438,100.0,99.2,100.0,99.2,99.2,100.0
Gemini,100.0,99.6,100.0,99.6,99.6,100.0,99.59183673469387,99.59839357429718,100.0,100.0,100.0,99.6,99.6,100.0
LlamaVL,100.0,78.8,99.2,99.6,0.4,98.0,40.816326530612244,4.016064257028113,100.0,74.4,96.0,36.8,1.2,72.39999999999999
O4-mini,100.0,98.8,100.0,100.0,98.0,98.0,98.36734693877551,97.99196787148594,100.0,99.2,99.6,98.8,98.0,98.8
Qwen3VL,100.0,82.44897959183673,99.59183673469387,99.59183673469387,40.816326530612244,98.36734693877551,40.816326530612244,43.0327868852459,100.0,81.22448979591836,97.95918367346938,60.816326530612244,41.63265306122449,79.59183673469387
codellama,100.0,78.714859437751,99.19678714859438,99.59839357429718,4.016064257028113,97.99196787148594,43.0327868852459,4.016064257028113,100.0,75.1004016064257,95.98393574297188,39.75903614457831,4.417670682730924,73.89558232931726
deepseek-r1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mistral,100.0,88.8,99.2,100.0,74.4,99.2,81.22448979591836,75.1004016064257,100.0,74.4,98.4,82.0,74.8,90.4
qwencoder32B,100.0,98.8,100.0,100.0,96.0,99.6,97.95918367346938,95.98393574297188,100.0,98.4,96.0,97.2,96.0,98.0
starchat,100.0,84.8,99.2,99.6,36.8,98.8,60.816326530612244,39.75903614457831,100.0,82.0,97.2,36.8,37.2,81.2
starcoder,100.0,79.2,99.2,99.6,1.2,98.0,41.63265306122449,4.417670682730924,100.0,74.8,96.0,37.2,0.8,72.39999999999999
Llama70B,100.0,90.0,100.0,100.0,72.39999999999999,98.8,79.59183673469387,73.89558232931726,100.0,90.4,98.0,81.2,72.39999999999999,72.39999999999999
