Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p00006,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
p00011,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02257,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02256,Description_Simple,0.6,0.6,0.6,0.6,True,0.0,0.6,False,True,False,False,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02258,Description_Simple,0.2,0.2,0.2,0.2,False,0.0,0.2,True,False,False,False,True
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02263,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02390,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
p02389,Description_Simple,0.8,0.8,0.8,0.8,True,0.0,0.8,False,True,False,False,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02396,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02397,Description_Simple,0.7,0.7,0.7,0.7,True,0.0,0.7,False,True,False,False,False
p02398,Description_Simple,0.6,0.6,0.6,0.6,True,0.0,0.6,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02403,Description_Simple,0.8,0.8,0.8,0.8,True,0.0,0.8,False,True,False,False,False
p02406,Description_Simple,0.6,0.6,0.6,0.6,True,0.0,0.6,False,True,False,False,False
p02408,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02407,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02411,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02413,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02414,Description_Simple,0.0,0.0,0.0,0.0,False,0.0,0.0,True,False,False,False,True
p02416,Description_Simple,0.2,0.2,0.2,0.2,False,0.0,0.2,True,False,False,False,True
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02419,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02420,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02417,Description_Simple,0.8,0.8,0.8,0.8,True,0.0,0.8,False,True,False,False,False
p02421,Description_Simple,0.7,0.7,0.7,0.7,True,0.0,0.7,False,True,False,False,False
p02547,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02552,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02553,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02570,Description_Simple,0.0,0.0,0.0,0.0,False,0.0,0.0,True,False,False,False,True
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02595,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02612,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02578,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02621,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02627,Description_Simple,0.6,0.6,0.6,0.6,True,0.0,0.6,False,True,False,False,False
p02613,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02622,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02629,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02639,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02628,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02640,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02659,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02657,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02641,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02658,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02675,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02676,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02682,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02681,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02688,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02694,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02693,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02687,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02701,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02700,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02706,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02699,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02707,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02713,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02711,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02712,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02717,Description_Simple,0.0,0.0,0.0,0.0,False,0.0,0.0,True,False,False,False,True
p02718,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02723,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02719,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02724,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02730,Description_Simple,0.8,0.8,0.8,0.8,True,0.0,0.8,False,True,False,False,False
p02729,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02725,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02753,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02754,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02755,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02759,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02771,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02766,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02772,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02767,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02778,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02777,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02773,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02779,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02784,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02785,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02783,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02801,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02790,Description_Simple,0.0,0.0,0.0,0.0,False,0.0,0.0,True,False,False,False,True
p02791,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02802,Description_Simple,0.1,0.1,0.1,0.1,False,0.0,0.1,True,False,False,False,True
p02818,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02829,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02812,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02819,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02831,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02832,Description_Simple,0.1,0.1,0.1,0.1,False,0.0,0.1,True,False,False,False,True
p02835,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02830,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02836,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02848,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02860,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02847,Description_Simple,0.1,0.1,0.1,0.1,False,0.0,0.1,True,False,False,False,True
p02879,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02886,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02881,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02880,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02887,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02899,Description_Simple,0.1,0.1,0.1,0.1,False,0.0,0.1,True,False,False,False,True
p02898,Description_Simple,0.1,0.1,0.1,0.1,False,0.0,0.1,True,False,False,False,True
p02897,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02910,Description_Simple,0.0,0.0,0.0,0.0,False,0.0,0.0,True,False,False,False,True
p02911,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
p02916,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02909,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02917,Description_Simple,0.0,0.0,0.0,0.0,False,0.0,0.0,True,False,False,False,True
p02923,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
p02922,Description_Simple,0.2,0.2,0.2,0.2,False,0.0,0.2,True,False,False,False,True
p02921,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02945,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02934,Description_Simple,0.4,0.4,0.4,0.4,False,0.0,0.4,True,False,False,False,True
p02935,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02946,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02947,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02952,Description_Simple,0.0,0.0,0.0,0.0,False,0.0,0.0,True,False,False,False,True
p02953,Description_Simple,0.9,0.9,0.9,0.9,True,0.0,0.9,False,True,False,False,False
p02951,Description_Simple,0.0,0.0,0.0,0.0,False,0.0,0.0,True,False,False,False,True
p02958,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
p02970,Description_Simple,1.0,1.0,1.0,1.0,True,0.0,1.0,False,True,False,False,False
