Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03146,Description_Fewshot,0.9,0.9,0.9,True,0.43273329734802246,0.46726670265197756,False,True,False,False,False
p03146,Description_Reason,0.9,0.9,0.9,True,0.5093832612037659,0.39061673879623415,True,True,True,True,False
p03146,Description_Simple,0.9,0.9,0.9,True,0.4378660321235657,0.46213396787643435,False,True,False,False,False
p02622,Description_Fewshot,0.9,0.9,0.9,True,0.44436565041542053,0.4556343495845795,False,True,False,False,False
p02622,Description_Reason,0.6,0.6,0.6,True,0.42607033252716064,0.17392966747283933,False,True,False,False,False
p02622,Description_Simple,0.9,0.9,0.9,True,0.4312564432621002,0.4687435567378998,False,True,False,False,False
p02263,Description_Fewshot,0.6,0.9,0.75,True,0.7897305488586426,0.03973054885864258,True,True,True,True,False
p02263,Description_Reason,0.9,0.6,0.75,True,0.7683811783790588,0.018381178379058838,True,True,True,True,False
p02263,Description_Simple,0.9,0.9,0.9,True,0.8795295357704163,0.020470464229583762,True,True,True,True,False
p02707,Description_Fewshot,0.9,0.9,0.9,True,0.5561589002609253,0.34384109973907473,True,True,True,True,False
p02707,Description_Reason,0.9,0.9,0.9,True,0.4480645954608917,0.4519354045391083,False,True,False,False,False
p02707,Description_Simple,0.9,0.9,0.9,True,0.4705115556716919,0.4294884443283081,False,True,False,False,False
p03814,Description_Fewshot,0.9,0.9,0.9,True,0.5406199097633362,0.35938009023666384,True,True,True,True,False
p03814,Description_Reason,0.9,0.9,0.9,True,0.5788376927375793,0.3211623072624207,True,True,True,True,False
p03814,Description_Simple,0.9,0.9,0.9,True,0.5785144567489624,0.3214855432510376,True,True,True,True,False
p02981,Description_Fewshot,0.1,0.0,0.05,False,0.2661438584327698,0.2161438584327698,True,False,False,False,True
p02981,Description_Reason,0.9,0.9,0.9,True,0.315422385931015,0.584577614068985,False,True,False,False,False
p02981,Description_Simple,0.0,0.9,0.45,False,0.2454255223274231,0.20457447767257692,True,False,False,False,True
p00003,Description_Fewshot,0.9,0.9,0.9,True,0.6937847137451172,0.20621528625488283,True,True,True,True,False
p00003,Description_Reason,0.9,0.9,0.9,True,0.6650748252868652,0.2349251747131348,True,True,True,True,False
p00003,Description_Simple,0.9,0.9,0.9,True,0.7421046495437622,0.15789535045623782,True,True,True,True,False
p02879,Description_Fewshot,0.9,0.9,0.9,True,0.3821277320384979,0.5178722679615021,False,True,False,False,False
p02879,Description_Reason,0.0,0.1,0.05,False,0.37146395444869995,0.32146395444869996,True,False,False,False,True
p02879,Description_Simple,0.9,0.9,0.9,True,0.5449407696723938,0.3550592303276062,True,True,True,True,False
p02753,Description_Fewshot,0.6,0.9,0.75,True,0.493055135011673,0.256944864988327,False,True,False,False,False
p02753,Description_Reason,0.9,0.0,0.45,False,0.3168998658657074,0.1331001341342926,True,False,False,False,True
p02753,Description_Simple,0.1,0.2,0.15000000000000002,False,0.2834635376930237,0.13346353769302366,True,False,False,False,True
p02847,Description_Fewshot,0.9,0.9,0.9,True,0.6647248864173889,0.2352751135826111,True,True,True,True,False
p02847,Description_Reason,0.9,0.9,0.9,True,0.6078048944473267,0.29219510555267336,True,True,True,True,False
p02847,Description_Simple,0.9,0.8,0.8500000000000001,True,0.6028995513916016,0.24710044860839853,True,True,True,True,False
p02688,Description_Fewshot,0.9,0.9,0.9,True,0.4629475772380829,0.43705242276191714,False,True,False,False,False
p02688,Description_Reason,0.9,0.9,0.9,True,0.45074263215065,0.44925736784935,False,True,False,False,False
p02688,Description_Simple,0.9,0.6,0.75,True,0.49060821533203125,0.25939178466796875,False,True,False,False,False
p02699,Description_Fewshot,0.9,0.8,0.8500000000000001,True,0.7099992036819458,0.1400007963180543,True,True,True,True,False
p02699,Description_Reason,0.6,0.9,0.75,True,0.6274768114089966,0.12252318859100342,True,True,True,True,False
p02699,Description_Simple,0.6,0.6,0.6,True,0.7602667212486267,0.16026672124862673,True,True,True,True,False
p02713,Description_Fewshot,0.3,0.9,0.6,True,0.7597017288208008,0.1597017288208008,True,True,True,True,False
p02713,Description_Reason,0.9,0.3,0.6,True,0.7581315636634827,0.1581315636634827,True,True,True,True,False
p02713,Description_Simple,0.6,0.6,0.6,True,0.7368026375770569,0.1368026375770569,True,True,True,True,False
p03455,Description_Fewshot,0.9,0.9,0.9,True,0.7388074398040771,0.16119256019592287,True,True,True,True,False
p03455,Description_Reason,0.8,0.6,0.7,True,0.6438892483711243,0.05611075162887569,True,True,True,True,False
p03455,Description_Simple,0.6,0.8,0.7,True,0.803278386592865,0.10327838659286503,True,True,True,True,False
p03109,Description_Fewshot,0.6,0.9,0.75,True,0.568686842918396,0.181313157081604,True,True,True,True,False
p03109,Description_Reason,0.5,0.6,0.55,True,0.5341919660568237,0.015808033943176314,True,True,True,True,False
p03109,Description_Simple,0.9,0.5,0.7,True,0.5362588763237,0.1637411236763,True,True,True,True,False
p02790,Description_Fewshot,0.6,0.2,0.4,False,0.6172580122947693,0.21725801229476926,False,False,True,False,False
p02790,Description_Reason,0.9,0.2,0.55,True,0.5525419116020203,0.0025419116020202193,True,True,True,True,False
p02790,Description_Simple,0.6,0.9,0.75,True,0.5157004594802856,0.23429954051971436,True,True,True,True,False
p02987,Description_Fewshot,0.2,0.2,0.2,False,0.7115234732627869,0.5115234732627869,False,False,True,False,False
p02987,Description_Reason,0.2,0.1,0.15000000000000002,False,0.7111502885818481,0.5611502885818481,False,False,True,False,False
p02987,Description_Simple,0.1,0.9,0.5,True,0.7151191234588623,0.2151191234588623,True,True,True,True,False
p03043,Description_Fewshot,0.1,0.6,0.35,False,0.38879311084747314,0.03879311084747317,True,False,False,False,True
p03043,Description_Reason,0.2,0.6,0.4,False,0.3593759834766388,0.04062401652336123,True,False,False,False,True
