dataset,model_key,model,prompt,n_variants,llm_mean,llm_mean_min,llm_mean_max,n_completed,sources
java250,claude_sonnet_5,Claude Sonnet 5,few_shot,5,0.6120179865,0.526826688,0.7079223876,5,completed
java250,claude_sonnet_5,Claude Sonnet 5,oap1,3,0.577569271,0.5281463221,0.6102795391,3,completed
java250,claude_sonnet_5,Claude Sonnet 5,oap2,3,0.5751023019,0.5332524612,0.605534304,3,completed
java250,claude_sonnet_5,Claude Sonnet 5,reasoning,5,0.6303212288,0.5254875253,0.7631767281,5,completed
java250,claude_sonnet_5,Claude Sonnet 5,zero_shot,5,0.60832,0.5356,0.6572,0,direct
java250,codellama,CodeLlama,few_shot,5,0.13996,0.0754,0.2198,5,scaled
java250,codellama,CodeLlama,oap1,3,0.09213333333,0.075,0.105,3,scaled
java250,codellama,CodeLlama,oap2,3,0.09906666667,0.0762,0.1204,3,scaled
java250,codellama,CodeLlama,reasoning,5,0.14852,0.0876,0.2298,5,scaled
java250,codellama,CodeLlama,zero_shot,5,0.13896,0.0774,0.2448,0,baseline
java250,deepseek_r1,DeepSeek-R1,few_shot,5,0.6273927108,0.5315480623,0.7070574855,5,completed|scaled
java250,deepseek_r1,DeepSeek-R1,oap1,3,0.6109158562,0.5112533759,0.6729239169,3,scaled
java250,deepseek_r1,DeepSeek-R1,oap2,3,0.6112642787,0.5438544147,0.6544189911,3,scaled
java250,deepseek_r1,DeepSeek-R1,reasoning,5,0.6402783056,0.5293890531,0.7622443191,5,completed|scaled
java250,deepseek_r1,DeepSeek-R1,zero_shot,5,0.62312,0.5404,0.654,0,direct
java250,deepseek_v31,DeepSeek-V3.1,few_shot,5,0.5945297275,0.4423927577,0.6971111111,5,completed|scaled
java250,deepseek_v31,DeepSeek-V3.1,oap1,3,0.5700764135,0.4708115135,0.6394251185,3,scaled
java250,deepseek_v31,DeepSeek-V3.1,oap2,3,0.5545132907,0.4667836583,0.6186308057,3,scaled
java250,deepseek_v31,DeepSeek-V3.1,reasoning,5,0.6228813533,0.4540287837,0.7515216162,5,completed|scaled
java250,deepseek_v31,DeepSeek-V3.1,zero_shot,5,0.60488,0.482,0.684,0,direct
java250,deepseek_v4_pro,DeepSeek-V4-Pro,few_shot,5,0.5950150575,0.4784326009,0.6958137579,5,completed
java250,deepseek_v4_pro,DeepSeek-V4-Pro,oap1,3,0.5603837673,0.4796310139,0.6058874579,3,completed
java250,deepseek_v4_pro,DeepSeek-V4-Pro,oap2,3,0.557747885,0.4842681052,0.5979740692,3,completed
java250,deepseek_v4_pro,DeepSeek-V4-Pro,reasoning,5,0.6127832019,0.4772164531,0.7501230027,5,completed
java250,deepseek_v4_pro,DeepSeek-V4-Pro,zero_shot,5,0.59104,0.4864,0.6436,0,direct
java250,gemini,Gemini-3-preview,few_shot,5,0.6423583365,0.532995617,0.763492349,5,completed|scaled
java250,gemini,Gemini-3-preview,oap1,3,0.6005381064,0.5358147674,0.6795467325,3,scaled
java250,gemini,Gemini-3-preview,oap2,3,0.5911122415,0.5203094403,0.6705194017,3,scaled
java250,gemini,Gemini-3-preview,reasoning,5,0.6597522925,0.5127329737,0.8230840033,5,completed|scaled
java250,gemini,Gemini-3-preview,zero_shot,5,0.63234,0.5226,0.7062,0,direct
java250,glm5,GLM-5,few_shot,5,0.6671135484,0.6045680089,0.7213283706,5,completed
java250,glm5,GLM-5,oap1,3,0.6725077288,0.6468707753,0.6863256211,3,completed
java250,glm5,GLM-5,oap2,3,0.6698307301,0.6531247471,0.6790057996,3,completed
java250,glm5,GLM-5,reasoning,5,0.6849199723,0.6436142953,0.7776290668,5,completed
java250,glm5,GLM-5,zero_shot,5,0.6632,0.634,0.686,0,direct
java250,gpt35,GPT-3.5-turbo,few_shot,5,0.4350954763,0.1956996785,0.5729976565,5,completed|scaled
java250,gpt35,GPT-3.5-turbo,oap1,3,0.3905230385,0.2554553055,0.4622276626,3,scaled
java250,gpt35,GPT-3.5-turbo,oap2,3,0.3674961853,0.2035426045,0.4612264475,3,scaled
java250,gpt35,GPT-3.5-turbo,reasoning,5,0.4555553211,0.2132528939,0.6177209314,5,completed|scaled
java250,gpt35,GPT-3.5-turbo,zero_shot,5,0.44048,0.2323,0.5306,0,direct
java250,gpt4o,GPT-4o,few_shot,5,0.4943524899,0.259479078,0.6318110008,5,completed|scaled
java250,gpt4o,GPT-4o,oap1,3,0.4139437723,0.2430005319,0.5122261146,3,scaled
java250,gpt4o,GPT-4o,oap2,3,0.4151240097,0.2323242908,0.5165171651,3,scaled
java250,gpt4o,GPT-4o,reasoning,5,0.5072740694,0.2369661348,0.6811247402,5,completed|scaled
java250,gpt4o,GPT-4o,zero_shot,5,0.4886,0.2618,0.5844,0,direct
java250,gpt5,GPT-5-nano,few_shot,5,0.5846226788,0.4760719137,0.6715964985,5,completed
java250,gpt5,GPT-5-nano,oap1,3,0.5521736863,0.4772644135,0.5990842302,3,completed
java250,gpt5,GPT-5-nano,oap2,3,0.5495998666,0.4818786244,0.5912596972,3,completed
java250,gpt5,GPT-5-nano,reasoning,5,0.6019867017,0.4748617667,0.724015552,5,completed
java250,gpt5,GPT-5-nano,zero_shot,5,0.58096,0.484,0.6304,0,direct
java250,kimi_k25,Kimi-K2.7,few_shot,5,0.647744525,0.5649911306,0.7187336642,5,completed
java250,kimi_k25,Kimi-K2.7,oap1,3,0.628811785,0.5664063618,0.6723189758,3,completed
java250,kimi_k25,Kimi-K2.7,oap2,3,0.6260313595,0.5718824005,0.6635379367,3,completed
java250,kimi_k25,Kimi-K2.7,reasoning,5,0.666149761,0.5635549562,0.77483184,5,completed
java250,kimi_k25,Kimi-K2.7,zero_shot,5,0.64392,0.5744,0.672,0,direct
java250,llama70b,Llama-70B,few_shot,5,0.3849371644,0.1804168986,0.4804167018,5,scaled
java250,llama70b,Llama-70B,oap1,3,0.3077706186,0.174438171,0.4110187361,3,scaled
java250,llama70b,Llama-70B,oap2,3,0.3254672327,0.1955395626,0.4165030483,3,scaled
java250,llama70b,Llama-70B,reasoning,5,0.3868063755,0.2152341948,0.4807723232,5,scaled
java250,llama70b,Llama-70B,zero_shot,5,0.37053,0.1769,0.476,0,direct
java250,llamavl,Llama-3.2-11B-Vision-Instruct,few_shot,5,0.0034,0,0.014,5,completed|scaled
java250,llamavl,Llama-3.2-11B-Vision-Instruct,oap1,3,0.001,0,0.003,3,completed|scaled
java250,llamavl,Llama-3.2-11B-Vision-Instruct,oap2,3,0.001466666667,0,0.0034,3,completed|scaled
java250,llamavl,Llama-3.2-11B-Vision-Instruct,reasoning,5,0.00568,0,0.0194,5,completed|scaled
java250,llamavl,Llama-3.2-11B-Vision-Instruct,zero_shot,5,0.00448,0,0.0174,0,baseline
java250,mistral,Mistral,few_shot,5,0.299516359,0.1530403784,0.518964467,5,completed
java250,mistral,Mistral,oap1,3,0.1113194893,0.08181633595,0.1263424089,3,completed
java250,mistral,Mistral,oap2,3,0.1053559452,0.07743331795,0.1195740655,3,completed
java250,mistral,Mistral,reasoning,5,0.2956562437,0.1510680203,0.5122761421,5,completed
java250,mistral,Mistral,zero_shot,5,0.30981,0.1583,0.5368,0,direct
java250,o4mini,O4-mini,few_shot,5,0.6427480449,0.5329994731,0.7308422939,5,completed|scaled
java250,o4mini,O4-mini,oap1,3,0.6101924853,0.5093106077,0.6689248507,3,scaled
java250,o4mini,O4-mini,oap2,3,0.6080617281,0.5119623463,0.6616924318,3,scaled
java250,o4mini,O4-mini,reasoning,5,0.6560693734,0.5073659993,0.7878855653,5,completed|scaled
java250,o4mini,O4-mini,zero_shot,5,0.63122,0.5033,0.676,0,direct
java250,qwen37_plus,Qwen3.7-plus,few_shot,5,0.6328919135,0.5437449461,0.7096521919,5,completed
java250,qwen37_plus,Qwen3.7-plus,oap1,3,0.6160604625,0.5451069583,0.6643151785,3,completed
java250,qwen37_plus,Qwen3.7-plus,oap2,3,0.6132694402,0.5503770735,0.6556386756,3,completed
java250,qwen37_plus,Qwen3.7-plus,reasoning,5,0.6507811794,0.5423627782,0.765041546,5,completed
java250,qwen37_plus,Qwen3.7-plus,zero_shot,5,0.62888,0.5528,0.664,0,direct
java250,qwen3vl,Qwen3-VL-8B-Instruct,few_shot,5,0.14984,0.0326,0.3712,5,scaled
java250,qwen3vl,Qwen3-VL-8B-Instruct,oap1,3,0.06193333333,0.0472,0.0784,3,scaled
java250,qwen3vl,Qwen3-VL-8B-Instruct,oap2,3,0.05593333333,0.045,0.0732,3,scaled
java250,qwen3vl,Qwen3-VL-8B-Instruct,reasoning,5,0.15428,0.056,0.37,5,scaled
java250,qwen3vl,Qwen3-VL-8B-Instruct,zero_shot,5,0.1516,0.0414,0.3404,0,baseline
java250,qwencoder32b,Qwen2.5-Coder-32B,few_shot,5,0.3277587097,0.153611828,0.4764774194,5,completed
java250,qwencoder32b,Qwen2.5-Coder-32B,oap1,3,0.1880081243,0.1196131422,0.2232986858,3,completed
java250,qwencoder32b,Qwen2.5-Coder-32B,oap2,3,0.1840523297,0.1170964158,0.2186003584,3,completed
java250,qwencoder32b,Qwen2.5-Coder-32B,reasoning,5,0.3176047312,0.1488529271,0.461716129,5,completed
java250,qwencoder32b,Qwen2.5-Coder-32B,zero_shot,5,0.32688,0.1532,0.4752,0,direct
java250,starchat,StarChat,few_shot,5,0.1245803286,0.0646025779,0.1687247876,5,completed
java250,starchat,StarChat,oap1,3,0.09097733711,0.05395538244,0.1102053824,3,completed
java250,starchat,StarChat,oap2,3,0.08450783758,0.05011855524,0.1023685552,3,completed
java250,starchat,StarChat,reasoning,5,0.1311469235,0.06800776204,0.1776182248,5,completed
java250,starchat,StarChat,zero_shot,5,0.130592,0.06772,0.1768666667,0,baseline
java250,starcoder,StarCoder,few_shot,5,0.04503532673,0.01301386138,0.08290811881,5,completed
java250,starcoder,StarCoder,oap1,3,0.1204630693,0.07986653465,0.154449802,3,completed
java250,starcoder,StarCoder,oap2,3,0.1169865017,0.07756158416,0.1499923762,3,completed
java250,starcoder,StarCoder,reasoning,5,0.05254121452,0.01518283828,0.09672613861,5,completed
java250,starcoder,StarCoder,zero_shot,5,0.04890933333,0.01413333333,0.09004,0,baseline
java656,claude_sonnet_5,Claude Sonnet 5,few_shot,5,0.7738953397,0.7288681631,0.8405108283,5,completed
java656,claude_sonnet_5,Claude Sonnet 5,oap1,3,0.7688331046,0.7306938855,0.8137060521,3,completed
java656,claude_sonnet_5,Claude Sonnet 5,oap2,3,0.7657610219,0.7377582623,0.807379072,3,completed
java656,claude_sonnet_5,Claude Sonnet 5,reasoning,5,0.7952029619,0.7270154228,0.9061138835,5,completed
java656,claude_sonnet_5,Claude Sonnet 5,zero_shot,5,0.7697256098,0.7410060976,0.8,0,direct
java656,codellama,CodeLlama,few_shot,5,0.2685332151,0.1446656503,0.4217176385,5,scaled
java656,codellama,CodeLlama,oap1,3,0.1767709361,0.1438981933,0.2014574706,3,scaled
java656,codellama,CodeLlama,oap2,3,0.1900735247,0.1462005644,0.2310045663,3,scaled
java656,codellama,CodeLlama,reasoning,5,0.2849567956,0.1680730898,0.4409040642,5,scaled
java656,codellama,CodeLlama,zero_shot,5,0.2666145726,0.1485029355,0.4696837029,5,completed
java656,deepseek_r1,DeepSeek-R1,few_shot,5,0.7287165075,0.6583954133,0.8059015589,5,completed|scaled
java656,deepseek_r1,DeepSeek-R1,oap1,3,0.7096090946,0.6332576518,0.7483283711,3,scaled
java656,deepseek_r1,DeepSeek-R1,oap2,3,0.7112004434,0.673638524,0.7332701449,3,scaled
java656,deepseek_r1,DeepSeek-R1,reasoning,5,0.7437559123,0.6557211834,0.8688033118,5,completed|scaled
java656,deepseek_r1,DeepSeek-R1,zero_shot,5,0.7243292683,0.6693597561,0.749847561,0,direct
java656,deepseek_v31,DeepSeek-V3.1,few_shot,5,0.7173052092,0.621492204,0.8027702441,5,completed|scaled
