Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0159,Description_Simple,0.8,0.8,0.8,0.8,True,0.5042502284049988,0.29574977159500127,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6125655770301819,0.3874344229698181,True,True,True,True,False
mbpp_0323,Description_Simple,0.9,0.9,0.9,0.9,True,0.5470250844955444,0.3529749155044556,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.5087035298347473,0.4912964701652527,True,True,True,True,False
mbpp_0039,Description_Simple,0.9,0.9,0.9,0.9,True,0.5453472137451172,0.35465278625488283,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8186118006706238,0.18138819932937622,True,True,True,True,False
mbpp_0776,Description_Simple,0.1,0.1,0.1,0.1,False,0.6822133660316467,0.5822133660316468,False,False,True,False,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6030140519142151,0.3969859480857849,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6591930985450745,0.34080690145492554,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.7000440359115601,0.29995596408843994,True,True,True,True,False
mbpp_0123,Description_Simple,0.9,0.9,0.9,0.9,True,0.6263315677642822,0.2736684322357178,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5411540269851685,0.45884597301483154,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7720052003860474,0.22799479961395264,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5636646747589111,0.43633532524108887,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5398679375648499,0.13986793756484983,False,False,True,False,False
mbpp_0838,Description_Simple,0.4,0.4,0.4,0.4,False,0.8165937662124634,0.41659376621246336,False,False,True,False,False
mbpp_0628,Description_Simple,0.4,0.4,0.4,0.4,False,0.5574588775634766,0.15745887756347654,False,False,True,False,False
mbpp_0940,Description_Simple,0.9,0.9,0.9,0.9,True,0.6265898942947388,0.27341010570526125,True,True,True,True,False
mbpp_0315,Description_Simple,0.9,0.9,0.9,0.9,True,0.7489094734191895,0.15109052658081057,True,True,True,True,False
mbpp_0387,Description_Simple,0.9,0.9,0.9,0.9,True,0.612045168876648,0.2879548311233521,True,True,True,True,False
mbpp_0834,Description_Simple,0.9,0.9,0.9,0.9,True,0.7764461636543274,0.12355383634567263,True,True,True,True,False
mbpp_0516,Description_Simple,0.9,0.9,0.9,0.9,True,0.5916820764541626,0.3083179235458374,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.6454975605010986,0.35450243949890137,True,True,True,True,False
mbpp_0152,Description_Simple,0.8,0.8,0.8,0.8,True,0.5377751588821411,0.26222484111785893,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6853198409080505,0.31468015909194946,True,True,True,True,False
mbpp_0665,Description_Simple,0.0,0.0,0.0,0.0,False,0.43805670738220215,0.43805670738220215,True,False,False,False,True
mbpp_0501,Description_Simple,0.6,0.6,0.6,0.6,True,0.5005459785461426,0.0994540214538574,True,True,True,True,False
mbpp_0898,Description_Simple,0.1,0.1,0.1,0.1,False,0.50273597240448,0.40273597240448,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.6947788596153259,0.3052211403846741,True,True,True,True,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.8058379292488098,0.4058379292488098,False,False,True,False,False
