model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,20.9713,16.4459,17.66,23.8411,24.0618,19.5364,20.7506,18.8742,20.6402,21.5232,19.6468,19.9779,20.8609,19.7572
GPT-3.5,20.9713,0,24.6137,25.1656,24.2826,25.1656,26.1589,26.2693,24.3929,25.7174,27.0419,26.4901,25.2759,26.8212,25.9382
O4-mini,16.4459,24.6137,0,14.9007,26.6004,29.9117,18.3223,18.2119,18.543,28.2561,16.9978,17.9912,16.5563,17.4393,18.9845
Gemini,17.66,25.1656,14.9007,0,26.2693,28.9183,21.5232,18.9845,20.8609,26.3797,19.0949,17.8808,15.1214,17.9912,19.9779
Llama-70B,23.8411,24.2826,26.6004,26.2693,0,22.5166,24.1722,25.6071,24.1722,19.7572,26.1589,22.7373,25.9382,26.1589,24.6137
Mistral,24.0618,25.1656,29.9117,28.9183,22.5166,0,25.0552,26.7108,24.3929,18.6534,25.9382,24.9448,28.5872,26.3797,24.1722
DeepSeek-V3.1,19.5364,26.1589,18.3223,21.5232,24.1722,25.0552,0,15.7837,13.9073,22.2958,16.3355,16.6667,16.1148,16.9978,17.2185
DeepSeek-R1,20.7506,26.2693,18.2119,18.9845,25.6071,26.7108,15.7837,0,15.1214,23.2892,12.9139,14.7903,13.5762,13.1347,13.3554
DeepSeek-V4-Pro,18.8742,24.3929,18.543,20.8609,24.1722,24.3929,13.9073,15.1214,0,21.4128,16.5563,16.2252,15.6733,14.128,15.6733
QwenCoder,20.6402,25.7174,28.2561,26.3797,19.7572,18.6534,22.2958,23.2892,21.4128,0,24.0618,21.3024,24.9448,23.6203,22.9581
Qwen3.7,21.5232,27.0419,16.9978,19.0949,26.1589,25.9382,16.3355,12.9139,16.5563,24.0618,0,14.0177,12.5828,13.0243,15.6733
Claude-5,19.6468,26.4901,17.9912,17.8808,22.7373,24.9448,16.6667,14.7903,16.2252,21.3024,14.0177,0,13.1347,14.0177,15.1214
GLM-5,19.9779,25.2759,16.5563,15.1214,25.9382,28.5872,16.1148,13.5762,15.6733,24.9448,12.5828,13.1347,0,13.245,15.2318
Kimi-K2.7,20.8609,26.8212,17.4393,17.9912,26.1589,26.3797,16.9978,13.1347,14.128,23.6203,13.0243,14.0177,13.245,0,13.0243
GPT-5,19.7572,25.9382,18.9845,19.9779,24.6137,24.1722,17.2185,13.3554,15.6733,22.9581,15.6733,15.1214,15.2318,13.0243,0
