Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0159,Description_Simple,0.0,0.0,0.0,0.0,False,0.5481294989585876,0.5481294989585876,False,False,True,False,False
mbpp_0771,Description_Simple,0.9,0.9,0.9,0.9,True,0.41448718309402466,0.48551281690597536,False,True,False,False,False
mbpp_0323,Description_Simple,0.2,0.2,0.2,0.2,False,0.5012549757957458,0.30125497579574584,False,False,True,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6666181087493896,0.33338189125061035,True,True,True,True,False
mbpp_0522,Description_Simple,0.2,0.2,0.2,0.2,False,0.4669649004936218,0.2669649004936218,True,False,False,False,True
mbpp_0776,Description_Simple,0.1,0.1,0.1,0.1,False,0.5792403817176819,0.4792403817176819,False,False,True,False,False
mbpp_0245,Description_Simple,0.2,0.2,0.2,0.2,False,0.5895594358444214,0.3895594358444214,False,False,True,False,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.5745428800582886,0.4254571199417114,True,True,True,True,False
mbpp_0515,Description_Simple,0.4,0.4,0.4,0.4,False,0.33763694763183594,0.062363052368164085,True,False,False,False,True
mbpp_0223,Description_Simple,0.9,0.9,0.9,0.9,True,0.6977914571762085,0.20220854282379153,True,True,True,True,False
mbpp_0123,Description_Simple,0.7,0.7,0.7,0.7,True,0.5797998309135437,0.12020016908645625,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.4753096103668213,0.5246903896331787,False,True,False,False,False
mbpp_0423,Description_Simple,0.9,0.9,0.9,0.9,True,0.5646941661834717,0.33530583381652834,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7092794179916382,0.2907205820083618,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.5952388644218445,0.19523886442184446,False,False,True,False,False
mbpp_0838,Description_Simple,0.0,0.0,0.0,0.0,False,0.09561730176210403,0.09561730176210403,True,False,False,False,True
mbpp_0628,Description_Simple,0.9,0.9,0.9,0.9,True,0.6005128622055054,0.29948713779449465,True,True,True,True,False
mbpp_0315,Description_Simple,0.0,0.0,0.0,0.0,False,0.6342621445655823,0.6342621445655823,False,False,True,False,False
mbpp_0387,Description_Simple,0.2,0.2,0.2,0.2,False,0.6629660725593567,0.4629660725593567,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6911104917526245,0.3088895082473755,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.5489384531974792,0.45106154680252075,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.576389491558075,0.42361050844192505,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.7005795240402222,0.29942047595977783,True,True,True,True,False
mbpp_0834,Description_Simple,0.4,0.4,0.4,0.4,False,0.7378125786781311,0.3378125786781311,False,False,True,False,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.7585987448692322,0.35859874486923216,False,False,True,False,False
mbpp_0665,Description_Simple,0.2,0.2,0.2,0.2,False,0.6427453756332397,0.44274537563323973,False,False,True,False,False
mbpp_0898,Description_Simple,0.2,0.2,0.2,0.2,False,0.33061036467552185,0.13061036467552184,True,False,False,False,True
mbpp_0938,Description_Simple,0.8,0.8,0.8,0.8,True,0.5353766083717346,0.2646233916282654,True,True,True,True,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.851787805557251,0.14821219444274902,True,True,True,True,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.6133442521095276,0.21334425210952757,False,False,True,False,False
mbpp_0822,Description_Simple,0.3,0.3,0.3,0.3,False,0.5798134803771973,0.2798134803771973,False,False,True,False,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.5566950440406799,0.44330495595932007,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.60856032371521,0.39143967628479004,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.7402436137199402,0.2597563862800598,True,True,True,True,False
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.46272003650665283,0.06272003650665281,True,False,False,False,True
mbpp_0550,Description_Simple,0.6,0.6,0.6,0.6,True,0.5332915186882019,0.06670848131179807,True,True,True,True,False
mbpp_0926,Description_Simple,1.0,1.0,1.0,1.0,True,0.6529364585876465,0.3470635414123535,True,True,True,True,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.8531761765480042,0.14682382345199585,True,True,True,True,False
mbpp_0755,Description_Simple,0.6,0.6,0.6,0.6,True,0.5771190524101257,0.022880947589874245,True,True,True,True,False
mbpp_0881,Description_Simple,1.0,1.0,1.0,1.0,True,0.6091943383216858,0.3908056616783142,True,True,True,True,False
mbpp_0866,Description_Simple,0.0,0.0,0.0,0.0,False,0.44421571493148804,0.44421571493148804,True,False,False,False,True
mbpp_0455,Description_Simple,0.1,0.1,0.1,0.1,False,0.6047412753105164,0.5047412753105164,False,False,True,False,False
mbpp_0850,Description_Simple,0.0,0.0,0.0,0.0,False,0.46087077260017395,0.46087077260017395,True,False,False,False,True
mbpp_0907,Description_Simple,0.8,0.8,0.8,0.8,True,0.6927934885025024,0.1072065114974976,True,True,True,True,False
mbpp_0453,Description_Simple,0.0,0.0,0.0,0.0,False,0.846308708190918,0.846308708190918,False,False,True,False,False
mbpp_0074,Description_Simple,0.4,0.4,0.4,0.4,False,0.5383284091949463,0.13832840919494627,False,False,True,False,False
