Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03035,Description_Simple,0.1,0.1,0.1,0.1,False,0.20222614705562592,0.10222614705562591,True,False,False,False,True
p02773,Description_Simple,0.6,0.6,0.6,0.6,True,0.7597270011901855,0.15972700119018557,True,True,True,True,False
p02570,Description_Simple,0.0,0.0,0.0,0.0,False,0.10916955024003983,0.10916955024003983,True,False,False,False,True
p02577,Description_Simple,0.9,0.9,0.9,0.9,True,0.788737952709198,0.11126204729080202,True,True,True,True,False
p02917,Description_Simple,0.2,0.2,0.2,0.2,False,0.5446649789810181,0.34466497898101806,False,False,True,False,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.7202319502830505,0.17976804971694949,True,True,True,True,False
p02729,Description_Simple,0.6,0.6,0.6,0.6,True,0.4840823709964752,0.11591762900352476,False,True,False,False,False
p02711,Description_Simple,0.2,0.1,0.15000000000000002,0.17500000000000002,False,0.3383643925189972,0.16336439251899718,True,False,False,False,True
p02988,Description_Simple,0.8,0.8,0.8,0.8,True,0.4782879948616028,0.32171200513839726,False,True,False,False,False
p02921,Description_Simple,0.6,0.6,0.6,0.6,True,0.5026641488075256,0.09733585119247434,True,True,True,True,False
p03469,Description_Simple,0.0,0.0,0.0,0.0,False,0.2709982097148895,0.2709982097148895,True,False,False,False,True
p02910,Description_Simple,0.2,0.2,0.2,0.2,False,0.5106978416442871,0.3106978416442871,False,False,True,False,False
p03059,Description_Simple,0.2,0.0,0.1,0.15000000000000002,False,0.13025858998298645,0.019741410017013572,True,False,False,False,True
p03493,Description_Simple,0.0,0.0,0.0,0.0,False,0.14977891743183136,0.14977891743183136,True,False,False,False,True
p03494,Description_Simple,0.2,0.2,0.2,0.2,False,0.342046856880188,0.14204685688018798,True,False,False,False,True
p03456,Description_Simple,0.9,0.8,0.8500000000000001,0.875,True,0.6856800317764282,0.18931996822357178,True,True,True,True,False
p02718,Description_Simple,0.9,0.9,0.9,0.9,True,0.4846970736980438,0.4153029263019562,False,True,False,False,False
p02981,Description_Simple,0.1,0.1,0.1,0.1,False,0.16945740580558777,0.06945740580558776,True,False,False,False,True
p03434,Description_Simple,0.0,0.1,0.05,0.025,False,0.3986033499240875,0.3736033499240875,True,False,False,False,True
p03854,Description_Simple,0.5,0.2,0.35,0.275,False,0.3671310544013977,0.09213105440139768,True,False,False,False,True
p02916,Description_Simple,0.5,0.2,0.35,0.275,False,0.3299485743045807,0.054948574304580666,True,False,False,False,True
p02571,Description_Simple,0.2,0.2,0.2,0.2,False,0.4127636253833771,0.21276362538337706,True,False,False,False,True
p02772,Description_Simple,0.7,0.6,0.6499999999999999,0.625,True,0.6713731288909912,0.04637312889099121,True,True,True,True,False
