,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,1.0,0.7183673469387755,0.92,0.8875502008032129,0.0041841004184100415,0.9516129032258065,0.24472573839662448,0.058577405857740586,0.94,0.6530612244897959,0.9149797570850202,0.3112033195020747,0.008403361344537815,0.6311475409836066
GPT3.5,0.7183673469387755,1.0,0.7195121951219512,0.6788617886178862,0.005494505494505495,0.728744939271255,0.2727272727272727,0.06521739130434782,0.712,0.6338028169014085,0.7333333333333333,0.32142857142857145,0.011049723756906077,0.6161137440758294
GPT4o,0.92,0.7195121951219512,1.0,0.8955823293172691,0.004149377593360996,0.944,0.24369747899159663,0.058091286307053944,0.9558232931726908,0.6544715447154471,0.9230769230769231,0.3140495867768595,0.008298755186721992,0.6260162601626016
Gemini,0.8875502008032129,0.6788617886178862,0.8955823293172691,1.0,0.004329004329004329,0.9193548387096774,0.22746781115879827,0.06060606060606061,0.9233870967741935,0.6473029045643154,0.8825910931174089,0.29957805907172996,0.008695652173913044,0.6182572614107884
LlamaVL,0.0041841004184100415,0.005494505494505495,0.004149377593360996,0.004329004329004329,1.0,0.004081632653061225,0.0,0.0,0.0040650406504065045,0.006024096385542169,0.004273504273504274,0.0,0.0,0.006289308176100629
O4-mini,0.9516129032258065,0.728744939271255,0.944,0.9193548387096774,0.004081632653061225,1.0,0.25,0.05714285714285714,0.964,0.657258064516129,0.9236947791164659,0.3142857142857143,0.00819672131147541,0.6356275303643725
Qwen3VL,0.24472573839662448,0.2727272727272727,0.24369747899159663,0.22746781115879827,0.0,0.25,1.0,0.05714285714285714,0.23770491803278687,0.2430939226519337,0.2565217391304348,0.20175438596491227,0.016666666666666666,0.23563218390804597
codellama,0.058577405857740586,0.06521739130434782,0.058091286307053944,0.06060606060606061,0.0,0.05714285714285714,0.05714285714285714,1.0,0.056910569105691054,0.046511627906976744,0.05982905982905983,0.04597701149425287,0.0,0.07453416149068323
deepseek-r1,0.94,0.712,0.9558232931726908,0.9233870967741935,0.0040650406504065045,0.964,0.23770491803278687,0.056910569105691054,1.0,0.6747967479674797,0.9354838709677419,0.3076923076923077,0.00816326530612245,0.6330645161290323
mistral,0.6530612244897959,0.6338028169014085,0.6544715447154471,0.6473029045643154,0.006024096385542169,0.657258064516129,0.2430939226519337,0.046511627906976744,0.6747967479674797,1.0,0.6460905349794238,0.32786885245901637,0.006024096385542169,0.5476190476190477
qwencoder32B,0.9149797570850202,0.7333333333333333,0.9230769230769231,0.8825910931174089,0.004273504273504274,0.9236947791164659,0.2565217391304348,0.05982905982905983,0.9354838709677419,0.6460905349794238,1.0,0.301255230125523,0.008583690987124463,0.6375
starchat,0.3112033195020747,0.32142857142857145,0.3140495867768595,0.29957805907172996,0.0,0.3142857142857143,0.20175438596491227,0.04597701149425287,0.3076923076923077,0.32786885245901637,0.301255230125523,1.0,0.0,0.2756756756756757
starcoder,0.008403361344537815,0.011049723756906077,0.008298755186721992,0.008695652173913044,0.0,0.00819672131147541,0.016666666666666666,0.0,0.00816326530612245,0.006024096385542169,0.008583690987124463,0.0,1.0,0.012658227848101266
Llama70B,0.6311475409836066,0.6161137440758294,0.6260162601626016,0.6182572614107884,0.006289308176100629,0.6356275303643725,0.23563218390804597,0.07453416149068323,0.6330645161290323,0.5476190476190477,0.6375,0.2756756756756757,0.012658227848101266,1.0
