Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03086,Description_Detailed,0.0,0.0,0.0,False,0.3528830409049988,0.3528830409049988,True,False,False,False,True
p03086,Description_Fewshot,0.0,0.0,0.0,False,0.5296823978424072,0.5296823978424072,False,False,True,False,False
p03086,Description_Reason,0.1,0.1,0.1,False,0.2641994059085846,0.1641994059085846,True,False,False,False,True
p03086,Description_Simple,0.0,0.1,0.05,False,0.5829288959503174,0.5329288959503173,False,False,True,False,False
p03086,Description_Vague,0.4,0.0,0.2,False,0.5562052726745605,0.35620527267456054,False,False,True,False,False
p03325,Description_Detailed,0.4,0.0,0.2,False,0.364340215921402,0.16434021592140197,True,False,False,False,True
p03325,Description_Fewshot,0.9,0.4,0.65,True,0.3760569095611572,0.2739430904388428,False,True,False,False,False
p03325,Description_Reason,0.1,0.8,0.45,False,0.21128790080547333,0.23871209919452668,True,False,False,False,True
p03325,Description_Simple,0.0,0.0,0.0,False,0.416479229927063,0.416479229927063,True,False,False,False,True
p03325,Description_Vague,0.0,0.0,0.0,False,0.4192458987236023,0.4192458987236023,True,False,False,False,True
p03493,Description_Detailed,0.0,0.0,0.0,False,0.25789716839790344,0.25789716839790344,True,False,False,False,True
p03493,Description_Fewshot,0.0,0.0,0.0,False,0.2647815942764282,0.2647815942764282,True,False,False,False,True
p03493,Description_Reason,0.0,0.0,0.0,False,0.06463386118412018,0.06463386118412018,True,False,False,False,True
p03493,Description_Simple,0.0,0.0,0.0,False,0.30755242705345154,0.30755242705345154,True,False,False,False,True
p03493,Description_Vague,0.0,0.0,0.0,False,0.25559335947036743,0.25559335947036743,True,False,False,False,True
p02755,Description_Detailed,0.0,0.0,0.0,False,0.519445538520813,0.519445538520813,False,False,True,False,False
p02755,Description_Fewshot,0.0,0.0,0.0,False,0.3938693404197693,0.3938693404197693,True,False,False,False,True
p02755,Description_Reason,0.0,0.0,0.0,False,0.22577668726444244,0.22577668726444244,True,False,False,False,True
p02755,Description_Simple,0.0,0.0,0.0,False,0.4025040566921234,0.4025040566921234,True,False,False,False,True
p02755,Description_Vague,0.0,0.0,0.0,False,0.4739218056201935,0.4739218056201935,True,False,False,False,True
p02394,Description_Detailed,0.0,0.0,0.0,False,0.14271895587444305,0.14271895587444305,True,False,False,False,True
p02394,Description_Fewshot,0.0,0.0,0.0,False,0.14340709149837494,0.14340709149837494,True,False,False,False,True
p02394,Description_Reason,0.0,0.0,0.0,False,0.13005122542381287,0.13005122542381287,True,False,False,False,True
p02394,Description_Simple,0.1,0.1,0.1,False,0.08824048191308975,0.011759518086910253,True,False,False,False,True
p02394,Description_Vague,0.0,0.1,0.05,False,0.16932258009910583,0.11932258009910583,True,False,False,False,True
p02945,Description_Detailed,0.3,0.0,0.15,False,0.5124773979187012,0.36247739791870115,False,False,True,False,False
p02945,Description_Fewshot,0.0,0.0,0.0,False,0.47371846437454224,0.47371846437454224,True,False,False,False,True
p02945,Description_Reason,0.7,0.0,0.35,False,0.43004217743873596,0.08004217743873598,True,False,False,False,True
p02945,Description_Simple,0.0,0.4,0.2,False,0.4367061257362366,0.23670612573623656,True,False,False,False,True
p02945,Description_Vague,0.1,0.7,0.39999999999999997,False,0.4839232563972473,0.08392325639724735,True,False,False,False,True
p03469,Description_Detailed,0.9,0.0,0.45,False,0.31874385476112366,0.13125614523887635,True,False,False,False,True
p03469,Description_Fewshot,0.0,0.0,0.0,False,0.2553902268409729,0.2553902268409729,True,False,False,False,True
p03469,Description_Reason,0.0,0.1,0.05,False,0.24338310956954956,0.19338310956954957,True,False,False,False,True
p03469,Description_Simple,1.0,0.0,0.5,True,0.25189608335494995,0.24810391664505005,False,True,False,False,False
p03469,Description_Vague,0.1,1.0,0.55,True,0.21025662124156952,0.3397433787584305,False,True,False,False,False
p02934,Description_Detailed,0.0,0.9,0.45,False,0.26365113258361816,0.18634886741638185,True,False,False,False,True
p02934,Description_Fewshot,1.0,1.0,1.0,True,0.34666678309440613,0.6533332169055939,False,True,False,False,False
p02934,Description_Reason,0.0,0.0,0.0,False,0.07100052386522293,0.07100052386522293,True,False,False,False,True
p02934,Description_Simple,0.3,0.9,0.6,True,0.2971254289150238,0.3028745710849762,False,True,False,False,False
p02934,Description_Vague,0.1,1.0,0.55,True,0.3262792229652405,0.22372077703475957,False,True,False,False,False
p03448,Description_Detailed,0.9,0.4,0.65,True,0.3703066110610962,0.27969338893890383,False,True,False,False,False
p03448,Description_Fewshot,1.0,0.9,0.95,True,0.5213570594787598,0.4286429405212402,True,True,True,True,False
p03448,Description_Reason,0.8,0.8,0.8,True,0.45411935448646545,0.3458806455135346,False,True,False,False,False
p03448,Description_Simple,0.4,0.4,0.4,False,0.5587368607521057,0.1587368607521057,False,False,True,False,False
p03448,Description_Vague,0.0,0.1,0.05,False,0.5159412026405334,0.46594120264053346,False,False,True,False,False
p02420,Description_Detailed,0.0,0.1,0.05,False,0.3182837665081024,0.26828376650810243,True,False,False,False,True
p02420,Description_Fewshot,0.0,0.0,0.0,False,0.3337365388870239,0.3337365388870239,True,False,False,False,True
p02420,Description_Reason,0.0,0.1,0.05,False,0.26541614532470703,0.21541614532470704,True,False,False,False,True
p02420,Description_Simple,0.1,0.0,0.05,False,0.3346465826034546,0.2846465826034546,True,False,False,False,True
p02420,Description_Vague,0.1,0.1,0.1,False,0.3202366232872009,0.22023662328720092,True,False,False,False,True
p02268,Description_Detailed,0.0,0.0,0.0,False,0.39586174488067627,0.39586174488067627,True,False,False,False,True
p02268,Description_Fewshot,0.1,0.0,0.05,False,0.37157517671585083,0.32157517671585084,True,False,False,False,True
p02268,Description_Reason,0.0,0.0,0.0,False,0.10027004778385162,0.10027004778385162,True,False,False,False,True
p02268,Description_Simple,0.1,0.3,0.2,False,0.33205607533454895,0.13205607533454894,True,False,False,False,True
p02268,Description_Vague,0.3,0.0,0.15,False,0.2664690911769867,0.1164690911769867,True,False,False,False,True
p03324,Description_Detailed,0.0,0.1,0.05,False,0.292473703622818,0.242473703622818,True,False,False,False,True
p03324,Description_Fewshot,0.1,0.1,0.1,False,0.6417912840843201,0.5417912840843201,False,False,True,False,False
p03324,Description_Reason,0.1,0.0,0.05,False,0.2037450671195984,0.1537450671195984,True,False,False,False,True
p03324,Description_Simple,0.0,0.1,0.05,False,0.47556930780410767,0.4255693078041077,True,False,False,False,True
p03324,Description_Vague,0.1,0.1,0.1,False,0.35570308566093445,0.25570308566093447,True,False,False,False,True
p02390,Description_Detailed,0.0,0.1,0.05,False,0.29732567071914673,0.24732567071914674,True,False,False,False,True
p02390,Description_Fewshot,0.0,0.0,0.0,False,0.401862233877182,0.401862233877182,True,False,False,False,True
p02390,Description_Reason,0.0,0.0,0.0,False,0.3889563977718353,0.3889563977718353,True,False,False,False,True
p02390,Description_Simple,0.0,0.0,0.0,False,0.31638678908348083,0.31638678908348083,True,False,False,False,True
p02390,Description_Vague,0.1,0.0,0.05,False,0.35260099172592163,0.30260099172592164,True,False,False,False,True
p02675,Description_Detailed,0.0,0.0,0.0,False,0.09118650108575821,0.09118650108575821,True,False,False,False,True
p02675,Description_Fewshot,0.0,0.0,0.0,False,0.2242017686367035,0.2242017686367035,True,False,False,False,True
p02675,Description_Reason,0.0,0.0,0.0,False,0.13344097137451172,0.13344097137451172,True,False,False,False,True
p02675,Description_Simple,0.0,0.0,0.0,False,0.11168862879276276,0.11168862879276276,True,False,False,False,True
p02675,Description_Vague,0.0,0.0,0.0,False,0.20351126790046692,0.20351126790046692,True,False,False,False,True
p02730,Description_Detailed,0.0,0.0,0.0,False,0.3831935226917267,0.3831935226917267,True,False,False,False,True
p02730,Description_Fewshot,0.0,0.0,0.0,False,0.45961979031562805,0.45961979031562805,True,False,False,False,True
p02730,Description_Reason,0.1,0.0,0.05,False,0.42367881536483765,0.37367881536483766,True,False,False,False,True
p02730,Description_Simple,0.0,0.1,0.05,False,0.380596786737442,0.330596786737442,True,False,False,False,True
p02730,Description_Vague,0.0,0.0,0.0,False,0.39852631092071533,0.39852631092071533,True,False,False,False,True
p02778,Description_Detailed,0.1,0.0,0.05,False,0.3099915683269501,0.2599915683269501,True,False,False,False,True
p02778,Description_Fewshot,0.0,0.0,0.0,False,0.28729403018951416,0.28729403018951416,True,False,False,False,True
p02778,Description_Reason,0.4,0.1,0.25,False,0.24257759749889374,0.007422402501106262,True,False,False,False,True
p02778,Description_Simple,0.1,0.1,0.1,False,0.200260192155838,0.10026019215583801,True,False,False,False,True
p02778,Description_Vague,1.0,1.0,1.0,True,0.3193119466304779,0.6806880533695221,False,True,False,False,False
p02578,Description_Detailed,0.1,0.4,0.25,False,0.47247040271759033,0.22247040271759033,True,False,False,False,True
p02578,Description_Fewshot,0.1,0.0,0.05,False,0.2996387481689453,0.24963874816894532,True,False,False,False,True
p02578,Description_Reason,0.0,0.1,0.05,False,0.1984630823135376,0.1484630823135376,True,False,False,False,True
p02578,Description_Simple,0.1,0.1,0.1,False,0.39752110838890076,0.2975211083889008,True,False,False,False,True
p02578,Description_Vague,0.1,0.1,0.1,False,0.46841299533843994,0.36841299533843996,True,False,False,False,True
p02553,Description_Detailed,0.1,0.1,0.1,False,0.17875996232032776,0.07875996232032775,True,False,False,False,True
p02553,Description_Fewshot,0.1,0.0,0.05,False,0.48605334758758545,0.43605334758758546,True,False,False,False,True
p02553,Description_Reason,0.1,0.1,0.1,False,0.24694941937923431,0.1469494193792343,True,False,False,False,True
p02553,Description_Simple,0.0,0.1,0.05,False,0.5653682947158813,0.5153682947158813,False,False,True,False,False
p02553,Description_Vague,0.0,0.0,0.0,False,0.32030197978019714,0.32030197978019714,True,False,False,False,True
p02993,Description_Detailed,0.0,0.0,0.0,False,0.38699936866760254,0.38699936866760254,True,False,False,False,True
p02993,Description_Fewshot,0.4,0.0,0.2,False,0.23691751062870026,0.036917510628700245,True,False,False,False,True
