model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,25.2841,17.7557,52.1307,25.142,24.2898,17.0455,19.1761,17.0455,20.7386,19.4602,18.75,18.608,19.8864,22.017
GPT-3.5,25.2841,0,32.2443,45.3125,16.6193,24.858,29.5455,35.3693,30.1136,28.4091,33.6648,32.1023,33.3807,34.6591,29.4034
O4-mini,17.7557,32.2443,0,56.5341,31.5341,25,14.3466,14.2045,16.6193,21.4489,15.0568,14.9148,11.9318,13.7784,21.5909
Gemini,52.1307,45.3125,56.5341,0,43.1818,48.2955,56.392,59.375,55.8239,50.7102,57.6705,57.5284,59.6591,57.8125,48.8636
Llama-70B,25.142,16.6193,31.5341,43.1818,0,24.1477,30.5398,33.2386,30.2557,27.4148,32.9545,31.108,33.2386,33.3807,27.8409
Mistral,24.2898,24.858,25,48.2955,24.1477,0,24.858,26.7045,24.858,25.142,26.4205,24.2898,26.1364,26.5625,24.4318
DeepSeek-V3.1,17.0455,29.5455,14.3466,56.392,30.5398,24.858,0,15.767,15.3409,21.875,16.9034,15.0568,14.3466,14.7727,22.017
DeepSeek-R1,19.1761,35.3693,14.2045,59.375,33.2386,26.7045,15.767,0,15.483,25.4261,15.0568,14.6307,14.7727,15.1989,22.4432
DeepSeek-V4-Pro,17.0455,30.1136,16.6193,55.8239,30.2557,24.858,15.3409,15.483,0,21.5909,16.3352,16.1932,16.9034,17.0455,23.4375
QwenCoder,20.7386,28.4091,21.4489,50.7102,27.4148,25.142,21.875,25.4261,21.5909,0,24.2898,25.2841,24.2898,24.4318,25.142
Qwen3.7,19.4602,33.6648,15.0568,57.6705,32.9545,26.4205,16.9034,15.0568,16.3352,24.2898,0,15.483,13.0682,13.4943,24.4318
Claude-5,18.75,32.1023,14.9148,57.5284,31.108,24.2898,15.0568,14.6307,16.1932,25.2841,15.483,0,13.7784,14.4886,23.7216
GLM-5,18.608,33.3807,11.9318,59.6591,33.2386,26.1364,14.3466,14.7727,16.9034,24.2898,13.0682,13.7784,0,10.9375,23.8636
Kimi-K2.7,19.8864,34.6591,13.7784,57.8125,33.3807,26.5625,14.7727,15.1989,17.0455,24.4318,13.4943,14.4886,10.9375,0,23.7216
GPT-5,22.017,29.4034,21.5909,48.8636,27.8409,24.4318,22.017,22.4432,23.4375,25.142,24.4318,23.7216,23.8636,23.7216,0
