Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.5332489013671875,0.4667510986328125,True,True,True,True,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.4810801148414612,0.5189198851585388,False,True,False,False,False
p00006,Description_Simple,0.9,0.9,0.9,0.9,True,0.4592856764793396,0.4407143235206604,False,True,False,False,False
p02259,Description_Simple,0.8,0.8,0.8,0.8,True,0.708994448184967,0.091005551815033,True,True,True,True,False
p00007,Description_Simple,0.6,0.6,0.6,0.6,True,0.4876061975955963,0.11239380240440366,False,True,False,False,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.650668740272522,0.349331259727478,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6241229176521301,0.3758770823478699,True,True,True,True,False
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.6155301928520203,0.28446980714797976,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.5391585826873779,0.46084141731262207,True,True,True,True,False
p00011,Description_Simple,0.0,0.0,0.0,0.0,False,0.33701732754707336,0.33701732754707336,True,False,False,False,True
p02256,Description_Simple,1.0,1.0,1.0,1.0,True,0.4909297823905945,0.5090702176094055,False,True,False,False,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.5935251116752625,0.40647488832473755,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.6478695273399353,0.3521304726600647,True,True,True,True,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.5681411623954773,0.4318588376045227,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.4062785506248474,0.5937214493751526,False,True,False,False,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.6180416345596313,0.38195836544036865,True,True,True,True,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.4116891026496887,0.5883108973503113,False,True,False,False,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.36729323863983154,0.5327067613601685,False,True,False,False,False
p02390,Description_Simple,0.8,0.8,0.8,0.8,True,0.45893779397010803,0.341062206029892,False,True,False,False,False
p02396,Description_Simple,0.9,0.9,0.9,0.9,True,0.31144773960113525,0.5885522603988648,False,True,False,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.4723266065120697,0.5276733934879303,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.719185471534729,0.280814528465271,True,True,True,True,False
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.162398099899292,0.837601900100708,False,True,False,False,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.5101597905158997,0.38984020948410036,True,True,True,True,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.5890238881111145,0.4109761118888855,True,True,True,True,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.5672198534011841,0.4327801465988159,True,True,True,True,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5043936967849731,0.49560630321502686,True,True,True,True,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.5250737071037292,0.47492629289627075,True,True,True,True,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.426714152097702,0.573285847902298,False,True,False,False,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.535190224647522,0.36480977535247805,True,True,True,True,False
