Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.7514229416847229,0.2485770583152771,True,True,True,True,False
mbpp_0323,Description_Simple,0.9,0.9,0.9,0.9,True,0.6215384602546692,0.27846153974533083,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.44329833984375,0.55670166015625,False,True,False,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.7591984868049622,0.24080151319503784,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.702915608882904,0.29708439111709595,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.6934768557548523,0.6934768557548523,False,False,True,False,False
mbpp_0245,Description_Simple,0.8,0.8,0.8,0.8,True,0.5221762657165527,0.2778237342834473,True,True,True,True,False
mbpp_0039,Description_Simple,0.9,0.9,0.9,0.9,True,0.6449108123779297,0.25508918762207033,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.4705524742603302,0.5294475257396698,False,True,False,False,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6094875931739807,0.3905124068260193,True,True,True,True,False
mbpp_0515,Description_Simple,0.6,0.6,0.6,0.6,True,0.4623207151889801,0.13767928481101988,False,True,False,False,False
mbpp_0223,Description_Simple,0.8,0.8,0.8,0.8,True,0.7925680875778198,0.00743191242218022,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5597184896469116,0.4402815103530884,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.46846967935562134,0.06846967935562132,True,False,False,False,True
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.9111452698707581,0.08885473012924194,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7527837753295898,0.24721622467041016,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6733301877975464,0.3266698122024536,True,True,True,True,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.6657598614692688,0.3342401385307312,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.7581685781478882,0.24183142185211182,True,True,True,True,False
mbpp_0628,Description_Simple,0.7,0.7,0.7,0.7,True,0.6602523922920227,0.03974760770797725,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.5365036725997925,0.4634963274002075,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.7379951477050781,0.2620048522949219,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.605855405330658,0.39414459466934204,True,True,True,True,False
mbpp_0834,Description_Simple,0.3,0.3,0.3,0.3,False,0.7946251034736633,0.49462510347366334,False,False,True,False,False
mbpp_0665,Description_Simple,0.2,0.2,0.2,0.2,False,0.5914346575737,0.39143465757369994,False,False,True,False,False
mbpp_0898,Description_Simple,0.0,0.0,0.0,0.0,False,0.42736387252807617,0.42736387252807617,True,False,False,False,True
mbpp_0938,Description_Simple,0.9,0.9,0.9,0.9,True,0.7523087859153748,0.14769121408462527,True,True,True,True,False
mbpp_0501,Description_Simple,0.5,0.5,0.5,0.5,True,0.7081306576728821,0.20813065767288208,True,True,True,True,False
mbpp_0822,Description_Simple,0.9,0.9,0.9,0.9,True,0.5791343450546265,0.32086565494537356,True,True,True,True,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6578409671783447,0.3421590328216553,True,True,True,True,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.76445472240448,0.23554527759552002,True,True,True,True,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.7386382222175598,0.3386382222175598,False,False,True,False,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.6451197266578674,0.35488027334213257,True,True,True,True,False
