Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00011,Description_Simple,0.0,0.0,0.0,0.0,False,0.3843783438205719,0.3843783438205719,True,False,False,False,True
p00006,Description_Simple,0.8,0.8,0.8,0.8,True,0.337623655796051,0.462376344203949,False,True,False,False,False
p00005,Description_Simple,0.8,0.8,0.8,0.8,True,0.598353922367096,0.2016460776329041,True,True,True,True,False
p00002,Description_Simple,0.9,0.9,0.9,0.9,True,0.4968632459640503,0.40313675403594973,False,True,False,False,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.36178913712501526,0.6382108628749847,False,True,False,False,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.3505136966705322,0.6494863033294678,False,True,False,False,False
p02264,Description_Simple,0.4,0.4,0.4,0.4,False,0.7555392980575562,0.35553929805755613,False,False,True,False,False
p02257,Description_Simple,0.0,0.0,0.0,0.0,False,0.6082374453544617,0.6082374453544617,False,False,True,False,False
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.35243141651153564,0.6475685834884644,False,True,False,False,False
p02256,Description_Simple,0.7,0.7,0.7,0.7,True,0.5671108365058899,0.13288916349411006,True,True,True,True,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.7383579611778259,0.2616420388221741,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.6995289325714111,0.30047106742858887,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.682258665561676,0.317741334438324,True,True,True,True,False
p02258,Description_Simple,0.4,0.4,0.4,0.4,False,0.38594508171081543,0.014054918289184593,True,False,False,False,True
p00001,Description_Simple,0.6,0.6,0.6,0.6,True,0.6549027562141418,0.05490275621414187,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.5885740518569946,0.41142594814300537,True,True,True,True,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.5392806529998779,0.46071934700012207,True,True,True,True,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.1870967149734497,0.8129032850265503,False,True,False,False,False
p02397,Description_Simple,0.9,0.9,0.9,0.9,True,0.45801663398742676,0.44198336601257326,False,True,False,False,False
p02389,Description_Simple,0.4,0.4,0.4,0.4,False,0.1709287166595459,0.22907128334045412,True,False,False,False,True
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.5583377480506897,0.4416622519493103,True,True,True,True,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.673660933971405,0.32633906602859497,True,True,True,True,False
p02398,Description_Simple,1.0,1.0,1.0,1.0,True,0.4820123314857483,0.5179876685142517,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.6798710823059082,0.3201289176940918,True,True,True,True,False
p02396,Description_Simple,0.6,0.6,0.6,0.6,True,0.39002853631973267,0.2099714636802673,False,True,False,False,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.43686604499816895,0.563133955001831,False,True,False,False,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5454510450363159,0.4545489549636841,True,True,True,True,False
p02390,Description_Simple,0.9,0.9,0.9,0.9,True,0.4644577205181122,0.43554227948188784,False,True,False,False,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.43357202410697937,0.46642797589302065,False,True,False,False,False
p02404,Description_Simple,1.0,1.0,1.0,1.0,True,0.3917303681373596,0.6082696318626404,False,True,False,False,False
p02394,Description_Simple,0.8,0.8,0.8,0.8,True,0.28104299306869507,0.518957006931305,False,True,False,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.4166489243507385,0.5833510756492615,False,True,False,False,False
p02406,Description_Simple,0.9,0.9,0.9,0.9,True,0.3082287013530731,0.5917712986469269,False,True,False,False,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.4626442790031433,0.5373557209968567,False,True,False,False,False
p02408,Description_Simple,0.8,0.8,0.8,0.8,True,0.6137789487838745,0.18622105121612553,True,True,True,True,False
p02410,Description_Simple,0.4,0.4,0.4,0.4,False,0.49867600202560425,0.09867600202560423,True,False,False,False,True
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.535605788230896,0.464394211769104,True,True,True,True,False
p02411,Description_Simple,0.4,0.4,0.4,0.4,False,0.5610401034355164,0.16104010343551634,False,False,True,False,False
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.5139656066894531,0.4860343933105469,True,True,True,True,False
p02413,Description_Simple,1.0,1.0,1.0,1.0,True,0.5242606997489929,0.4757393002510071,True,True,True,True,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.5363686084747314,0.46363139152526855,True,True,True,True,False
p02419,Description_Simple,1.0,1.0,1.0,1.0,True,0.36730942130088806,0.6326905786991119,False,True,False,False,False
p02420,Description_Simple,0.4,0.4,0.4,0.4,False,0.22384899854660034,0.17615100145339968,True,False,False,False,True
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.7651517987251282,0.23484820127487183,True,True,True,True,False
p02414,Description_Simple,0.7,0.7,0.7,0.7,True,0.6146845817565918,0.08531541824340816,True,True,True,True,False
p02418,Description_Simple,0.2,0.2,0.2,0.2,False,0.46555373072624207,0.26555373072624205,True,False,False,False,True
p02416,Description_Simple,0.1,0.1,0.1,0.1,False,0.4458310604095459,0.3458310604095459,True,False,False,False,True
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.6005396246910095,0.3994603753089905,True,True,True,True,False
p02552,Description_Simple,0.0,0.0,0.0,0.0,False,0.26340755820274353,0.26340755820274353,True,False,False,False,True
p02553,Description_Simple,1.0,1.0,1.0,1.0,True,0.5220608115196228,0.4779391884803772,True,True,True,True,False
p02595,Description_Simple,1.0,1.0,1.0,1.0,True,0.3114023208618164,0.6885976791381836,False,True,False,False,False
p02612,Description_Simple,0.1,0.1,0.1,0.1,False,0.16235484182834625,0.06235484182834625,True,False,False,False,True
