Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03220,Description_Detailed,0.0,0.2,0.1,False,0.26303842663764954,0.16303842663764953,True,False,False,False,True
p03220,Description_Fewshot,0.1,0.0,0.05,False,0.08454309403896332,0.034543094038963315,True,False,False,False,True
p03220,Description_Reason,0.0,0.0,0.0,False,0.24701300263404846,0.24701300263404846,True,False,False,False,True
p03220,Description_Simple,0.2,0.0,0.1,False,0.24985794723033905,0.14985794723033904,True,False,False,False,True
p03220,Description_Vague,0.1,0.0,0.05,False,0.1775090992450714,0.12750909924507142,True,False,False,False,True
p02403,Description_Detailed,0.0,0.1,0.05,False,0.2690502405166626,0.2190502405166626,True,False,False,False,True
p02403,Description_Fewshot,0.2,0.0,0.1,False,0.4378747344017029,0.3378747344017029,True,False,False,False,True
p02403,Description_Reason,0.0,0.0,0.0,False,0.3605518341064453,0.3605518341064453,True,False,False,False,True
p02403,Description_Simple,0.9,0.2,0.55,True,0.35712987184524536,0.19287012815475468,False,True,False,False,False
p02403,Description_Vague,0.0,0.8,0.4,False,0.4688967168331146,0.0688967168331146,True,False,False,False,True
p02418,Description_Detailed,0.0,0.1,0.05,False,0.6075869798660278,0.5575869798660278,False,False,True,False,False
p02418,Description_Fewshot,0.2,0.9,0.55,True,0.47428393363952637,0.07571606636047368,False,True,False,False,False
p02418,Description_Reason,0.7,0.0,0.35,False,0.5411573052406311,0.19115730524063113,False,False,True,False,False
p02418,Description_Simple,0.2,0.5,0.35,False,0.5038329362869263,0.1538329362869263,False,False,True,False,False
p02418,Description_Vague,0.3,0.2,0.25,False,0.39040490984916687,0.14040490984916687,True,False,False,False,True
p02881,Description_Detailed,0.6,0.1,0.35,False,0.44973939657211304,0.09973939657211306,True,False,False,False,True
p02881,Description_Fewshot,0.0,0.6,0.3,False,0.3659866452217102,0.06598664522171022,True,False,False,False,True
p02881,Description_Reason,0.0,0.0,0.0,False,0.369426429271698,0.369426429271698,True,False,False,False,True
p02881,Description_Simple,0.6,0.1,0.35,False,0.3295690715312958,0.0204309284687042,True,False,False,False,True
p02881,Description_Vague,0.6,0.9,0.75,True,0.3887440860271454,0.3612559139728546,False,True,False,False,False
p03035,Description_Detailed,0.2,0.6,0.4,False,0.288454532623291,0.111545467376709,True,False,False,False,True
p03035,Description_Fewshot,0.6,0.6,0.6,True,0.26926910877227783,0.33073089122772215,False,True,False,False,False
p03035,Description_Reason,0.0,0.2,0.1,False,0.2658108174800873,0.16581081748008727,True,False,False,False,True
