Sub_Directory,Description_Type,LLM_GPT4o_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p04030,Description_Detailed,0.4,0.6,0.5,True,0.6668799519538879,0.16687995195388794,True,True,True,True,False
p04030,Description_Fewshot,0.4,0.1,0.25,False,0.39931759238243103,0.14931759238243103,True,False,False,False,True
p04030,Description_Reason,0.0,0.2,0.1,False,0.25792065262794495,0.15792065262794494,True,False,False,False,True
p04030,Description_Simple,0.0,0.1,0.05,False,0.421089231967926,0.37108923196792604,True,False,False,False,True
p04030,Description_Vague,0.0,0.9,0.45,False,0.3288795053958893,0.12112049460411073,True,False,False,False,True
p03449,Description_Detailed,0.4,0.0,0.2,False,0.5148919820785522,0.31489198207855223,False,False,True,False,False
p03449,Description_Fewshot,0.0,0.9,0.45,False,0.558305025100708,0.108305025100708,False,False,True,False,False
p03449,Description_Reason,0.0,0.9,0.45,False,0.5430381894111633,0.09303818941116332,False,False,True,False,False
p03449,Description_Simple,0.0,0.9,0.45,False,0.49282222986221313,0.042822229862213124,True,False,False,False,True
p03449,Description_Vague,1.0,0.6,0.8,True,0.4210745096206665,0.37892549037933354,False,True,False,False,False
p02571,Description_Detailed,0.0,0.2,0.1,False,0.3051888644695282,0.2051888644695282,True,False,False,False,True
p02571,Description_Fewshot,1.0,0.9,0.95,True,0.519598662853241,0.430401337146759,True,True,True,True,False
p02571,Description_Reason,0.9,0.3,0.6,True,0.4379444420337677,0.16205555796623228,False,True,False,False,False
p02571,Description_Simple,1.0,0.3,0.65,True,0.4888538718223572,0.16114612817764284,False,True,False,False,False
p02571,Description_Vague,0.9,0.9,0.9,True,0.19391901791095734,0.7060809820890427,False,True,False,False,False
p02388,Description_Detailed,0.9,0.9,0.9,True,0.70746910572052,0.19253089427948,True,True,True,True,False
p02388,Description_Fewshot,0.9,0.9,0.9,True,0.7431414723396301,0.1568585276603699,True,True,True,True,False
p02388,Description_Reason,1.0,0.9,0.95,True,0.606887698173523,0.343112301826477,True,True,True,True,False
p02388,Description_Simple,1.0,1.0,1.0,True,0.7151474952697754,0.2848525047302246,True,True,True,True,False
p02388,Description_Vague,1.0,0.6,0.8,True,0.6711539626121521,0.12884603738784794,True,True,True,True,False
p02993,Description_Detailed,0.9,0.9,0.9,True,0.350236713886261,0.549763286113739,False,True,False,False,False
p02993,Description_Fewshot,1.0,0.9,0.95,True,0.41340750455856323,0.5365924954414367,False,True,False,False,False
p02993,Description_Reason,1.0,0.5,0.75,True,0.25270169973373413,0.49729830026626587,False,True,False,False,False
p02993,Description_Simple,1.0,0.9,0.95,True,0.33695703744888306,0.6130429625511169,False,True,False,False,False
p02993,Description_Vague,1.0,0.9,0.95,True,0.12190118432044983,0.8280988156795501,False,True,False,False,False
p02951,Description_Detailed,1.0,0.2,0.6,True,0.1450096070766449,0.4549903929233551,False,True,False,False,False
p02951,Description_Fewshot,1.0,0.9,0.95,True,0.6404036283493042,0.30959637165069576,True,True,True,True,False
p02951,Description_Reason,0.0,0.6,0.3,False,0.08759850263595581,0.21240149736404418,True,False,False,False,True
p02951,Description_Simple,1.0,0.9,0.95,True,0.4486352205276489,0.501364779472351,False,True,False,False,False
p02951,Description_Vague,1.0,0.9,0.95,True,0.05588316544890404,0.8941168345510959,False,True,False,False,False
p02578,Description_Detailed,1.0,0.6,0.8,True,0.3563094735145569,0.44369052648544316,False,True,False,False,False
p02578,Description_Fewshot,1.0,0.9,0.95,True,0.6276429891586304,0.3223570108413696,True,True,True,True,False
p02578,Description_Reason,1.0,0.6,0.8,True,0.4594743847846985,0.34052561521530156,False,True,False,False,False
p02578,Description_Simple,1.0,0.9,0.95,True,0.6109723448753357,0.33902765512466426,True,True,True,True,False
p02578,Description_Vague,1.0,0.9,0.95,True,0.15365660190582275,0.7963433980941772,False,True,False,False,False
p03720,Description_Detailed,1.0,0.9,0.95,True,0.22072520852088928,0.7292747914791107,False,True,False,False,False
p03720,Description_Fewshot,1.0,0.6,0.8,True,0.3723066747188568,0.42769332528114323,False,True,False,False,False
p03720,Description_Reason,1.0,0.6,0.8,True,0.09184691309928894,0.7081530869007111,False,True,False,False,False
p03720,Description_Simple,1.0,0.0,0.5,True,0.14422813057899475,0.35577186942100525,False,True,False,False,False
p03720,Description_Vague,1.0,0.9,0.95,True,0.04546249285340309,0.9045375071465969,False,True,False,False,False
p02629,Description_Detailed,1.0,0.9,0.95,True,0.5561753511428833,0.39382464885711665,True,True,True,True,False
p02629,Description_Fewshot,1.0,0.9,0.95,True,0.6110916137695312,0.3389083862304687,True,True,True,True,False
p02629,Description_Reason,1.0,0.9,0.95,True,0.5947411060333252,0.35525889396667476,True,True,True,True,False
p02629,Description_Simple,1.0,0.9,0.95,True,0.5300432443618774,0.4199567556381225,True,True,True,True,False
p02629,Description_Vague,1.0,0.9,0.95,True,0.4782533645629883,0.4717466354370117,False,True,False,False,False
p02860,Description_Detailed,1.0,0.9,0.95,True,0.5770411491394043,0.37295885086059566,True,True,True,True,False
p02860,Description_Fewshot,1.0,0.9,0.95,True,0.4949735999107361,0.45502640008926387,False,True,False,False,False
p02860,Description_Reason,1.0,0.9,0.95,True,0.18293190002441406,0.7670680999755859,False,True,False,False,False
p02860,Description_Simple,1.0,0.9,0.95,True,0.4752236604690552,0.4747763395309448,False,True,False,False,False
p02860,Description_Vague,1.0,0.8,0.9,True,0.49926990270614624,0.4007300972938538,False,True,False,False,False
p02402,Description_Detailed,1.0,0.9,0.95,True,0.5630192160606384,0.38698078393936153,True,True,True,True,False
p02402,Description_Fewshot,1.0,0.9,0.95,True,0.6288836002349854,0.3211163997650146,True,True,True,True,False
p02402,Description_Reason,1.0,0.6,0.8,True,0.5664314031600952,0.23356859683990483,True,True,True,True,False
p02402,Description_Simple,0.4,0.9,0.65,True,0.5401514172554016,0.10984858274459841,True,True,True,True,False
p02402,Description_Vague,1.0,0.9,0.95,True,0.4251238703727722,0.5248761296272277,False,True,False,False,False
p03416,Description_Detailed,0.4,0.5,0.45,False,0.34640124440193176,0.10359875559806825,True,False,False,False,True
p03416,Description_Fewshot,1.0,0.9,0.95,True,0.36214667558670044,0.5878533244132995,False,True,False,False,False
p03416,Description_Reason,0.3,0.2,0.25,False,0.3488289713859558,0.09882897138595581,True,False,False,False,True
p03416,Description_Simple,0.3,0.0,0.15,False,0.44598376750946045,0.2959837675094604,True,False,False,False,True
p03416,Description_Vague,0.4,0.9,0.65,True,0.35917896032333374,0.2908210396766663,False,True,False,False,False
p02934,Description_Detailed,0.9,0.9,0.9,True,0.32560473680496216,0.5743952631950379,False,True,False,False,False
p02934,Description_Fewshot,1.0,0.9,0.95,True,0.3640015721321106,0.5859984278678894,False,True,False,False,False
p02934,Description_Reason,1.0,0.9,0.95,True,0.09053598344326019,0.8594640165567398,False,True,False,False,False
p02934,Description_Simple,1.0,0.9,0.95,True,0.3907895088195801,0.5592104911804199,False,True,False,False,False
p02934,Description_Vague,1.0,0.6,0.8,True,0.2629373073577881,0.537062692642212,False,True,False,False,False
p03814,Description_Detailed,0.9,0.6,0.75,True,0.4198398292064667,0.3301601707935333,False,True,False,False,False
p03814,Description_Fewshot,1.0,0.9,0.95,True,0.5528767108917236,0.3971232891082763,True,True,True,True,False
p03814,Description_Reason,1.0,0.9,0.95,True,0.3363759219646454,0.6136240780353546,False,True,False,False,False
p03814,Description_Simple,0.0,0.9,0.45,False,0.5355901718139648,0.08559017181396483,False,False,True,False,False
p03814,Description_Vague,0.4,0.1,0.25,False,0.27102988958358765,0.021029889583587646,True,False,False,False,True
p02759,Description_Detailed,1.0,0.0,0.5,True,0.3241494297981262,0.17585057020187378,False,True,False,False,False
p02759,Description_Fewshot,0.6,0.9,0.75,True,0.22768913209438324,0.5223108679056168,False,True,False,False,False
p02759,Description_Reason,0.0,0.0,0.0,False,0.21432578563690186,0.21432578563690186,True,False,False,False,True
p02759,Description_Simple,0.0,0.9,0.45,False,0.18016564846038818,0.2698343515396118,True,False,False,False,True
p02759,Description_Vague,0.0,0.0,0.0,False,0.14076422154903412,0.14076422154903412,True,False,False,False,True
p03042,Description_Detailed,1.0,0.9,0.95,True,0.5078878402709961,0.44211215972900386,True,True,True,True,False
p03042,Description_Fewshot,0.9,0.9,0.9,True,0.6273295879364014,0.27267041206359866,True,True,True,True,False
p03042,Description_Reason,0.9,0.7,0.8,True,0.5534979701042175,0.24650202989578252,True,True,True,True,False
p03042,Description_Simple,0.7,0.9,0.8,True,0.525446891784668,0.2745531082153321,True,True,True,True,False
p03042,Description_Vague,0.9,0.6,0.75,True,0.567495584487915,0.18250441551208496,True,True,True,True,False
p03011,Description_Detailed,0.9,0.9,0.9,True,0.5465387105941772,0.3534612894058228,True,True,True,True,False
p03011,Description_Fewshot,0.9,0.6,0.75,True,0.6075623631477356,0.1424376368522644,True,True,True,True,False
p03011,Description_Reason,1.0,0.9,0.95,True,0.06712724268436432,0.8828727573156356,False,True,False,False,False
p03011,Description_Simple,0.7,0.5,0.6,True,0.6770473718643188,0.07704737186431887,True,True,True,True,False
p03011,Description_Vague,0.4,0.0,0.2,False,0.46775299310684204,0.26775299310684203,True,False,False,False,True
p03854,Description_Detailed,0.4,0.5,0.45,False,0.45069193840026855,0.0006919384002685436,True,False,False,False,True
p03854,Description_Fewshot,0.3,0.6,0.44999999999999996,False,0.5203292369842529,0.07032923698425297,False,False,True,False,False
p03854,Description_Reason,0.9,0.6,0.75,True,0.4849666953086853,0.2650333046913147,False,True,False,False,False
p03854,Description_Simple,1.0,0.9,0.95,True,0.5153037905693054,0.43469620943069454,True,True,True,True,False
p03854,Description_Vague,0.4,0.6,0.5,True,0.45096683502197266,0.049033164978027344,False,True,False,False,False
p03060,Description_Detailed,1.0,0.6,0.8,True,0.19680416584014893,0.6031958341598511,False,True,False,False,False
p03060,Description_Fewshot,1.0,0.0,0.5,True,0.32251790165901184,0.17748209834098816,False,True,False,False,False
p03060,Description_Reason,0.7,0.9,0.8,True,0.4173978269100189,0.3826021730899811,False,True,False,False,False
p03060,Description_Simple,1.0,0.9,0.95,True,0.27544036507606506,0.6745596349239349,False,True,False,False,False
p03060,Description_Vague,0.4,0.4,0.4,False,0.05611071363091469,0.34388928636908533,True,False,False,False,True
p02718,Description_Detailed,0.4,0.8,0.6000000000000001,True,0.3471667468547821,0.252833253145218,False,True,False,False,False
p02718,Description_Fewshot,0.4,0.9,0.65,True,0.554909884929657,0.09509011507034304,True,True,True,True,False
p02718,Description_Reason,1.0,0.9,0.95,True,0.5149548649787903,0.4350451350212097,True,True,True,True,False
p02718,Description_Simple,0.0,0.9,0.45,False,0.5436209440231323,0.09362094402313231,False,False,True,False,False
p02718,Description_Vague,1.0,0.9,0.95,True,0.18540775775909424,0.7645922422409057,False,True,False,False,False
p02394,Description_Detailed,0.9,0.1,0.5,True,0.7712089419364929,0.2712089419364929,True,True,True,True,False
p02394,Description_Fewshot,0.4,0.4,0.4,False,0.2900100350379944,0.10998996496200564,True,False,False,False,True
p02394,Description_Reason,0.0,0.9,0.45,False,0.2666124403476715,0.1833875596523285,True,False,False,False,True
p02394,Description_Simple,1.0,0.9,0.95,True,0.31295058131217957,0.6370494186878204,False,True,False,False,False
p02394,Description_Vague,1.0,0.9,0.95,True,0.5224109292030334,0.4275890707969665,True,True,True,True,False
p00003,Description_Detailed,1.0,0.9,0.95,True,0.6484866142272949,0.30151338577270503,True,True,True,True,False
p00003,Description_Fewshot,1.0,0.9,0.95,True,0.7657613158226013,0.18423868417739864,True,True,True,True,False
p00003,Description_Reason,1.0,0.9,0.95,True,0.6614653468132019,0.28853465318679805,True,True,True,True,False
p00003,Description_Simple,1.0,0.9,0.95,True,0.6151095628738403,0.3348904371261596,True,True,True,True,False
p00003,Description_Vague,1.0,0.9,0.95,True,0.6581971049308777,0.29180289506912227,True,True,True,True,False
p02957,Description_Detailed,1.0,0.9,0.95,True,0.1705850213766098,0.7794149786233902,False,True,False,False,False
p02957,Description_Fewshot,1.0,0.9,0.95,True,0.48538684844970703,0.4646131515502929,False,True,False,False,False
p02957,Description_Reason,1.0,0.9,0.95,True,0.12952272593975067,0.8204772740602493,False,True,False,False,False
p02957,Description_Simple,1.0,0.1,0.55,True,0.3058595657348633,0.24414043426513676,False,True,False,False,False
p02957,Description_Vague,0.4,0.6,0.5,True,0.18851080536842346,0.31148919463157654,False,True,False,False,False
