Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.38028186559677124,0.6197181344032288,False,True,False,False,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.7379017472267151,0.2620982527732849,True,True,True,True,False
p00011,Description_Simple,0.1,0.1,0.1,0.1,False,0.27745696902275085,0.17745696902275085,True,False,False,False,True
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.37246033549308777,0.5275396645069123,False,True,False,False,False
p00007,Description_Simple,0.9,0.9,0.9,0.9,True,0.2797013819217682,0.6202986180782318,False,True,False,False,False
p02257,Description_Simple,0.4,0.4,0.4,0.4,False,0.5618406534194946,0.1618406534194946,False,False,True,False,False
p00006,Description_Simple,0.8,0.8,0.8,0.8,True,0.2262895703315735,0.5737104296684266,False,True,False,False,False
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.6035230159759521,0.39647698402404785,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6279867887496948,0.3720132112503052,True,True,True,True,False
p02256,Description_Simple,1.0,1.0,1.0,1.0,True,0.5286722779273987,0.4713277220726013,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.549697995185852,0.45030200481414795,True,True,True,True,False
p02268,Description_Simple,0.3,0.3,0.3,0.3,False,0.30355527997016907,0.0035552799701690785,True,False,False,False,True
p02264,Description_Simple,0.9,0.9,0.9,0.9,True,0.6123213171958923,0.2876786828041077,True,True,True,True,False
p02258,Description_Simple,0.0,0.0,0.0,0.0,False,0.37493500113487244,0.37493500113487244,True,False,False,False,True
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.6943124532699585,0.3056875467300415,True,True,True,True,False
p02260,Description_Simple,0.2,0.2,0.2,0.2,False,0.7211883664131165,0.5211883664131165,False,False,True,False,False
p02394,Description_Simple,0.2,0.2,0.2,0.2,False,0.33432143926620483,0.13432143926620482,True,False,False,False,True
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.4159407615661621,0.5840592384338379,False,True,False,False,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.36959242820739746,0.6304075717926025,False,True,False,False,False
p02389,Description_Simple,0.4,0.4,0.4,0.4,False,0.1090574562549591,0.2909425437450409,True,False,False,False,True
p02396,Description_Simple,0.3,0.3,0.3,0.3,False,0.2660679221153259,0.03393207788467406,True,False,False,False,True
p02390,Description_Simple,0.8,0.8,0.8,0.8,True,0.5106622576713562,0.28933774232864384,True,True,True,True,False
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.43314146995544434,0.5668585300445557,False,True,False,False,False
p02397,Description_Simple,0.6,0.6,0.6,0.6,True,0.3589768409729004,0.2410231590270996,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.5203152298927307,0.4796847701072693,True,True,True,True,False
p02398,Description_Simple,0.0,0.0,0.0,0.0,False,0.5836090445518494,0.5836090445518494,False,False,True,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.6110305786132812,0.38896942138671875,True,True,True,True,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.3550621271133423,0.6449378728866577,False,True,False,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.42857128381729126,0.5714287161827087,False,True,False,False,False
