model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,13.2159,10.3524,40.7489,16.7401,13.4361,12.1145,14.7577,11.2335,10.793,14.0969,12.7753,13.4361,13.2159,12.7753
GPT-3.5,13.2159,0,15.1982,40.7489,16.7401,16.0793,14.7577,18.7225,14.3172,14.3172,18.0617,17.6211,16.9604,17.1806,17.1806
O4-mini,10.3524,15.1982,0,40.0881,17.4009,11.0132,11.0132,11.4537,11.8943,12.7753,12.9956,10.3524,10.1322,9.47137,10.793
Gemini,40.7489,40.7489,40.0881,0,43.3921,40.9692,41.8502,39.207,40.5286,44.4934,42.0705,42.0705,41.8502,40.3084,41.1894
Llama-70B,16.7401,16.7401,17.4009,43.3921,0,15.1982,16.0793,20.4846,18.7225,14.3172,18.5022,18.0617,20.0441,18.0617,16.7401
Mistral,13.4361,16.0793,11.0132,40.9692,15.1982,0,11.4537,14.5374,13.2159,13.2159,13.8767,13.4361,14.0969,12.5551,13.4361
DeepSeek-V3.1,12.1145,14.7577,11.0132,41.8502,16.0793,11.4537,0,14.5374,12.3348,11.8943,12.9956,13.4361,11.8943,12.5551,12.5551
DeepSeek-R1,14.7577,18.7225,11.4537,39.207,20.4846,14.5374,14.5374,0,11.4537,16.7401,13.4361,12.9956,13.2159,12.1145,14.3172
DeepSeek-V4-Pro,11.2335,14.3172,11.8943,40.5286,18.7225,13.2159,12.3348,11.4537,0,14.0969,11.2335,11.2335,13.6564,11.2335,13.8767
QwenCoder,10.793,14.3172,12.7753,44.4934,14.3172,13.2159,11.8943,16.7401,14.0969,0,16.0793,13.8767,14.978,15.1982,13.8767
Qwen3.7,14.0969,18.0617,12.9956,42.0705,18.5022,13.8767,12.9956,13.4361,11.2335,16.0793,0,11.4537,11.674,11.4537,14.0969
Claude-5,12.7753,17.6211,10.3524,42.0705,18.0617,13.4361,13.4361,12.9956,11.2335,13.8767,11.4537,0,10.793,9.69163,11.8943
GLM-5,13.4361,16.9604,10.1322,41.8502,20.0441,14.0969,11.8943,13.2159,13.6564,14.978,11.674,10.793,0,12.1145,12.5551
Kimi-K2.7,13.2159,17.1806,9.47137,40.3084,18.0617,12.5551,12.5551,12.1145,11.2335,15.1982,11.4537,9.69163,12.1145,0,11.4537
GPT-5,12.7753,17.1806,10.793,41.1894,16.7401,13.4361,12.5551,14.3172,13.8767,13.8767,14.0969,11.8943,12.5551,11.4537,0
