Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.5680407881736755,0.3319592118263245,True,True,True,True,False
p03494,Description_Simple,0.9,0.9,0.9,0.9,True,0.6719509959220886,0.2280490040779114,True,True,True,True,False
p02773,Description_Simple,0.6,0.6,0.6,0.6,True,0.6105518341064453,0.010551834106445335,True,True,True,True,False
p02921,Description_Simple,0.4,0.4,0.4,0.4,False,0.5836114883422852,0.18361148834228513,False,False,True,False,False
p02910,Description_Simple,0.0,0.0,0.0,0.0,False,0.5361742973327637,0.5361742973327637,False,False,True,False,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7968603372573853,0.20313966274261475,True,True,True,True,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.2457713484764099,0.7542286515235901,False,True,False,False,False
p03035,Description_Simple,0.4,0.4,0.4,0.4,False,0.2745193839073181,0.1254806160926819,True,False,False,False,True
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.6803719997406006,0.3196280002593994,True,True,True,True,False
p03469,Description_Simple,0.3,0.3,0.3,0.3,False,0.5804009437561035,0.2804009437561035,False,False,True,False,False
p02729,Description_Simple,0.1,0.1,0.1,0.1,False,0.26388031244277954,0.16388031244277954,True,False,False,False,True
p02917,Description_Simple,0.2,0.2,0.2,0.2,False,0.6111162900924683,0.41111629009246825,False,False,True,False,False
p02711,Description_Simple,0.1,0.1,0.1,0.1,False,0.4653749465942383,0.3653749465942383,True,False,False,False,True
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.50182044506073,0.49817955493927,True,True,True,True,False
p02381,Description_Simple,0.6,0.6,0.6,0.6,True,0.711496114730835,0.11149611473083498,True,True,True,True,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.2460014969110489,0.7539985030889511,False,True,False,False,False
p02718,Description_Simple,0.6,0.6,0.6,0.6,True,0.4767916798591614,0.1232083201408386,False,True,False,False,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.3857218325138092,0.1857218325138092,True,False,False,False,True
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.7653855085372925,0.034614491462707564,True,True,True,True,False
