dataset,model_key,model,problem_id,s_enc,s_dead,s_lex,source,is_completed
java250,claude_sonnet_5,Claude Sonnet 5,p00001,0.560000,0.712500,0.770833,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p00002,0.240000,0.825000,0.683333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p00003,0.440000,0.812500,0.762500,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p00005,0.755000,0.612500,0.666667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p00006,0.400000,0.687500,0.700000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p00007,0.660000,0.756250,0.583333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p00011,0.530000,0.687500,0.554167,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02255,0.620000,0.562500,0.750000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02256,0.510000,0.425000,0.583333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02257,0.370000,0.537500,0.491667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02258,0.730000,0.550000,0.750000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02259,0.450000,0.512500,0.558333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02260,0.680000,0.587500,0.541667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02263,0.460000,0.700000,0.791667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02264,0.640000,0.737500,0.720833,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02268,0.500000,0.637500,0.600000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02381,0.300000,0.387500,0.733333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02388,0.730000,0.837500,0.816667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02389,0.260000,0.812500,0.666667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02390,0.420000,0.562500,0.575000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02391,0.290000,0.700000,0.741667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02392,0.210000,0.787500,0.766667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02393,0.600000,0.562500,0.683333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02394,0.200000,0.512500,0.608333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02396,0.260000,0.650000,0.508333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02397,0.270000,0.550000,0.533333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02398,0.620000,0.600000,0.650000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02399,0.190000,0.700000,0.616667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02400,0.450000,0.637500,0.800000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02401,0.460000,0.637500,0.687500,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02402,0.340000,0.637500,0.733333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02403,0.310000,0.450000,0.650000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02404,0.230000,0.750000,0.666667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02405,0.300000,0.725000,0.683333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02406,0.330000,0.775000,0.708333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02407,0.370000,0.500000,0.475000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02408,0.550000,0.800000,0.687500,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02409,0.420000,0.650000,0.675000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02410,0.480000,0.737500,0.675000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02411,0.430000,0.800000,0.716667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02412,0.550000,0.575000,0.675000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02413,0.740000,0.487500,0.766667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02414,0.280000,0.662500,0.741667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02415,0.280000,0.850000,0.808333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02416,0.300000,0.800000,0.650000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02417,0.250000,0.725000,0.837500,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02418,0.410000,0.756250,0.775000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02419,0.580000,0.687500,0.733333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02420,0.370000,0.612500,0.662500,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02421,0.600000,0.450000,0.733333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02547,0.650000,0.750000,0.691667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02552,0.460000,0.650000,0.475000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02553,0.620000,0.750000,0.608333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02570,0.600000,0.725000,0.666667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02571,0.685000,0.706250,0.566667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02576,0.570000,0.587500,0.566667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02577,0.360000,0.712500,0.641667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02578,0.540000,0.562500,0.508333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02582,0.340000,0.500000,0.433333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02595,0.760000,0.737500,0.641667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02612,0.380000,0.675000,0.558333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02613,0.310000,0.800000,0.733333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02621,0.310000,0.650000,0.570833,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02622,0.640000,0.750000,0.458333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02627,0.180000,0.787500,0.708333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02628,0.690000,0.687500,0.475000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02629,0.650000,0.675000,0.829167,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02639,0.580000,0.550000,0.433333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02640,0.170000,0.712500,0.620833,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02641,0.570000,0.537500,0.566667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02657,0.660000,0.612500,0.504167,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02658,0.540000,0.662500,0.733333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02659,0.530000,0.750000,0.391667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02675,0.260000,0.875000,0.766667,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02676,0.710000,0.725000,0.583333,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02677,0.660000,0.806250,0.700000,direct,false
java250,claude_sonnet_5,Claude Sonnet 5,p02681,0.380000,0.625000,0.600000,direct,false
