dataset,model_key,model,problem_id,pair,score,score_source
java250,gpt4o,GPT-4o,p00001,original_description__with_comments,0.75,llm_eval
java250,gpt4o,GPT-4o,p00001,original_description__without_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p00001,original_description__variable_renaming,0.9,llm_eval
java250,gpt4o,GPT-4o,p00001,original_description__dead_code,0.275,llm_eval
java250,gpt4o,GPT-4o,p00001,original_description__encryption,0.2,llm_eval
java250,gpt4o,GPT-4o,p00001,with_comments__without_comments,0.944197,st_pairwise
java250,gpt4o,GPT-4o,p00001,with_comments__variable_renaming,0.683218,st_pairwise
java250,gpt4o,GPT-4o,p00001,with_comments__dead_code,0.954306,st_pairwise
java250,gpt4o,GPT-4o,p00001,with_comments__encryption,0.908001,st_pairwise
java250,gpt4o,GPT-4o,p00001,without_comments__variable_renaming,0.736039,st_pairwise
java250,gpt4o,GPT-4o,p00001,without_comments__dead_code,0.964051,st_pairwise
java250,gpt4o,GPT-4o,p00001,without_comments__encryption,0.927234,st_pairwise
java250,gpt4o,GPT-4o,p00001,variable_renaming__dead_code,0.680804,st_pairwise
java250,gpt4o,GPT-4o,p00001,variable_renaming__encryption,0.661174,st_pairwise
java250,gpt4o,GPT-4o,p00001,dead_code__encryption,0.912058,st_pairwise
java250,gpt4o,GPT-4o,p00002,original_description__with_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p00002,original_description__without_comments,0.9,llm_eval
java250,gpt4o,GPT-4o,p00002,original_description__variable_renaming,0.6,llm_eval
java250,gpt4o,GPT-4o,p00002,original_description__dead_code,0.6,llm_eval
java250,gpt4o,GPT-4o,p00002,original_description__encryption,0.1,llm_eval
java250,gpt4o,GPT-4o,p00002,with_comments__without_comments,0.923673,st_pairwise
java250,gpt4o,GPT-4o,p00002,with_comments__variable_renaming,0.920065,st_pairwise
java250,gpt4o,GPT-4o,p00002,with_comments__dead_code,0.743243,st_pairwise
java250,gpt4o,GPT-4o,p00002,with_comments__encryption,0.626297,st_pairwise
java250,gpt4o,GPT-4o,p00002,without_comments__variable_renaming,0.887132,st_pairwise
java250,gpt4o,GPT-4o,p00002,without_comments__dead_code,0.787801,st_pairwise
java250,gpt4o,GPT-4o,p00002,without_comments__encryption,0.609043,st_pairwise
