,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,1.0,0.6926229508196722,0.9230769230769231,0.9477911646586346,0.008438818565400843,0.9352226720647774,0.2672413793103448,0.03361344537815126,0.9516129032258065,0.5950413223140496,0.864,0.24369747899159663,0.016877637130801686,0.6995884773662552
GPT3.5,0.6926229508196722,1.0,0.7178423236514523,0.7096774193548387,0.011363636363636364,0.7020408163265306,0.26881720430107525,0.03932584269662921,0.7056451612903226,0.5625,0.7161016949152542,0.27717391304347827,0.01694915254237288,0.6761904761904762
GPT4o,0.9230769230769231,0.7178423236514523,1.0,0.944,0.008403361344537815,0.9392712550607287,0.2703862660944206,0.037815126050420166,0.9556451612903226,0.5991735537190083,0.8906882591093117,0.24789915966386555,0.01680672268907563,0.7178423236514523
Gemini,0.9477911646586346,0.7096774193548387,0.944,1.0,0.008064516129032258,0.956,0.26556016597510373,0.036290322580645164,0.98,0.5943775100401606,0.9156626506024096,0.23790322580645162,0.016129032258064516,0.7028112449799196
LlamaVL,0.008438818565400843,0.011363636363636364,0.008403361344537815,0.008064516129032258,1.0,0.008298755186721992,0.0,0.0,0.008097165991902834,0.006666666666666667,0.008733624454148471,0.0,0.0,0.011363636363636364
O4-mini,0.9352226720647774,0.7020408163265306,0.9392712550607287,0.956,0.008298755186721992,1.0,0.25738396624472576,0.03734439834024896,0.9598393574297188,0.5853658536585366,0.8875502008032129,0.2396694214876033,0.016597510373443983,0.6951219512195121
Qwen3VL,0.2672413793103448,0.26881720430107525,0.2703862660944206,0.26556016597510373,0.0,0.25738396624472576,1.0,0.07352941176470588,0.26666666666666666,0.26666666666666666,0.2599118942731278,0.2079207920792079,0.014925373134328358,0.2983425414364641
codellama,0.03361344537815126,0.03932584269662921,0.037815126050420166,0.036290322580645164,0.0,0.03734439834024896,0.07352941176470588,1.0,0.03643724696356275,0.039473684210526314,0.039301310043668124,0.046153846153846156,0.08333333333333333,0.03932584269662921
deepseek-r1,0.9516129032258065,0.7056451612903226,0.9556451612903226,0.98,0.008097165991902834,0.9598393574297188,0.26666666666666666,0.03643724696356275,1.0,0.584,0.9116465863453815,0.2388663967611336,0.016194331983805668,0.6987951807228916
mistral,0.5950413223140496,0.5625,0.5991735537190083,0.5943775100401606,0.006666666666666667,0.5853658536585366,0.26666666666666666,0.039473684210526314,0.584,1.0,0.6223175965665236,0.23076923076923078,0.006578947368421052,0.5853658536585366
qwencoder32B,0.864,0.7161016949152542,0.8906882591093117,0.9156626506024096,0.008733624454148471,0.8875502008032129,0.2599118942731278,0.039301310043668124,0.9116465863453815,0.6223175965665236,1.0,0.24675324675324675,0.013043478260869565,0.7088607594936709
starchat,0.24369747899159663,0.27717391304347827,0.24789915966386555,0.23790322580645162,0.0,0.2396694214876033,0.2079207920792079,0.046153846153846156,0.2388663967611336,0.23076923076923078,0.24675324675324675,1.0,0.0,0.24338624338624337
starcoder,0.016877637130801686,0.01694915254237288,0.01680672268907563,0.016129032258064516,0.0,0.016597510373443983,0.014925373134328358,0.08333333333333333,0.016194331983805668,0.006578947368421052,0.013043478260869565,0.0,1.0,0.01694915254237288
Llama70B,0.6995884773662552,0.6761904761904762,0.7178423236514523,0.7028112449799196,0.011363636363636364,0.6951219512195121,0.2983425414364641,0.03932584269662921,0.6987951807228916,0.5853658536585366,0.7088607594936709,0.24338624338624337,0.01694915254237288,1.0
