Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02729,Description_Simple,0.6,0.6,0.6,0.6,True,0.5333017706871033,0.0666982293128967,True,True,True,True,False
p02773,Description_Simple,0.6,0.8,0.7,0.6499999999999999,True,0.6222701072692871,0.027729892730712802,True,True,True,True,False
p02921,Description_Simple,0.6,0.5,0.55,0.575,True,0.5784331560134888,0.003433156013488814,True,True,True,True,False
p03494,Description_Simple,0.9,0.9,0.9,0.9,True,0.5355470776557922,0.3644529223442078,True,True,True,True,False
p03456,Description_Simple,0.9,0.9,0.9,0.9,True,0.6836815476417542,0.21631845235824587,True,True,True,True,False
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.5561114549636841,0.34388854503631594,True,True,True,True,False
p02917,Description_Simple,0.6,0.6,0.6,0.6,True,0.555160403251648,0.04483959674835203,True,True,True,True,False
p02577,Description_Simple,0.9,0.9,0.9,0.9,True,0.7975354790687561,0.10246452093124392,True,True,True,True,False
p03035,Description_Simple,0.6,0.8,0.7,0.6499999999999999,True,0.4530593752861023,0.19694062471389762,False,True,False,False,False
p02988,Description_Simple,0.9,0.9,0.9,0.9,True,0.517596423625946,0.382403576374054,True,True,True,True,False
p03469,Description_Simple,0.2,0.6,0.4,0.4,False,0.5957294702529907,0.1957294702529907,False,False,True,False,False
p02570,Description_Simple,0.9,0.9,0.9,0.9,True,0.6132535338401794,0.2867464661598206,True,True,True,True,False
p02910,Description_Simple,0.6,0.6,0.6,0.6,True,0.6801650524139404,0.08016505241394045,True,True,True,True,False
p03059,Description_Simple,0.6,0.6,0.6,0.6,True,0.3351724147796631,0.2648275852203369,False,True,False,False,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.649906575679779,0.25009342432022097,True,True,True,True,False
p02711,Description_Simple,0.6,0.6,0.6,0.6,True,0.608921229839325,0.008921229839324973,True,True,True,True,False
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.7739371061325073,0.1260628938674927,True,True,True,True,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.4471909999847412,0.2471909999847412,True,False,False,False,True
p03457,Description_Simple,0.9,0.9,0.9,0.9,True,0.6207512617111206,0.2792487382888794,True,True,True,True,False
p03434,Description_Simple,0.8,0.8,0.8,0.8,True,0.5514307022094727,0.2485692977905274,True,True,True,True,False
p03239,Description_Simple,0.2,0.2,0.2,0.2,False,0.28298771381378174,0.08298771381378173,True,False,False,False,True
p02786,Description_Simple,0.6,0.6,0.6,0.6,True,0.38671302795410156,0.21328697204589842,False,True,False,False,False
p02916,Description_Simple,0.6,0.9,0.75,0.75,True,0.6382073163986206,0.1117926836013794,True,True,True,True,False
p02547,Description_Simple,0.6,0.8,0.7,0.6499999999999999,True,0.5426192879676819,0.10738071203231803,True,True,True,True,False
p04012,Description_Simple,0.7,0.6,0.6499999999999999,0.625,True,0.7457005977630615,0.12070059776306152,True,True,True,True,False
p02718,Description_Simple,0.9,0.9,0.9,0.9,True,0.5120241045951843,0.3879758954048157,True,True,True,True,False
p02576,Description_Simple,0.9,0.9,0.9,0.9,True,0.6321022510528564,0.2678977489471436,True,True,True,True,False
p02981,Description_Simple,0.6,0.1,0.35,0.35,False,0.22274452447891235,0.12725547552108762,True,False,False,False,True
p02582,Description_Simple,0.9,0.9,0.9,0.9,True,0.6322505474090576,0.2677494525909424,True,True,True,True,False
p02772,Description_Simple,0.6,0.6,0.6,0.6,True,0.7902475595474243,0.19024755954742434,True,True,True,True,False
p02571,Description_Simple,0.6,0.6,0.6,0.6,True,0.5315132737159729,0.06848672628402708,True,True,True,True,False
p02911,Description_Simple,0.9,0.9,0.9,0.9,True,0.7365114688873291,0.16348853111267092,True,True,True,True,False
p02987,Description_Simple,0.9,0.9,0.9,0.9,True,0.6354405283927917,0.2645594716072083,True,True,True,True,False
p02989,Description_Simple,0.9,0.9,0.9,0.9,True,0.5353928804397583,0.3646071195602417,True,True,True,True,False
p02719,Description_Simple,0.9,0.9,0.9,0.9,True,0.6619283556938171,0.23807164430618288,True,True,True,True,False
p03435,Description_Simple,0.6,0.6,0.6,0.6,True,0.47015154361724854,0.12984845638275144,False,True,False,False,False
p02389,Description_Simple,0.6,0.6,0.6,0.6,True,0.8150525689125061,0.21505256891250613,True,True,True,True,False
p02801,Description_Simple,0.6,0.6,0.6,0.6,True,0.7472061514854431,0.14720615148544314,True,True,True,True,False
p02264,Description_Simple,0.8,0.8,0.8,0.8,True,0.707545280456543,0.09245471954345708,True,True,True,True,False
p02578,Description_Simple,0.9,0.9,0.9,0.9,True,0.6495203375816345,0.2504796624183655,True,True,True,True,False
p03316,Description_Simple,0.9,0.9,0.9,0.9,True,0.5517162084579468,0.34828379154205324,True,True,True,True,False
p02830,Description_Simple,0.9,0.9,0.9,0.9,True,0.5542390942573547,0.3457609057426453,True,True,True,True,False
p02945,Description_Simple,0.9,0.9,0.9,0.9,True,0.6444721221923828,0.2555278778076172,True,True,True,True,False
p03060,Description_Simple,0.9,0.9,0.9,0.9,True,0.3116872310638428,0.5883127689361572,False,True,False,False,False
p02899,Description_Simple,0.6,0.6,0.6,0.6,True,0.29859447479248047,0.3014055252075195,False,True,False,False,False
p02717,Description_Simple,0.0,0.1,0.05,0.025,False,0.48405921459198,0.45905921459197996,True,False,False,False,True
p02263,Description_Simple,0.9,0.9,0.9,0.9,True,0.7046389579772949,0.1953610420227051,True,True,True,True,False
p03775,Description_Simple,0.9,0.9,0.9,0.9,True,0.576070249080658,0.32392975091934206,True,True,True,True,False
p03146,Description_Simple,0.9,0.9,0.9,0.9,True,0.4800879955291748,0.4199120044708252,False,True,False,False,False
p02639,Description_Simple,0.9,0.9,0.9,0.9,True,0.38548019528388977,0.5145198047161103,False,True,False,False,False
p02831,Description_Simple,0.9,0.9,0.9,0.9,True,0.5775825381278992,0.32241746187210085,True,True,True,True,False
p02897,Description_Simple,0.4,0.4,0.4,0.4,False,0.5975672006607056,0.19756720066070554,False,False,True,False,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.579842209815979,0.320157790184021,True,True,True,True,False
p02898,Description_Simple,0.6,0.6,0.6,0.6,True,0.37168511748313904,0.22831488251686094,False,True,False,False,False
p03147,Description_Simple,0.2,0.2,0.2,0.2,False,0.5016757845878601,0.3016757845878601,False,False,True,False,False
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.7372589111328125,0.16274108886718752,True,True,True,True,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.5415084958076477,0.3584915041923523,True,True,True,True,False
p02405,Description_Simple,0.6,0.6,0.6,0.6,True,0.5545351505279541,0.045464849472045876,True,True,True,True,False
p03720,Description_Simple,0.9,0.9,0.9,0.9,True,0.5181397199630737,0.3818602800369263,True,True,True,True,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.7723549604415894,0.12764503955841067,True,True,True,True,False
p02836,Description_Simple,0.2,0.5,0.35,0.275,False,0.37864917516708374,0.10364917516708372,True,False,False,False,True
p02416,Description_Simple,0.6,0.6,0.6,0.6,True,0.709854006767273,0.10985400676727297,True,True,True,True,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.6809343099594116,0.2190656900405884,True,True,True,True,False
p02699,Description_Simple,0.3,0.2,0.25,0.275,False,0.7161404490470886,0.4411404490470886,False,False,True,False,False
p03136,Description_Simple,0.2,0.2,0.2,0.2,False,0.409894198179245,0.20989419817924498,True,False,False,False,True
p02418,Description_Simple,0.9,0.9,0.9,0.9,True,0.7517246007919312,0.14827539920806887,True,True,True,True,False
p03109,Description_Simple,0.6,0.5,0.55,0.575,True,0.47817695140838623,0.09682304859161373,False,True,False,False,False
p02419,Description_Simple,0.8,0.8,0.8,0.8,True,0.766918420791626,0.03308157920837407,True,True,True,True,False
p02677,Description_Simple,0.2,0.2,0.2,0.2,False,0.6005167365074158,0.40051673650741576,False,False,True,False,False
p02410,Description_Simple,0.9,0.9,0.9,0.9,True,0.6885542869567871,0.2114457130432129,True,True,True,True,False
p02847,Description_Simple,0.9,0.9,0.9,0.9,True,0.6467311978340149,0.25326880216598513,True,True,True,True,False
p02641,Description_Simple,0.6,0.6,0.6,0.6,True,0.6031069159507751,0.0031069159507751687,True,True,True,True,False
p02613,Description_Simple,0.6,0.6,0.6,0.6,True,0.4705037474632263,0.12949625253677366,False,True,False,False,False
p03360,Description_Simple,0.9,0.9,0.9,0.9,True,0.7692409753799438,0.13075902462005617,True,True,True,True,False
p03107,Description_Simple,0.2,0.2,0.2,0.2,False,0.4413982033729553,0.2413982033729553,True,False,False,False,True
p02612,Description_Simple,0.1,0.2,0.15000000000000002,0.17500000000000002,False,0.3334771990776062,0.15847719907760618,True,False,False,False,True
p02879,Description_Simple,0.9,0.9,0.9,0.9,True,0.5546954274177551,0.3453045725822449,True,True,True,True,False
p02420,Description_Simple,0.6,0.6,0.6,0.6,True,0.42169156670570374,0.17830843329429624,False,True,False,False,False
p02622,Description_Simple,0.6,0.6,0.6,0.6,True,0.4086609184741974,0.1913390815258026,False,True,False,False,False
p02421,Description_Simple,0.9,0.9,0.9,0.9,True,0.6718255281448364,0.2281744718551636,True,True,True,True,False
p02676,Description_Simple,0.9,0.9,0.9,0.9,True,0.6075502038002014,0.2924497961997986,True,True,True,True,False
p02994,Description_Simple,0.9,0.9,0.9,0.9,True,0.7228937149047852,0.17710628509521487,True,True,True,True,False
p02682,Description_Simple,0.9,0.9,0.9,0.9,True,0.5744414329528809,0.32555856704711916,True,True,True,True,False
p02417,Description_Simple,0.9,0.9,0.9,0.9,True,0.8656273484230042,0.03437265157699587,True,True,True,True,False
p03087,Description_Simple,0.9,0.9,0.9,0.9,True,0.6169044971466064,0.2830955028533936,True,True,True,True,False
p02848,Description_Simple,0.9,0.9,0.9,0.9,True,0.6295453906059265,0.2704546093940735,True,True,True,True,False
p03073,Description_Simple,0.2,0.2,0.2,0.2,False,0.3937593102455139,0.1937593102455139,True,False,False,False,True
p02394,Description_Simple,0.9,0.9,0.9,0.9,True,0.68894362449646,0.21105637550354006,True,True,True,True,False
p02993,Description_Simple,0.9,0.9,0.9,0.9,True,0.627078652381897,0.27292134761810305,True,True,True,True,False
p02640,Description_Simple,0.2,0.2,0.2,0.2,False,0.3706771731376648,0.17067717313766478,True,False,False,False,True
p03106,Description_Simple,0.7,0.9,0.8,0.8500000000000001,True,0.6468425989151001,0.2031574010849,True,True,True,True,False
p03042,Description_Simple,0.9,0.9,0.9,0.9,True,0.5975672602653503,0.3024327397346497,True,True,True,True,False
p02812,Description_Simple,0.9,0.9,0.9,0.9,True,0.7024741172790527,0.1975258827209473,True,True,True,True,False
