Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,0.2,0.2,0.2,0.2,False,0.45894721150398254,0.25894721150398253,True,False,False,False,True
p00002,Description_Simple,0.0,0.0,0.0,0.0,False,0.13290365040302277,0.13290365040302277,True,False,False,False,True
p00003,Description_Simple,0.4,0.4,0.4,0.4,False,0.3697832226753235,0.030216777324676536,True,False,False,False,True
p00005,Description_Simple,0.8,0.8,0.8,0.8,True,0.6200200319290161,0.17997996807098393,True,True,True,True,False
p00006,Description_Simple,0.1,0.1,0.1,0.1,False,0.37317419052124023,0.27317419052124026,True,False,False,False,True
p00011,Description_Simple,0.4,0.4,0.4,0.4,False,0.2833452820777893,0.11665471792221072,True,False,False,False,True
p00007,Description_Simple,0.0,0.0,0.0,0.0,False,0.352373331785202,0.352373331785202,True,False,False,False,True
p02255,Description_Simple,0.6,0.6,0.6,0.6,True,0.52492356300354,0.07507643699645994,True,True,True,True,False
p02268,Description_Simple,0.0,0.0,0.0,0.0,False,0.23303230106830597,0.23303230106830597,True,False,False,False,True
p02257,Description_Simple,0.2,0.2,0.2,0.2,False,0.561119556427002,0.36111955642700194,False,False,True,False,False
p02260,Description_Simple,0.9,0.9,0.9,0.9,True,0.6420300006866455,0.2579699993133545,True,True,True,True,False
p02258,Description_Simple,0.0,0.0,0.0,0.0,False,0.410224050283432,0.410224050283432,True,False,False,False,True
p02259,Description_Simple,0.7,0.7,0.7,0.7,True,0.6626753807067871,0.037324619293212846,True,True,True,True,False
p02264,Description_Simple,0.9,0.9,0.9,0.9,True,0.48246389627456665,0.41753610372543337,False,True,False,False,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.3574199378490448,0.6425800621509552,False,True,False,False,False
p02256,Description_Simple,0.8,0.8,0.8,0.8,True,0.6102652549743652,0.1897347450256348,True,True,True,True,False
p02381,Description_Simple,0.0,0.0,0.0,0.0,False,0.24424400925636292,0.24424400925636292,True,False,False,False,True
p02397,Description_Simple,0.6,0.6,0.6,0.6,True,0.23078323900699615,0.3692167609930038,False,True,False,False,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.5112517476081848,0.3887482523918152,True,True,True,True,False
p02389,Description_Simple,0.0,0.0,0.0,0.0,False,0.14406362175941467,0.14406362175941467,True,False,False,False,True
p02394,Description_Simple,0.0,0.0,0.0,0.0,False,0.22850891947746277,0.22850891947746277,True,False,False,False,True
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.5267328023910522,0.47326719760894775,True,True,True,True,False
p02398,Description_Simple,0.2,0.2,0.2,0.2,False,0.5556590557098389,0.35565905570983886,False,False,True,False,False
p02388,Description_Simple,0.0,0.0,0.0,0.0,False,0.19127516448497772,0.19127516448497772,True,False,False,False,True
p02390,Description_Simple,0.0,0.0,0.0,0.0,False,0.1233687773346901,0.1233687773346901,True,False,False,False,True
p02399,Description_Simple,0.8,0.8,0.8,0.8,True,0.41670218110084534,0.3832978188991547,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.7356628775596619,0.26433712244033813,True,True,True,True,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.4615289568901062,0.5384710431098938,False,True,False,False,False
p02401,Description_Simple,0.9,0.9,0.9,0.9,True,0.5220774412155151,0.3779225587844849,True,True,True,True,False
p02404,Description_Simple,0.2,0.2,0.2,0.2,False,0.4203738272190094,0.2203738272190094,True,False,False,False,True
p02396,Description_Simple,0.2,0.2,0.2,0.2,False,0.24193690717220306,0.04193690717220305,True,False,False,False,True
p02403,Description_Simple,0.1,0.1,0.1,0.1,False,0.201580211520195,0.101580211520195,True,False,False,False,True
p02410,Description_Simple,0.6,0.6,0.6,0.6,True,0.37982553243637085,0.22017446756362913,False,True,False,False,False
p02406,Description_Simple,0.9,0.9,0.9,0.9,True,0.31732648611068726,0.5826735138893128,False,True,False,False,False
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.5551448464393616,0.4448551535606384,True,True,True,True,False
p02409,Description_Simple,0.9,0.9,0.9,0.9,True,0.4358665645122528,0.4641334354877472,False,True,False,False,False
p02412,Description_Simple,0.8,0.8,0.8,0.8,True,0.3200177252292633,0.47998227477073674,False,True,False,False,False
p02408,Description_Simple,0.0,0.0,0.0,0.0,False,0.19064565002918243,0.19064565002918243,True,False,False,False,True
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.5154959559440613,0.4845040440559387,True,True,True,True,False
p02416,Description_Simple,0.1,0.1,0.1,0.1,False,0.17745786905288696,0.07745786905288696,True,False,False,False,True
p02414,Description_Simple,0.9,0.9,0.9,0.9,True,0.42070773243904114,0.4792922675609589,False,True,False,False,False
p02418,Description_Simple,0.4,0.4,0.4,0.4,False,0.4857577383518219,0.08575773835182188,True,False,False,False,True
p02405,Description_Simple,0.8,0.8,0.8,0.8,True,0.37694692611694336,0.4230530738830567,False,True,False,False,False
p02411,Description_Simple,0.1,0.1,0.1,0.1,False,0.3335174024105072,0.2335174024105072,True,False,False,False,True
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.7110947966575623,0.28890520334243774,True,True,True,True,False
p02413,Description_Simple,0.6,0.6,0.6,0.6,True,0.4802749454975128,0.11972505450248716,False,True,False,False,False
p02419,Description_Simple,0.8,0.8,0.8,0.8,True,0.4012726843357086,0.3987273156642914,False,True,False,False,False
p02420,Description_Simple,0.1,0.1,0.1,0.1,False,0.12880383431911469,0.02880383431911468,True,False,False,False,True
p02553,Description_Simple,0.4,0.4,0.4,0.4,False,0.4030437469482422,0.0030437469482421653,True,False,False,False,True
p02571,Description_Simple,0.0,0.0,0.0,0.0,False,0.09210919588804245,0.09210919588804245,True,False,False,False,True
p02577,Description_Simple,0.0,0.0,0.0,0.0,False,0.2102840393781662,0.2102840393781662,True,False,False,False,True
p02552,Description_Simple,0.0,0.0,0.0,0.0,False,0.17830543220043182,0.17830543220043182,True,False,False,False,True
p02570,Description_Simple,0.0,0.0,0.0,0.0,False,0.1807856261730194,0.1807856261730194,True,False,False,False,True
p02547,Description_Simple,0.2,0.2,0.2,0.2,False,0.1284443736076355,0.07155562639236451,True,False,False,False,True
p02622,Description_Simple,0.0,0.0,0.0,0.0,False,0.16092541813850403,0.16092541813850403,True,False,False,False,True
p02621,Description_Simple,0.0,0.0,0.0,0.0,False,0.16069532930850983,0.16069532930850983,True,False,False,False,True
p02576,Description_Simple,0.2,0.2,0.2,0.2,False,0.2546573579311371,0.054657357931137074,True,False,False,False,True
p02612,Description_Simple,0.0,0.0,0.0,0.0,False,0.11479034274816513,0.11479034274816513,True,False,False,False,True
