Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.49081161618232727,0.5091883838176727,False,True,False,False,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.35191547870635986,0.04808452129364016,True,False,False,False,True
mbpp_0031,Description_Simple,0.2,0.2,0.2,0.2,False,0.50180983543396,0.30180983543395995,False,False,True,False,False
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5698705315589905,0.4301294684410095,True,True,True,True,False
mbpp_0323,Description_Simple,0.8,0.8,0.8,0.8,True,0.439649373292923,0.36035062670707707,False,True,False,False,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.5431078672409058,0.45689213275909424,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.7067121267318726,0.29328787326812744,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.45811372995376587,0.5418862700462341,False,True,False,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6761314868927002,0.3238685131072998,True,True,True,True,False
mbpp_0004,Description_Simple,1.0,1.0,1.0,1.0,True,0.4791858196258545,0.5208141803741455,False,True,False,False,False
mbpp_0039,Description_Simple,0.4,0.4,0.4,0.4,False,0.4551158547401428,0.0551158547401428,True,False,False,False,True
mbpp_0245,Description_Simple,0.0,0.0,0.0,0.0,False,0.5213527083396912,0.5213527083396912,False,False,True,False,False
mbpp_0496,Description_Simple,0.9,0.9,0.9,0.9,True,0.6429883241653442,0.2570116758346558,True,True,True,True,False
mbpp_0822,Description_Simple,0.7,0.7,0.7,0.7,True,0.5640684962272644,0.13593150377273555,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5486457943916321,0.4513542056083679,True,True,True,True,False
