"problem_id","failure_type","pattern","original_with_comments_score","with_without_comments_score","without_var_renaming_score","without_dead_code_score","without_encryption_score","score_drop","example_1_label","example_1_text","example_2_label","example_2_text"
"p02640","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.5,0.9,0.8,0.7,0.4,0.5,"without_comments",":Title: Heads and Legs Problem Solver  
Main Goal: Reads the total count of animals and total legs, computes how many 2-legged and 4-legged creatures would be needed, checks that these counts are non-negative integers matching the inputs, and prints ""Yes"" if valid or ""No"" otherwise.:","encryption","Title: Encrypted Animal-Leg Solver

Main goal: This obfuscated Java program reads two integers X (number of animals) and Y (total legs), then solves the classic system:
  C + T = X  
  2·C + 4·T = Y  
for C (chickens) and T (rabbits). It uses a small integer array to store constants (2 and 4) and an encrypted string array for output messages. Based on whether the solution is valid, negative or non-integer, it prints one of several hidden messages that were decrypted at startup using DES, Blowfish or XOR routines."
"p02682","Variable_Renaming_Failure","without_comments-variable_renaming < 0.5 (after comments removed)",0.8,0.9,0.25,0.9,0.9,0.65,"without_comments","Title: Maximum Sum Selection from Counts of 1, 0, and –1  
Main goal: Read the available counts of 1s, 0s, and –1s and a selection size k, then compute and print the highest possible sum by choosing up to k elements—prioritizing all 1s, then 0s, and finally –1s.","variable_renaming","Title: Calculating the Difference Between “A” and “C” Task Solvers

Main Goal:  
Read four non-negative integers A, B, C, and K (with 1 ≤ K ≤ A+B+C and A+B+C ≤ 2·10⁹). Imagine K participants who each attempt tasks in the order A, then B, then C: the first min(A,K) participants solve A, the next min(B, K−A) solve B, and the remaining min(C, K−A−B) solve C. Output the number of A-solvers minus the number of C-solvers."
"p03371","Variable_Renaming_Failure","without_comments-variable_renaming < 0.5 (after comments removed)",0.5,0.6499999999999999,0.3,0.3,0.6499999999999999,0.3499999999999999,"without_comments","Title: Maximizing Profit from Selling Red and Blue Items with a Bundle Discount  
Main goal: Given unit prices a (red), b (blue), a bundle price c per item when sold in red-blue pairs, and quantities x (red), y (blue), compute the maximum revenue by choosing optimally between selling items individually or as discounted pairs.  
The program reads a, b, c, x, y; determines the number of pairs (min(x,y)) and leftover items; compares 2·c against a+b to decide whether to use the bundle price or individual prices for both pairs and leftovers; then outputs the total optimal revenue.","variable_renaming","Title: Calculation of Total Work Output or Cost for Two Concurrent Processes

Main goal: This code reads five integers—two processing rates (a and b), a threshold rate (c), and two time points (t1 and t2)—and computes the total “work” (or cost) produced by the faster of the two processes over the interval from min(t1,t2) to max(t1,t2). It splits the interval into two phases: one where both processes may contribute up to twice the threshold, and another where only the faster process contributes up to the threshold limit. The final result is the sum of work done in both phases, printed as an integer."
"p03371","Dead_Code_Failure","without_comments-dead_code < 0.5 (after comments removed)",0.5,0.6499999999999999,0.3,0.3,0.6499999999999999,0.3499999999999999,"without_comments","Title: Maximizing Profit from Selling Red and Blue Items with a Bundle Discount  
Main goal: Given unit prices a (red), b (blue), a bundle price c per item when sold in red-blue pairs, and quantities x (red), y (blue), compute the maximum revenue by choosing optimally between selling items individually or as discounted pairs.  
The program reads a, b, c, x, y; determines the number of pairs (min(x,y)) and leftover items; compares 2·c against a+b to decide whether to use the bundle price or individual prices for both pairs and leftovers; then outputs the total optimal revenue.","dead_code","Title: One-Dimensional Travel Cost Calculator  
Main goal: Computes the minimal total cost to go from position x to y (on a number line or building floors), given step‐costs a (forward) and b (backward) and a fixed “teleport/elevator” cost c. The code splits the trip into two segments—0 to the nearer of x and y, and then between x and y—and for each unit chooses the cheaper of walking versus teleporting."
"p02910","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.5,0.75,0.8,0.9,0.3,0.45,"without_comments","Title: Alternating Direction String Validator with Fast I/O  
Main goal: Read a string consisting of 'L' and 'R' using a custom fast reader, then check that at every even index the character is not 'L' (i.e., it must be 'R') and at every odd index it is not 'R' (i.e., it must be 'L'). Print ""Yes"" if the string strictly alternates starting with 'R', otherwise print ""No"".","encryption","Title: Parity-Based Character Detector with Encrypted Messages  
Main goal: This obfuscated program reads a single string from standard input, scans its characters at even (0-based) positions for 'L' and at odd positions for 'R', and, upon the first match, decrypts and prints a corresponding hidden message (using MD5-keyed Blowfish or DES). If neither pattern is found, it decrypts and prints a default fallback message."
"p02723","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.5,0.9,0.9,0.8,0.45,0.45,"without_comments","Title: Check Matching Character Pairs in a String  
Goal: This Java program reads a single string from standard input, then checks whether its 3rd and 4th characters are the same and its 5th and 6th characters are the same. It prints ""Yes"" if both conditions hold, otherwise ""No"", using custom fast I/O helper classes.","encryption","Title: Obfuscated Conditional String Checker with Encrypted Outputs  
Main goal: Reads a single input string, tests whether the first two characters are equal and simultaneously the third and fourth characters are equal, then prints one of two hard-coded messages that are stored in the code as Blowfish-encrypted, Base64-encoded strings."
"p02848","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.5,0.9,0.8500000000000001,0.9,0.3,0.6000000000000001,"without_comments","Title: Caesar Cipher for Uppercase Strings
Main goal: Reads an integer shift value n and an uppercase string, converts each letter to its alphabet index (A=0…Z=25), adds the shift modulo 26, then converts back to letters—effectively performing a Caesar cipher encryption.","encryption","Title: Obfuscated Caesar Cipher Implementation

Main Goal:
This code implements a Caesar‐style shift cipher over a custom, 26‐symbol alphabet that is stored in an obfuscated form. It reads an integer shift value n and a text string s, maps each character of s to its index in the hidden alphabet, adds the shift (mod 26), and then prints the resulting shifted characters.

Key Components:
1. IIl(): Builds the integer array l[] via a series of XOR/bitwise operations to hide literal constants (e.g. 0,1,…,26).  
2. ll(): Fills the string array I[] by decrypting hard‐coded Base64 blobs using three helper methods:  
   - l(obj,key): Simple XOR cipher after Base64 decode.  
   - I(obj,key): DES decryption with an MD5‐derived key.  
   - Il(obj,key): Blowfish decryption with an MD5‐derived key.  
3. main():  
   a. Reads the shift amount n and input string s.  
   b. For each character in s, finds its index by comparing to every I[i] entry.  
   c. Adds the shift n modulo 26.  
   d. Outputs the encrypted character by indexing back into I[]."
"p03360","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.7,0.9,0.9,0.9,0.3,0.6000000000000001,"without_comments","Title: Repeatedly Doubling the Largest of Three Numbers and Summing

Main Goal: The program reads three integers (each from 1 to 50) and a repetition count K (1 to 10). It then performs K iterations in which it identifies the largest of the three values, doubles it, and finally outputs the sum of the three resulting numbers.","encryption","Title: Obfuscated Input‐Validation and Doubling Routine

Main Goal: The code reads two integers X and K (checking 1≤X≤50 and 1≤K≤10), then multiplies X by 2 exactly (K–2) times (no multiplication if K<2), adds 2, and prints the result. Internally it uses an obfuscated int[] l for all constants and a “kokuban” array of length 3 to store and update X."
"p02687","Encryption_Failure","without_comments-encryption < 0.5 (after comments removed)",0.2,0.9,0.8,0.7,0.3,0.6000000000000001,"without_comments","Title: ABC/ARC String Toggle
Main goal: Reads a single string from standard input and prints ""ARC"" if the input equals ""ABC""; otherwise prints ""ABC"". It uses a custom fast InputReader class for token parsing.","encryption","Title: Obfuscated CLI Password Checker

Main Goal: Read a string from standard input, compare it with a hidden secret token, and print either a success message or a failure message—both of which are stored in encrypted form and decrypted at runtime.

Description: 
1. The static initializer sets up three encrypted strings in array `l`:
   - `l[0]`: the secret token (DES-encrypted, then Base64-encoded, keyed by “Ftpsf”).
   - `l[1]`: the success response (also DES-encrypted/Base64, keyed by “AnuXn”).
   - `l[2]`: the failure response (Base64-encoded then XOR-encrypted with “zGoze”).
2. Two decryption methods:
   - `I(String, String)`: performs DES decryption using an MD5–derived key.
   - `Il(String, String)`: Base64-decodes and then XORs with the provided key.
3. A custom `InputReader` reads tokens from standard input.
4. In `main()`, the program reads one string, checks `if (input.equals(l[0]))`, and prints `l[1]` on match, otherwise prints `l[2]`.

Effectively, it’s a simple password check with all sensitive strings hidden via lightweight obfuscation."
"p02731","Dead_Code_Failure","without_comments-dead_code < 0.5 (after comments removed)",0.2,0.75,0.8,0.3,0.6499999999999999,0.45,"without_comments","Title: Java Grid-Processing Utility with Cube-Volume Calculation

Main Goal: The class defines utility methods to read input and a function kMarsh() that, given an n×m character grid with ‘x’ as blocked cells, computes the maximum perimeter of an empty-axis-aligned rectangle that can be formed without touching any ‘x’. However, the actual main() method currently ignores kMarsh() and simply reads a double l from input, divides it by 3, cubes the result, and prints that value.

Key Functions:
• cin() and split() – buffered integer readers.  
• kMarsh(String[] grid) – transforms the grid to a char matrix, precomputes the next obstacle row for each column and row, builds a 3D boolean table to test empty horizontal spans, then searches all pairs of empty cells (i,j)→(i,k) to find the largest unobstructed rectangle’s perimeter.  
• main() – reads a double l, computes (l/3)^3, and prints it; it does not invoke kMarsh().","dead_code","Title: Cube Volume Calculator

Main goal: This program reads a single real number l from standard input, computes (l/3)³, and prints the result. All other methods (cin, split, kMarsh, etc.) are unused remnants and do not affect the output."
