,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,0.0,32.4,19.2,27.6,54.800000000000004,23.599999999999998,41.80327868852459,55.2,22.400000000000002,32.800000000000004,29.599999999999998,42.0,56.00000000000001,34.4
GPT3.5,32.4,0.0,25.2,43.2,33.6,38.4,24.59016393442623,34.0,40.400000000000006,26.0,34.0,28.799999999999997,34.0,24.4
GPT4o,19.2,25.2,0.0,26.0,52.400000000000006,24.4,36.885245901639344,52.0,24.8,28.000000000000004,28.000000000000004,41.199999999999996,52.800000000000004,27.200000000000003
Gemini,27.6,43.2,26.0,0.0,75.2,16.0,58.606557377049185,74.8,15.6,41.199999999999996,29.2,61.6,75.6,46.0
LlamaVL,54.800000000000004,33.6,52.400000000000006,75.2,0.0,69.6,18.442622950819672,2.0,69.19999999999999,38.0,59.599999999999994,17.599999999999998,1.2,32.4
O4-mini,23.599999999999998,38.4,24.4,16.0,69.6,0.0,52.459016393442624,69.19999999999999,16.400000000000002,37.2,26.8,56.00000000000001,70.0,39.6
Qwen3VL,41.80327868852459,24.59016393442623,36.885245901639344,58.606557377049185,18.442622950819672,52.459016393442624,0.0,18.0327868852459,52.04918032786885,30.327868852459016,45.49180327868852,22.540983606557376,17.21311475409836,27.459016393442624
codellama,55.2,34.0,52.0,74.8,2.0,69.19999999999999,18.0327868852459,0.0,68.8,36.8,60.0,18.0,1.6,31.2
deepseek-r1,22.400000000000002,40.400000000000006,24.8,15.6,69.19999999999999,16.400000000000002,52.04918032786885,68.8,0.0,36.8,28.799999999999997,55.60000000000001,69.6,44.0
mistral,32.800000000000004,26.0,28.000000000000004,41.199999999999996,38.0,37.2,30.327868852459016,36.8,36.8,0.0,34.4,31.6,37.6,24.8
qwencoder32B,29.599999999999998,34.0,28.000000000000004,29.2,59.599999999999994,26.8,45.49180327868852,60.0,28.799999999999997,34.4,0.0,49.2,60.8,36.0
starchat,42.0,28.799999999999997,41.199999999999996,61.6,17.599999999999998,56.00000000000001,22.540983606557376,18.0,55.60000000000001,31.6,49.2,0.0,17.2,26.0
starcoder,56.00000000000001,34.0,52.800000000000004,75.6,1.2,70.0,17.21311475409836,1.6,69.6,37.6,60.8,17.2,0.0,32.0
Llama70B,34.4,24.4,27.200000000000003,46.0,32.4,39.6,27.459016393442624,31.2,44.0,24.8,36.0,26.0,32.0,0.0
