Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.6810621023178101,0.31893789768218994,True,True,True,True,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.5510401129722595,0.4489598870277405,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7294948101043701,0.2705051898956299,True,True,True,True,False
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.5515807271003723,0.4484192728996277,True,True,True,True,False
p00006,Description_Simple,0.2,0.2,0.2,0.2,False,0.5049639940261841,0.30496399402618407,False,False,True,False,False
p00011,Description_Simple,1.0,1.0,1.0,1.0,True,0.3547248840332031,0.6452751159667969,False,True,False,False,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.6074953079223633,0.3925046920776367,True,True,True,True,False
p00007,Description_Simple,0.9,0.9,0.9,0.9,True,0.45626193284988403,0.443738067150116,False,True,False,False,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.6474674344062805,0.3525325655937195,True,True,True,True,False
p02257,Description_Simple,0.9,0.9,0.9,0.9,True,0.6288374662399292,0.2711625337600708,True,True,True,True,False
p02256,Description_Simple,0.4,0.4,0.4,0.4,False,0.5737392902374268,0.17373929023742674,False,False,True,False,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.7973381280899048,0.20266187191009521,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.8022327423095703,0.1977672576904297,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.4426667392253876,0.5573332607746124,False,True,False,False,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6646120548248291,0.3353879451751709,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.6616023182868958,0.33839768171310425,True,True,True,True,False
p02390,Description_Simple,0.8,0.8,0.8,0.8,True,0.5531060695648193,0.2468939304351807,True,True,True,True,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.6250827312469482,0.37491726875305176,True,True,True,True,False
