Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.6228068470954895,0.3771931529045105,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.4398151934146881,0.5601848065853119,False,True,False,False,False
p02258,Description_Simple,0.0,0.0,0.0,0.0,False,0.4397799074649811,0.4397799074649811,True,False,False,False,True
p00011,Description_Simple,1.0,1.0,1.0,1.0,True,0.33426183462142944,0.6657381653785706,False,True,False,False,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.4285600185394287,0.5714399814605713,False,True,False,False,False
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.8148573637008667,0.1851426362991333,True,True,True,True,False
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.5029832720756531,0.39701672792434695,True,True,True,True,False
p00006,Description_Simple,1.0,1.0,1.0,1.0,True,0.5439087748527527,0.4560912251472473,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7516046166419983,0.2483953833580017,True,True,True,True,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.6499204039573669,0.35007959604263306,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.6747573018074036,0.32524269819259644,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6933218240737915,0.3066781759262085,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.5484790205955505,0.45152097940444946,True,True,True,True,False
p00005,Description_Simple,0.9,0.9,0.9,0.9,True,0.611097514629364,0.288902485370636,True,True,True,True,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.6949676275253296,0.3050323724746704,True,True,True,True,False
p02256,Description_Simple,1.0,1.0,1.0,1.0,True,0.6675809621810913,0.3324190378189087,True,True,True,True,False
p02389,Description_Simple,0.9,0.9,0.9,0.9,True,0.41561397910118103,0.484386020898819,False,True,False,False,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.6761002540588379,0.22389974594116213,True,True,True,True,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.5018881559371948,0.4981118440628052,True,True,True,True,False
p02390,Description_Simple,0.9,0.9,0.9,0.9,True,0.4708288311958313,0.4291711688041687,False,True,False,False,False
p02394,Description_Simple,0.9,0.9,0.9,0.9,True,0.5015357136726379,0.3984642863273621,True,True,True,True,False
p02396,Description_Simple,1.0,1.0,1.0,1.0,True,0.481545627117157,0.518454372882843,False,True,False,False,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.48471033573150635,0.4152896642684937,False,True,False,False,False
p02392,Description_Simple,0.8,0.8,0.8,0.8,True,0.6445792317390442,0.15542076826095585,True,True,True,True,False
p02398,Description_Simple,0.9,0.9,0.9,0.9,True,0.7011551260948181,0.1988448739051819,True,True,True,True,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.5264872312545776,0.47351276874542236,True,True,True,True,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.5431345701217651,0.45686542987823486,True,True,True,True,False
p02399,Description_Simple,0.9,0.9,0.9,0.9,True,0.4632880687713623,0.4367119312286377,False,True,False,False,False
p02400,Description_Simple,0.9,0.9,0.9,0.9,True,0.7367948293685913,0.1632051706314087,True,True,True,True,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.5885224342346191,0.41147756576538086,True,True,True,True,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.5550869107246399,0.4449130892753601,True,True,True,True,False
p02403,Description_Simple,0.8,0.8,0.8,0.8,True,0.4399247169494629,0.36007528305053715,False,True,False,False,False
p02411,Description_Simple,0.8,0.8,0.8,0.8,True,0.6399420499801636,0.16005795001983647,True,True,True,True,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.738162636756897,0.261837363243103,True,True,True,True,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.5013009905815125,0.49869900941848755,True,True,True,True,False
p02406,Description_Simple,0.9,0.9,0.9,0.9,True,0.2867049276828766,0.6132950723171234,False,True,False,False,False
p02414,Description_Simple,0.0,0.0,0.0,0.0,False,0.19774751365184784,0.19774751365184784,True,False,False,False,True
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.7767486572265625,0.2232513427734375,True,True,True,True,False
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.49564629793167114,0.5043537020683289,False,True,False,False,False
p02410,Description_Simple,0.4,0.4,0.4,0.4,False,0.6381196975708008,0.23811969757080076,False,False,True,False,False
p02408,Description_Simple,1.0,1.0,1.0,1.0,True,0.7322898507118225,0.2677101492881775,True,True,True,True,False
p02413,Description_Simple,1.0,1.0,1.0,1.0,True,0.5294961929321289,0.4705038070678711,True,True,True,True,False
p02416,Description_Simple,0.0,0.0,0.0,0.0,False,0.5308278203010559,0.5308278203010559,False,False,True,False,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.5111843943595886,0.4888156056404114,True,True,True,True,False
p02420,Description_Simple,1.0,1.0,1.0,1.0,True,0.34519729018211365,0.6548027098178864,False,True,False,False,False
p02419,Description_Simple,1.0,1.0,1.0,1.0,True,0.5165160298347473,0.4834839701652527,True,True,True,True,False
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.569983720779419,0.43001627922058105,True,True,True,True,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.60301274061203,0.39698725938796997,True,True,True,True,False
p02421,Description_Simple,1.0,1.0,1.0,1.0,True,0.7915503978729248,0.2084496021270752,True,True,True,True,False
p02547,Description_Simple,1.0,1.0,1.0,1.0,True,0.3182971179485321,0.6817028820514679,False,True,False,False,False
p02553,Description_Simple,0.4,0.4,0.4,0.4,False,0.5262500047683716,0.12625000476837156,False,False,True,False,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.486499160528183,0.513500839471817,False,True,False,False,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.4717870354652405,0.5282129645347595,False,True,False,False,False
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.4669100344181061,0.5330899655818939,False,True,False,False,False
p02552,Description_Simple,1.0,1.0,1.0,1.0,True,0.2664187550544739,0.7335812449455261,False,True,False,False,False
p02627,Description_Simple,0.4,0.4,0.4,0.4,False,0.2833191752433777,0.11668082475662234,True,False,False,False,True
p02578,Description_Simple,0.0,0.0,0.0,0.0,False,0.25228822231292725,0.25228822231292725,True,False,False,False,True
p02612,Description_Simple,0.2,0.2,0.2,0.2,False,0.40747350454330444,0.20747350454330443,True,False,False,False,True
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.15623387694358826,0.8437661230564117,False,True,False,False,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.556902289390564,0.44309771060943604,True,True,True,True,False
p02621,Description_Simple,0.0,0.0,0.0,0.0,False,0.12558576464653015,0.12558576464653015,True,False,False,False,True
p02595,Description_Simple,1.0,1.0,1.0,1.0,True,0.31901901960372925,0.6809809803962708,False,True,False,False,False
p02622,Description_Simple,1.0,1.0,1.0,1.0,True,0.2456829696893692,0.7543170303106308,False,True,False,False,False
p02613,Description_Simple,0.9,0.9,0.9,0.9,True,0.45167747139930725,0.44832252860069277,False,True,False,False,False
p02628,Description_Simple,1.0,1.0,1.0,1.0,True,0.3281000852584839,0.6718999147415161,False,True,False,False,False
p02694,Description_Simple,1.0,1.0,1.0,1.0,True,0.3611084818840027,0.6388915181159973,False,True,False,False,False
p02640,Description_Simple,0.2,0.2,0.2,0.2,False,0.31018710136413574,0.11018710136413573,True,False,False,False,True
p02675,Description_Simple,1.0,1.0,1.0,1.0,True,0.44940662384033203,0.550593376159668,False,True,False,False,False
p02629,Description_Simple,1.0,1.0,1.0,1.0,True,0.2914792597293854,0.7085207402706146,False,True,False,False,False
p02693,Description_Simple,1.0,1.0,1.0,1.0,True,0.2688024342060089,0.7311975657939911,False,True,False,False,False
p02639,Description_Simple,0.9,0.9,0.9,0.9,True,0.28009968996047974,0.6199003100395203,False,True,False,False,False
p02688,Description_Simple,1.0,1.0,1.0,1.0,True,0.21971969306468964,0.7802803069353104,False,True,False,False,False
p02681,Description_Simple,1.0,1.0,1.0,1.0,True,0.5074412822723389,0.49255871772766113,True,True,True,True,False
p02687,Description_Simple,0.8,0.8,0.8,0.8,True,0.3472438156604767,0.45275618433952336,False,True,False,False,False
p02659,Description_Simple,0.7,0.7,0.7,0.7,True,0.4599260091781616,0.24007399082183833,False,True,False,False,False
p02641,Description_Simple,1.0,1.0,1.0,1.0,True,0.35565185546875,0.64434814453125,False,True,False,False,False
p02676,Description_Simple,0.6,0.6,0.6,0.6,True,0.18256612122058868,0.4174338787794113,False,True,False,False,False
p02657,Description_Simple,0.7,0.7,0.7,0.7,True,0.15142065286636353,0.5485793471336364,False,True,False,False,False
p02682,Description_Simple,1.0,1.0,1.0,1.0,True,0.5890041589736938,0.41099584102630615,True,True,True,True,False
p02658,Description_Simple,1.0,1.0,1.0,1.0,True,0.44723403453826904,0.552765965461731,False,True,False,False,False
p02701,Description_Simple,1.0,1.0,1.0,1.0,True,0.3825432062149048,0.6174567937850952,False,True,False,False,False
p02711,Description_Simple,1.0,1.0,1.0,1.0,True,0.4851865768432617,0.5148134231567383,False,True,False,False,False
p02707,Description_Simple,1.0,1.0,1.0,1.0,True,0.1695089042186737,0.8304910957813263,False,True,False,False,False
p02718,Description_Simple,1.0,1.0,1.0,1.0,True,0.409684956073761,0.590315043926239,False,True,False,False,False
p02706,Description_Simple,1.0,1.0,1.0,1.0,True,0.2674947679042816,0.7325052320957184,False,True,False,False,False
p02713,Description_Simple,1.0,1.0,1.0,1.0,True,0.5726158022880554,0.4273841977119446,True,True,True,True,False
p02699,Description_Simple,1.0,1.0,1.0,1.0,True,0.664264440536499,0.335735559463501,True,True,True,True,False
p02719,Description_Simple,0.0,0.0,0.0,0.0,False,0.4157705008983612,0.4157705008983612,True,False,False,False,True
p02723,Description_Simple,1.0,1.0,1.0,1.0,True,0.49117445945739746,0.5088255405426025,False,True,False,False,False
p02700,Description_Simple,1.0,1.0,1.0,1.0,True,0.6040645837783813,0.39593541622161865,True,True,True,True,False
p02724,Description_Simple,1.0,1.0,1.0,1.0,True,0.403436541557312,0.596563458442688,False,True,False,False,False
p02712,Description_Simple,1.0,1.0,1.0,1.0,True,0.3935762643814087,0.6064237356185913,False,True,False,False,False
