Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02389,Description_Detailed,0.0,0.0,0.0,False,0.1992630809545517,0.1992630809545517,True,False,False,False,True
p02389,Description_Fewshot,0.0,0.0,0.0,False,0.1354779750108719,0.1354779750108719,True,False,False,False,True
p02389,Description_Reason,0.0,0.0,0.0,False,0.2288239598274231,0.2288239598274231,True,False,False,False,True
p02389,Description_Simple,0.0,0.0,0.0,False,0.2830755412578583,0.2830755412578583,True,False,False,False,True
p02389,Description_Vague,0.0,0.0,0.0,False,0.28043755888938904,0.28043755888938904,True,False,False,False,True
p02397,Description_Detailed,0.0,0.0,0.0,False,0.35673612356185913,0.35673612356185913,True,False,False,False,True
p02397,Description_Fewshot,0.0,0.0,0.0,False,0.29094141721725464,0.29094141721725464,True,False,False,False,True
p02397,Description_Reason,0.0,0.0,0.0,False,0.28255850076675415,0.28255850076675415,True,False,False,False,True
p02397,Description_Simple,0.0,0.0,0.0,False,0.3377313017845154,0.3377313017845154,True,False,False,False,True
p02397,Description_Vague,0.0,0.0,0.0,False,0.2222009003162384,0.2222009003162384,True,False,False,False,True
p02553,Description_Detailed,0.0,0.0,0.0,False,0.035094425082206726,0.035094425082206726,True,False,False,False,True
p02553,Description_Fewshot,0.0,0.0,0.0,False,0.01655096933245659,0.01655096933245659,True,False,False,False,True
p02553,Description_Reason,0.0,0.0,0.0,False,0.14163699746131897,0.14163699746131897,True,False,False,False,True
p02553,Description_Simple,0.0,0.0,0.0,False,-0.030412942171096802,0.030412942171096802,True,False,False,False,True
p02553,Description_Vague,0.0,0.0,0.0,False,0.03940017893910408,0.03940017893910408,True,False,False,False,True
p02409,Description_Detailed,0.0,0.0,0.0,False,0.24958489835262299,0.24958489835262299,True,False,False,False,True
p02409,Description_Fewshot,0.0,0.0,0.0,False,0.13917672634124756,0.13917672634124756,True,False,False,False,True
p02409,Description_Reason,0.0,0.0,0.0,False,0.11842773854732513,0.11842773854732513,True,False,False,False,True
p02409,Description_Simple,0.0,0.0,0.0,False,0.32182741165161133,0.32182741165161133,True,False,False,False,True
p02409,Description_Vague,0.0,0.0,0.0,False,0.2796702980995178,0.2796702980995178,True,False,False,False,True
p02899,Description_Detailed,0.0,0.0,0.0,False,0.20455235242843628,0.20455235242843628,True,False,False,False,True
p02899,Description_Fewshot,0.0,0.0,0.0,False,0.15685904026031494,0.15685904026031494,True,False,False,False,True
p02899,Description_Reason,0.0,0.0,0.0,False,0.2696683704853058,0.2696683704853058,True,False,False,False,True
p02899,Description_Simple,0.0,0.0,0.0,False,0.1344953179359436,0.1344953179359436,True,False,False,False,True
p02899,Description_Vague,0.0,0.0,0.0,False,0.18195869028568268,0.18195869028568268,True,False,False,False,True
p02408,Description_Detailed,0.0,0.0,0.0,False,0.14213737845420837,0.14213737845420837,True,False,False,False,True
p02408,Description_Fewshot,0.0,0.0,0.0,False,0.07195168733596802,0.07195168733596802,True,False,False,False,True
p02408,Description_Reason,0.0,0.0,0.0,False,0.16474516689777374,0.16474516689777374,True,False,False,False,True
p02408,Description_Simple,0.0,0.0,0.0,False,-0.002221503295004368,0.002221503295004368,True,False,False,False,True
p02408,Description_Vague,0.0,0.0,0.0,False,0.09870049357414246,0.09870049357414246,True,False,False,False,True
p02911,Description_Detailed,0.0,0.0,0.0,False,0.1722402274608612,0.1722402274608612,True,False,False,False,True
p02911,Description_Fewshot,0.0,0.0,0.0,False,0.1779470443725586,0.1779470443725586,True,False,False,False,True
p02911,Description_Reason,0.0,0.0,0.0,False,0.2218506783246994,0.2218506783246994,True,False,False,False,True
p02911,Description_Simple,0.0,0.0,0.0,False,0.2939102053642273,0.2939102053642273,True,False,False,False,True
p02911,Description_Vague,0.0,0.0,0.0,False,0.3083849847316742,0.3083849847316742,True,False,False,False,True
p02812,Description_Detailed,0.0,0.0,0.0,False,0.21327760815620422,0.21327760815620422,True,False,False,False,True
p02812,Description_Fewshot,0.0,0.0,0.0,False,0.310819149017334,0.310819149017334,True,False,False,False,True
p02812,Description_Reason,0.0,0.0,0.0,False,0.09039446711540222,0.09039446711540222,True,False,False,False,True
p02812,Description_Simple,0.0,0.0,0.0,False,0.10544295608997345,0.10544295608997345,True,False,False,False,True
p02812,Description_Vague,0.0,0.0,0.0,False,0.15055453777313232,0.15055453777313232,True,False,False,False,True
p02724,Description_Detailed,0.0,0.0,0.0,False,0.14063438773155212,0.14063438773155212,True,False,False,False,True
p02724,Description_Fewshot,0.0,0.0,0.0,False,-0.06883619725704193,0.06883619725704193,True,False,False,False,True
p02724,Description_Reason,0.0,0.0,0.0,False,0.13932478427886963,0.13932478427886963,True,False,False,False,True
p02724,Description_Simple,0.0,0.0,0.0,False,-0.015937160700559616,0.015937160700559616,True,False,False,False,True
p02724,Description_Vague,0.0,0.0,0.0,False,0.03552282601594925,0.03552282601594925,True,False,False,False,True
p02994,Description_Detailed,0.0,0.0,0.0,False,0.08983039855957031,0.08983039855957031,True,False,False,False,True
p02994,Description_Fewshot,0.0,0.0,0.0,False,0.10305027663707733,0.10305027663707733,True,False,False,False,True
p02994,Description_Reason,0.0,0.0,0.0,False,0.11918380111455917,0.11918380111455917,True,False,False,False,True
p02994,Description_Simple,0.0,0.0,0.0,False,0.13944855332374573,0.13944855332374573,True,False,False,False,True
p02994,Description_Vague,0.0,0.0,0.0,False,0.11589495092630386,0.11589495092630386,True,False,False,False,True
p02910,Description_Detailed,0.0,0.0,0.0,False,0.17133206129074097,0.17133206129074097,True,False,False,False,True
p02910,Description_Fewshot,0.0,0.0,0.0,False,0.21385416388511658,0.21385416388511658,True,False,False,False,True
p02910,Description_Reason,0.0,0.0,0.0,False,0.27466627955436707,0.27466627955436707,True,False,False,False,True
p02910,Description_Simple,0.0,0.0,0.0,False,0.08823952078819275,0.08823952078819275,True,False,False,False,True
p02910,Description_Vague,0.0,0.0,0.0,False,0.245156928896904,0.245156928896904,True,False,False,False,True
