Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.3001689016819,0.6998310983181,False,True,False,False,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.4247545301914215,0.5752454698085785,False,True,False,False,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.6072867512702942,0.3927132487297058,True,True,True,True,False
p00006,Description_Simple,0.0,0.0,0.0,0.0,False,0.23919391632080078,0.23919391632080078,True,False,False,False,True
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.47373461723327637,0.5262653827667236,False,True,False,False,False
p02256,Description_Simple,0.7,0.7,0.7,0.7,True,0.41741663217544556,0.2825833678245544,False,True,False,False,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.5808077454566956,0.41919225454330444,True,True,True,True,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.59683758020401,0.40316241979599,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.3824610710144043,0.6175389289855957,False,True,False,False,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.19887030124664307,0.8011296987533569,False,True,False,False,False
p02259,Description_Simple,0.7,0.7,0.7,0.7,True,0.7083927989006042,0.008392798900604292,True,True,True,True,False
p00011,Description_Simple,0.0,0.0,0.0,0.0,False,0.2640652656555176,0.2640652656555176,True,False,False,False,True
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.4377383589744568,0.5622616410255432,False,True,False,False,False
p02258,Description_Simple,0.0,0.0,0.0,0.0,False,0.41159987449645996,0.41159987449645996,True,False,False,False,True
p00002,Description_Simple,0.4,0.4,0.4,0.4,False,0.33573606610298157,0.06426393389701845,True,False,False,False,True
p02257,Description_Simple,0.4,0.4,0.4,0.4,False,0.45052462816238403,0.05052462816238401,True,False,False,False,True
p02390,Description_Simple,0.9,0.9,0.9,0.9,True,0.3523353040218353,0.5476646959781647,False,True,False,False,False
p02396,Description_Simple,0.7,0.7,0.7,0.7,True,0.20820435881614685,0.4917956411838531,False,True,False,False,False
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.15138205885887146,0.8486179411411285,False,True,False,False,False
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.2527841031551361,0.7472158968448639,False,True,False,False,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.36241355538368225,0.6375864446163177,False,True,False,False,False
p02388,Description_Simple,0.7,0.7,0.7,0.7,True,0.3295625150203705,0.37043748497962947,False,True,False,False,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.24964639544487,0.65035360455513,False,True,False,False,False
p02404,Description_Simple,1.0,1.0,1.0,1.0,True,0.21247541904449463,0.7875245809555054,False,True,False,False,False
p02393,Description_Simple,0.0,0.0,0.0,0.0,False,0.461975634098053,0.461975634098053,True,False,False,False,True
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.3890926241874695,0.6109073758125305,False,True,False,False,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.3422045111656189,0.6577954888343811,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.6351261138916016,0.36487388610839844,True,True,True,True,False
p02399,Description_Simple,0.9,0.9,0.9,0.9,True,0.3837655782699585,0.5162344217300415,False,True,False,False,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.4539119303226471,0.5460880696773529,False,True,False,False,False
p02403,Description_Simple,1.0,1.0,1.0,1.0,True,0.34467610716819763,0.6553238928318024,False,True,False,False,False
p02398,Description_Simple,1.0,1.0,1.0,1.0,True,0.534282386302948,0.465717613697052,True,True,True,True,False
p02407,Description_Simple,0.0,0.0,0.0,0.0,False,0.1508362889289856,0.1508362889289856,True,False,False,False,True
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.5382292866706848,0.4617707133293152,True,True,True,True,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.26894769072532654,0.7310523092746735,False,True,False,False,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.43888700008392334,0.5611129999160767,False,True,False,False,False
p02408,Description_Simple,1.0,1.0,1.0,1.0,True,0.14664508402347565,0.8533549159765244,False,True,False,False,False
p02413,Description_Simple,1.0,1.0,1.0,1.0,True,0.33150550723075867,0.6684944927692413,False,True,False,False,False
p02411,Description_Simple,0.4,0.4,0.4,0.4,False,0.35948002338409424,0.040519976615905784,True,False,False,False,True
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.36843886971473694,0.6315611302852631,False,True,False,False,False
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.5894169807434082,0.4105830192565918,True,True,True,True,False
p02417,Description_Simple,0.9,0.9,0.9,0.9,True,0.5425565838813782,0.35744341611862185,True,True,True,True,False
