Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00007,Description_Simple,0.6,0.6,0.6,0.6,True,0.3486208915710449,0.25137910842895506,False,True,False,False,False
p00002,Description_Simple,0.6,0.6,0.6,0.6,True,0.752979576587677,0.15297957658767702,True,True,True,True,False
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.7826617360115051,0.1173382639884949,True,True,True,True,False
p00001,Description_Simple,0.9,0.9,0.9,0.9,True,0.6645892262458801,0.2354107737541199,True,True,True,True,False
p00005,Description_Simple,0.6,0.6,0.6,0.6,True,0.8618112206459045,0.26181122064590456,True,True,True,True,False
p02255,Description_Simple,0.6,0.6,0.6,0.6,True,0.6699191331863403,0.06991913318634035,True,True,True,True,False
p00006,Description_Simple,0.9,0.9,0.9,0.9,True,0.6197769641876221,0.28022303581237795,True,True,True,True,False
p02259,Description_Simple,0.9,0.8,0.8500000000000001,0.875,True,0.611458957195282,0.263541042804718,True,True,True,True,False
p02256,Description_Simple,0.6,0.6,0.6,0.6,True,0.716264545917511,0.11626454591751101,True,True,True,True,False
p02260,Description_Simple,0.9,0.9,0.9,0.9,True,0.7355862855911255,0.16441371440887453,True,True,True,True,False
p02264,Description_Simple,0.9,0.9,0.9,0.9,True,0.6281068921089172,0.2718931078910828,True,True,True,True,False
p02258,Description_Simple,0.9,0.9,0.9,0.9,True,0.7126710414886475,0.18732895851135256,True,True,True,True,False
p02257,Description_Simple,0.6,0.6,0.6,0.6,True,0.6579034924507141,0.057903492450714134,True,True,True,True,False
p02268,Description_Simple,0.6,0.6,0.6,0.6,True,0.45377492904663086,0.14622507095336912,False,True,False,False,False
p02263,Description_Simple,0.9,0.9,0.9,0.9,True,0.8580372929573059,0.041962707042694114,True,True,True,True,False
p00011,Description_Simple,0.6,0.6,0.6,0.6,True,0.5433939099311829,0.056606090068817116,True,True,True,True,False
p02391,Description_Simple,0.6,0.9,0.75,0.75,True,0.6088486909866333,0.1411513090133667,True,True,True,True,False
p02396,Description_Simple,0.6,0.9,0.75,0.75,True,0.4632498323917389,0.2867501676082611,False,True,False,False,False
p02389,Description_Simple,0.9,0.9,0.9,0.9,True,0.7333287000656128,0.16667129993438723,True,True,True,True,False
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.6181702613830566,0.2818297386169434,True,True,True,True,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.4852970540523529,0.4147029459476471,False,True,False,False,False
p02381,Description_Simple,0.8,0.8,0.8,0.8,True,0.6766747236251831,0.12332527637481694,True,True,True,True,False
p02390,Description_Simple,0.1,0.1,0.1,0.1,False,0.36431685090065,0.26431685090065005,True,False,False,False,True
p02393,Description_Simple,0.9,0.9,0.9,0.9,True,0.7475665211677551,0.1524334788322449,True,True,True,True,False
p02394,Description_Simple,0.3,0.3,0.3,0.3,False,0.4881734848022461,0.1881734848022461,True,False,False,False,True
p02398,Description_Simple,0.9,0.9,0.9,0.9,True,0.601817786693573,0.298182213306427,True,True,True,True,False
p02397,Description_Simple,0.2,0.2,0.2,0.2,False,0.6475623846054077,0.4475623846054077,False,False,True,False,False
p02400,Description_Simple,0.9,0.9,0.9,0.9,True,0.7786256074905396,0.12137439250946047,True,True,True,True,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.8117690682411194,0.08823093175888064,True,True,True,True,False
p02399,Description_Simple,0.9,0.9,0.9,0.9,True,0.7580822706222534,0.1419177293777466,True,True,True,True,False
p02401,Description_Simple,0.9,0.9,0.9,0.9,True,0.7566717267036438,0.14332827329635622,True,True,True,True,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.5627144575119019,0.33728554248809817,True,True,True,True,False
p02404,Description_Simple,0.6,0.6,0.6,0.6,True,0.4456559717655182,0.1543440282344818,False,True,False,False,False
p02407,Description_Simple,0.6,0.2,0.4,0.4,False,0.56197190284729,0.16197190284729002,False,False,True,False,False
p02406,Description_Simple,0.9,0.9,0.9,0.9,True,0.3264327049255371,0.5735672950744629,False,True,False,False,False
p02409,Description_Simple,0.5,0.5,0.5,0.5,True,0.38151806592941284,0.11848193407058716,False,True,False,False,False
p02414,Description_Simple,0.9,0.9,0.9,0.9,True,0.6911360621452332,0.20886393785476687,True,True,True,True,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.6858289241790771,0.21417107582092287,True,True,True,True,False
p02419,Description_Simple,0.9,0.9,0.9,0.9,True,0.7037901282310486,0.19620987176895144,True,True,True,True,False
p02417,Description_Simple,0.9,0.9,0.9,0.9,True,0.8236455917358398,0.07635440826416018,True,True,True,True,False
p02405,Description_Simple,0.6,0.6,0.6,0.6,True,0.7056916952133179,0.1056916952133179,True,True,True,True,False
p02410,Description_Simple,0.7,0.7,0.7,0.7,True,0.7413859963417053,0.04138599634170537,True,True,True,True,False
p02413,Description_Simple,0.9,0.9,0.9,0.9,True,0.6130939722061157,0.2869060277938843,True,True,True,True,False
p02418,Description_Simple,0.6,0.6,0.6,0.6,True,0.6426625847816467,0.04266258478164675,True,True,True,True,False
p02408,Description_Simple,0.5,0.6,0.55,0.575,True,0.265056312084198,0.30994368791580196,False,True,False,False,False
p02416,Description_Simple,0.6,0.6,0.6,0.6,True,0.7307794094085693,0.13077940940856936,True,True,True,True,False
p02412,Description_Simple,0.6,0.6,0.6,0.6,True,0.7071279287338257,0.1071279287338257,True,True,True,True,False
p02415,Description_Simple,0.9,0.9,0.9,0.9,True,0.6131436824798584,0.2868563175201416,True,True,True,True,False
p02421,Description_Simple,0.7,0.9,0.8,0.8500000000000001,True,0.6555225253105164,0.19447747468948373,True,True,True,True,False
p02547,Description_Simple,0.9,0.9,0.9,0.9,True,0.5890568494796753,0.31094315052032473,True,True,True,True,False
p02420,Description_Simple,0.6,0.5,0.55,0.575,True,0.507144033908844,0.06785596609115596,True,True,True,True,False
p02578,Description_Simple,0.9,0.9,0.9,0.9,True,0.6287505626678467,0.27124943733215334,True,True,True,True,False
p02570,Description_Simple,0.9,0.9,0.9,0.9,True,0.6360307335853577,0.26396926641464236,True,True,True,True,False
p02552,Description_Simple,0.3,0.3,0.3,0.3,False,0.5153408646583557,0.21534086465835572,False,False,True,False,False
p02553,Description_Simple,0.9,0.9,0.9,0.9,True,0.7138776779174805,0.18612232208251955,True,True,True,True,False
p02621,Description_Simple,0.0,0.1,0.05,0.025,False,0.26365458965301514,0.23865458965301514,True,False,False,False,True
p02612,Description_Simple,0.2,0.2,0.2,0.2,False,0.3135298192501068,0.1135298192501068,True,False,False,False,True
p02595,Description_Simple,0.9,0.9,0.9,0.9,True,0.6247910857200623,0.27520891427993777,True,True,True,True,False
p02576,Description_Simple,0.9,0.9,0.9,0.9,True,0.5409573912620544,0.3590426087379456,True,True,True,True,False
