Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,0.0,0.0,0.0,0.0,False,0.546562671661377,0.546562671661377,False,False,True,False,False
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.016389427706599236,0.9836105722934008,False,True,False,False,False
p02260,Description_Simple,0.0,0.0,0.0,0.0,False,0.6003208160400391,0.6003208160400391,False,False,True,False,False
p00006,Description_Simple,0.9,0.9,0.9,0.9,True,0.3620520830154419,0.5379479169845581,False,True,False,False,False
p00011,Description_Simple,1.0,1.0,1.0,1.0,True,0.3353481590747833,0.6646518409252167,False,True,False,False,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.5775834321975708,0.4224165678024292,True,True,True,True,False
p00005,Description_Simple,0.0,0.0,0.0,0.0,False,0.11656809598207474,0.11656809598207474,True,False,False,False,True
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6507949829101562,0.34920501708984375,True,True,True,True,False
p02259,Description_Simple,0.0,0.0,0.0,0.0,False,0.6266308426856995,0.6266308426856995,False,False,True,False,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.4826621413230896,0.5173378586769104,False,True,False,False,False
p00007,Description_Simple,0.0,0.0,0.0,0.0,False,0.5041850209236145,0.5041850209236145,False,False,True,False,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.3870934247970581,0.6129065752029419,False,True,False,False,False
p02263,Description_Simple,0.0,0.0,0.0,0.0,False,0.257131427526474,0.257131427526474,True,False,False,False,True
p02258,Description_Simple,0.0,0.0,0.0,0.0,False,0.361958384513855,0.361958384513855,True,False,False,False,True
p02264,Description_Simple,0.0,0.0,0.0,0.0,False,0.5661816000938416,0.5661816000938416,False,False,True,False,False
p02256,Description_Simple,0.0,0.0,0.0,0.0,False,0.5895562171936035,0.5895562171936035,False,False,True,False,False
p02381,Description_Simple,0.0,0.0,0.0,0.0,False,0.6465954780578613,0.6465954780578613,False,False,True,False,False
p02396,Description_Simple,0.0,0.0,0.0,0.0,False,0.3139045834541321,0.3139045834541321,True,False,False,False,True
p02398,Description_Simple,0.0,0.0,0.0,0.0,False,0.5368657112121582,0.5368657112121582,False,False,True,False,False
p02388,Description_Simple,0.0,0.0,0.0,0.0,False,0.18072475492954254,0.18072475492954254,True,False,False,False,True
p02394,Description_Simple,0.0,0.0,0.0,0.0,False,0.5974876880645752,0.5974876880645752,False,False,True,False,False
p02401,Description_Simple,0.0,0.0,0.0,0.0,False,0.42586398124694824,0.42586398124694824,True,False,False,False,True
p02390,Description_Simple,1.0,1.0,1.0,1.0,True,0.4804391860961914,0.5195608139038086,False,True,False,False,False
p02389,Description_Simple,0.0,0.0,0.0,0.0,False,0.20017141103744507,0.20017141103744507,True,False,False,False,True
p02404,Description_Simple,0.0,0.0,0.0,0.0,False,0.18188127875328064,0.18188127875328064,True,False,False,False,True
p02402,Description_Simple,0.0,0.0,0.0,0.0,False,0.41141101717948914,0.41141101717948914,True,False,False,False,True
p02400,Description_Simple,0.0,0.0,0.0,0.0,False,0.6900780200958252,0.6900780200958252,False,False,True,False,False
p02392,Description_Simple,1.0,1.0,1.0,1.0,True,0.2684924006462097,0.7315075993537903,False,True,False,False,False
p02397,Description_Simple,0.1,0.1,0.1,0.1,False,0.1958107203245163,0.09581072032451629,True,False,False,False,True
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.5839735865592957,0.41602641344070435,True,True,True,True,False
p02403,Description_Simple,0.0,0.0,0.0,0.0,False,0.5122796297073364,0.5122796297073364,False,False,True,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.07305936515331268,0.9269406348466873,False,True,False,False,False
p02405,Description_Simple,0.0,0.0,0.0,0.0,False,0.24297745525836945,0.24297745525836945,True,False,False,False,True
p02406,Description_Simple,0.0,0.0,0.0,0.0,False,0.07335996627807617,0.07335996627807617,True,False,False,False,True
p02408,Description_Simple,0.0,0.0,0.0,0.0,False,0.45796388387680054,0.45796388387680054,True,False,False,False,True
p02411,Description_Simple,0.0,0.0,0.0,0.0,False,0.552858293056488,0.552858293056488,False,False,True,False,False
p02413,Description_Simple,0.0,0.0,0.0,0.0,False,0.5375845432281494,0.5375845432281494,False,False,True,False,False
p02419,Description_Simple,0.0,0.0,0.0,0.0,False,0.32653647661209106,0.32653647661209106,True,False,False,False,True
p02420,Description_Simple,0.0,0.0,0.0,0.0,False,0.292423814535141,0.292423814535141,True,False,False,False,True
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.4616197943687439,0.5383802056312561,False,True,False,False,False
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.41702038049697876,0.5829796195030212,False,True,False,False,False
p02416,Description_Simple,1.0,1.0,1.0,1.0,True,0.5765631794929504,0.42343682050704956,True,True,True,True,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.1740776151418686,0.8259223848581314,False,True,False,False,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.4301075339317322,0.5698924660682678,False,True,False,False,False
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.5536795258522034,0.44632047414779663,True,True,True,True,False
p02414,Description_Simple,0.0,0.0,0.0,0.0,False,0.5167009234428406,0.5167009234428406,False,False,True,False,False
p02410,Description_Simple,0.0,0.0,0.0,0.0,False,0.5207151174545288,0.5207151174545288,False,False,True,False,False
p02412,Description_Simple,0.0,0.0,0.0,0.0,False,0.5709827542304993,0.5709827542304993,False,False,True,False,False
p02421,Description_Simple,0.0,0.0,0.0,0.0,False,0.48221203684806824,0.48221203684806824,True,False,False,False,True
p02553,Description_Simple,1.0,1.0,1.0,1.0,True,0.3632171154022217,0.6367828845977783,False,True,False,False,False
p02547,Description_Simple,0.1,0.1,0.1,0.1,False,0.19008782505989075,0.09008782505989074,True,False,False,False,True
p02552,Description_Simple,0.0,0.0,0.0,0.0,False,0.2205188274383545,0.2205188274383545,True,False,False,False,True
p02576,Description_Simple,0.0,0.0,0.0,0.0,False,0.14514440298080444,0.14514440298080444,True,False,False,False,True
p02570,Description_Simple,0.0,0.0,0.0,0.0,False,0.1801481992006302,0.1801481992006302,True,False,False,False,True
p02577,Description_Simple,0.9,0.9,0.9,0.9,True,0.30991294980049133,0.5900870501995087,False,True,False,False,False
p02571,Description_Simple,0.0,0.0,0.0,0.0,False,0.11684750765562057,0.11684750765562057,True,False,False,False,True
p02621,Description_Simple,0.0,0.0,0.0,0.0,False,0.02698320336639881,0.02698320336639881,True,False,False,False,True
p02595,Description_Simple,0.0,0.0,0.0,0.0,False,0.34613415598869324,0.34613415598869324,True,False,False,False,True
p02612,Description_Simple,0.0,0.0,0.0,0.0,False,0.1557646095752716,0.1557646095752716,True,False,False,False,True
p02622,Description_Simple,1.0,1.0,1.0,1.0,True,0.37476152181625366,0.6252384781837463,False,True,False,False,False
p02578,Description_Simple,0.0,0.0,0.0,0.0,False,0.24855738878250122,0.24855738878250122,True,False,False,False,True
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.4223618805408478,0.5776381194591522,False,True,False,False,False
p02627,Description_Simple,0.0,0.0,0.0,0.0,False,0.09851768612861633,0.09851768612861633,True,False,False,False,True
p02613,Description_Simple,0.0,0.0,0.0,0.0,False,0.4516606032848358,0.4516606032848358,True,False,False,False,True
p02628,Description_Simple,0.0,0.0,0.0,0.0,False,-0.03342019021511078,0.03342019021511078,True,False,False,False,True
p02641,Description_Simple,0.0,0.0,0.0,0.0,False,0.41548678278923035,0.41548678278923035,True,False,False,False,True
p02675,Description_Simple,0.0,0.0,0.0,0.0,False,0.452993243932724,0.452993243932724,True,False,False,False,True
p02629,Description_Simple,0.0,0.0,0.0,0.0,False,0.12438703328371048,0.12438703328371048,True,False,False,False,True
p02658,Description_Simple,0.0,0.0,0.0,0.0,False,0.3639669418334961,0.3639669418334961,True,False,False,False,True
p02639,Description_Simple,0.0,0.0,0.0,0.0,False,0.013172927312552929,0.013172927312552929,True,False,False,False,True
p02693,Description_Simple,0.0,0.0,0.0,0.0,False,0.059554506093263626,0.059554506093263626,True,False,False,False,True
