model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,22.467,16.5198,59.0308,35.2423,18.5022,16.0793,15.6388,16.5198,21.5859,20.2643,16.0793,18.9427,19.163,20.2643
GPT-3.5,22.467,0,23.1278,51.9824,27.3128,23.348,24.4493,27.0925,27.0925,25.1101,26.4317,25.3304,25.9912,27.0925,24.2291
O4-mini,16.5198,23.1278,0,58.37,35.9031,21.3656,12.7753,13.2159,13.6564,25.3304,13.8767,13.6564,13.8767,13.6564,20.9251
Gemini,59.0308,51.9824,58.37,0,43.1718,54.185,60.5727,59.6916,60.1322,54.185,59.9119,62.7753,61.2335,60.5727,55.0661
Llama-70B,35.2423,27.3128,35.9031,43.1718,0,29.5154,35.4626,36.7841,34.5815,29.9559,36.1233,37.2247,38.326,37.2247,30.3965
Mistral,18.5022,23.348,21.3656,54.185,29.5154,0,19.163,21.8062,20.0441,22.9075,24.2291,20.4846,24.6696,25.3304,21.5859
DeepSeek-V3.1,16.0793,24.4493,12.7753,60.5727,35.4626,19.163,0,10.5727,10.5727,25.7709,15.1982,12.3348,13.4361,14.978,19.6035
DeepSeek-R1,15.6388,27.0925,13.2159,59.6916,36.7841,21.8062,10.5727,0,13.6564,26.652,12.5551,12.7753,11.674,14.5374,20.0441
DeepSeek-V4-Pro,16.5198,27.0925,13.6564,60.1322,34.5815,20.0441,10.5727,13.6564,0,25.7709,17.4009,14.0969,14.3172,15.4185,21.3656
QwenCoder,21.5859,25.1101,25.3304,54.185,29.9559,22.9075,25.7709,26.652,25.7709,0,28.1938,27.9736,25.9912,27.533,25.1101
Qwen3.7,20.2643,26.4317,13.8767,59.9119,36.1233,24.2291,15.1982,12.5551,17.4009,28.1938,0,13.8767,12.7753,14.3172,22.467
Claude-5,16.0793,25.3304,13.6564,62.7753,37.2247,20.4846,12.3348,12.7753,14.0969,27.9736,13.8767,0,12.9956,14.0969,20.9251
GLM-5,18.9427,25.9912,13.8767,61.2335,38.326,24.6696,13.4361,11.674,14.3172,25.9912,12.7753,12.9956,0,14.3172,22.0264
Kimi-K2.7,19.163,27.0925,13.6564,60.5727,37.2247,25.3304,14.978,14.5374,15.4185,27.533,14.3172,14.0969,14.3172,0,22.6872
GPT-5,20.2643,24.2291,20.9251,55.0661,30.3965,21.5859,19.6035,20.0441,21.3656,25.1101,22.467,20.9251,22.0264,22.6872,0
