model,GPT-4o,GPT-3.5,O4-mini,Gemini,Llama-70B,Mistral,DeepSeek-V3.1,DeepSeek-R1,DeepSeek-V4-Pro,QwenCoder,Qwen3.7,Claude-5,GLM-5,Kimi-K2.7,GPT-5
GPT-4o,0,19.426,15.4525,16.777,20.8609,22.8477,20.1987,20.4194,21.7439,20.5298,22.5166,21.0817,18.8742,19.3157,20.6402
GPT-3.5,19.426,0,23.3996,24.7241,19.7572,23.9514,22.8477,26.3797,24.8344,21.1921,28.4768,25.2759,26.6004,26.1589,25.9382
O4-mini,15.4525,23.3996,0,13.245,22.1854,26.6004,20.1987,18.6534,21.3024,25.8278,20.3091,19.3157,18.4327,18.2119,19.7572
Gemini,16.777,24.7241,13.245,0,23.7307,26.6004,19.5364,18.2119,20.1987,26.2693,18.3223,18.2119,16.6667,17.7704,20.1987
Llama-70B,20.8609,19.7572,22.1854,23.7307,0,21.8543,22.0751,25.1656,24.0618,19.9779,25.4967,23.3996,24.0618,23.8411,24.5033
Mistral,22.8477,23.9514,26.6004,26.6004,21.8543,0,22.0751,25.3863,23.8411,18.2119,26.8212,24.7241,25.1656,24.5033,24.7241
DeepSeek-V3.1,20.1987,22.8477,20.1987,19.5364,22.0751,22.0751,0,15.2318,15.894,21.9647,16.2252,17.2185,13.6865,14.7903,17.2185
DeepSeek-R1,20.4194,26.3797,18.6534,18.2119,25.1656,25.3863,15.2318,0,15.011,25.4967,14.2384,14.128,13.245,12.8035,15.894
DeepSeek-V4-Pro,21.7439,24.8344,21.3024,20.1987,24.0618,23.8411,15.894,15.011,0,23.5099,17.9912,16.5563,16.3355,14.7903,17.66
QwenCoder,20.5298,21.1921,25.8278,26.2693,19.9779,18.2119,21.9647,25.4967,23.5099,0,24.9448,23.5099,23.9514,22.1854,22.1854
Qwen3.7,22.5166,28.4768,20.3091,18.3223,25.4967,26.8212,16.2252,14.2384,17.9912,24.9448,0,17.3289,14.2384,13.7969,16.4459
Claude-5,21.0817,25.2759,19.3157,18.2119,23.3996,24.7241,17.2185,14.128,16.5563,23.5099,17.3289,0,15.011,15.894,16.777
GLM-5,18.8742,26.6004,18.4327,16.6667,24.0618,25.1656,13.6865,13.245,16.3355,23.9514,14.2384,15.011,0,11.0375,15.011
Kimi-K2.7,19.3157,26.1589,18.2119,17.7704,23.8411,24.5033,14.7903,12.8035,14.7903,22.1854,13.7969,15.894,11.0375,0,13.245
GPT-5,20.6402,25.9382,19.7572,20.1987,24.5033,24.7241,17.2185,15.894,17.66,22.1854,16.4459,16.777,15.011,13.245,0
