dataset,model_key,model,problem_id,stability,source,is_completed,n_pairs
java250,claude_sonnet_5,Claude Sonnet 5,p00001,0.685000,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p00002,0.573333,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p00003,0.668333,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p00005,0.681667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p00006,0.596667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p00007,0.655000,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p00011,0.581667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02255,0.656667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02256,0.516667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02257,0.463333,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02258,0.690000,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02259,0.510000,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02260,0.600000,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02263,0.656667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02264,0.698333,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02268,0.576667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02381,0.496667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02388,0.793333,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02389,0.570000,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02390,0.520000,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02391,0.580000,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02392,0.586667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02393,0.623333,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02394,0.446667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02396,0.463333,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02397,0.450000,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02398,0.626667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02399,0.496667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02400,0.640000,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02401,0.598333,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02402,0.576667,direct,false,
java250,claude_sonnet_5,Claude Sonnet 5,p02403,0.483333,direct,false,
