Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0408,Description_Simple,0.3,0.3,0.3,0.3,False,0.46163761615753174,0.16163761615753175,True,False,False,False,True
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.5987009406089783,0.40129905939102173,True,True,True,True,False
mbpp_0031,Description_Simple,0.9,0.9,0.9,0.9,True,0.6192238926887512,0.2807761073112488,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.6072452068328857,0.39275479316711426,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.514888346195221,0.48511165380477905,True,True,True,True,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6163045167922974,0.38369548320770264,True,True,True,True,False
mbpp_0323,Description_Simple,0.9,0.9,0.9,0.9,True,0.7353160977363586,0.16468390226364138,True,True,True,True,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6802831888198853,0.31971681118011475,True,True,True,True,False
mbpp_0004,Description_Simple,1.0,1.0,1.0,1.0,True,0.6797087788581848,0.3202912211418152,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.534990668296814,0.46500933170318604,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5745875835418701,0.4254124164581299,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6475142240524292,0.3524857759475708,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5862646102905273,0.41373538970947266,True,True,True,True,False
mbpp_0822,Description_Simple,0.1,0.1,0.1,0.1,False,0.6975129842758179,0.5975129842758179,False,False,True,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8314472436904907,0.16855275630950928,True,True,True,True,False
mbpp_0496,Description_Simple,1.0,1.0,1.0,1.0,True,0.7523381114006042,0.24766188859939575,True,True,True,True,False
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.7073318958282471,0.29266810417175293,True,True,True,True,False
mbpp_0108,Description_Simple,0.6,0.6,0.6,0.6,True,0.4976435601711273,0.10235643982887266,False,True,False,False,False
mbpp_0209,Description_Simple,0.7,0.7,0.7,0.7,True,0.6586384773254395,0.0413615226745605,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.7011387348175049,0.2988612651824951,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.6753480434417725,0.32465195655822754,True,True,True,True,False
mbpp_0223,Description_Simple,0.8,0.8,0.8,0.8,True,0.735488772392273,0.0645112276077271,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.688983678817749,0.288983678817749,False,False,True,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7555992007255554,0.24440079927444458,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6984920501708984,0.30150794982910156,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.7310437560081482,0.2689562439918518,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7341508269309998,0.26584917306900024,True,True,True,True,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.7078081369400024,0.29219186305999756,True,True,True,True,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.6560414433479309,0.2560414433479309,False,False,True,False,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.8007651567459106,0.19923484325408936,True,True,True,True,False
mbpp_0074,Description_Simple,0.9,0.9,0.9,0.9,True,0.59099942445755,0.30900057554245,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6905857920646667,0.30941420793533325,True,True,True,True,False
mbpp_0550,Description_Simple,1.0,1.0,1.0,1.0,True,0.7419408559799194,0.25805914402008057,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7356947660446167,0.2643052339553833,True,True,True,True,False
