Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.536600649356842,0.46339935064315796,True,True,True,True,False
p02921,Description_Simple,0.6,0.6,0.6,0.6,True,0.5922882556915283,0.0077117443084716575,True,True,True,True,False
p02773,Description_Simple,0.4,0.4,0.4,0.4,False,0.5734758377075195,0.1734758377075195,False,False,True,False,False
p03493,Description_Simple,1.0,1.0,1.0,1.0,True,0.4875338077545166,0.5124661922454834,False,True,False,False,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.22316066920757294,0.7768393307924271,False,True,False,False,False
p03035,Description_Simple,0.6,0.6,0.6,0.6,True,0.5110840797424316,0.08891592025756834,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7462491989135742,0.2537508010864258,True,True,True,True,False
p02910,Description_Simple,1.0,1.0,1.0,1.0,True,0.5433205366134644,0.45667946338653564,True,True,True,True,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.3040503263473511,0.3040503263473511,True,False,False,False,True
p02917,Description_Simple,0.0,0.0,0.0,0.0,False,0.46992379426956177,0.46992379426956177,True,False,False,False,True
p03469,Description_Simple,0.7,0.7,0.7,0.7,True,0.4476287364959717,0.2523712635040283,False,True,False,False,False
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.5471656918525696,0.4528343081474304,True,True,True,True,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.5528714656829834,0.4471285343170166,True,True,True,True,False
p02381,Description_Simple,0.5,0.5,0.5,0.5,True,0.6387932300567627,0.1387932300567627,True,True,True,True,False
p02711,Description_Simple,0.1,0.1,0.1,0.1,False,0.44423264265060425,0.34423264265060427,True,False,False,False,True
p03059,Description_Simple,0.1,0.1,0.1,0.1,False,0.2724584937095642,0.1724584937095642,True,False,False,False,True
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.6702203750610352,0.22977962493896487,True,True,True,True,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.46737030148506165,0.26737030148506163,True,False,False,False,True
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.15590634942054749,0.8440936505794525,False,True,False,False,False
p02718,Description_Simple,0.0,0.0,0.0,0.0,False,0.41543883085250854,0.41543883085250854,True,False,False,False,True
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.6417349576950073,0.3582650423049927,True,True,True,True,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.42305487394332886,0.5769451260566711,False,True,False,False,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.7224324345588684,0.2775675654411316,True,True,True,True,False
p02916,Description_Simple,0.3,0.3,0.3,0.3,False,0.60588538646698,0.30588538646698,False,False,True,False,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.18472003936767578,0.8152799606323242,False,True,False,False,False
p02911,Description_Simple,0.0,0.0,0.0,0.0,False,0.3998894691467285,0.3998894691467285,True,False,False,False,True
p03239,Description_Simple,0.8,0.8,0.8,0.8,True,0.25509488582611084,0.5449051141738892,False,True,False,False,False
p02582,Description_Simple,0.8,0.8,0.8,0.8,True,0.3161088824272156,0.48389111757278447,False,True,False,False,False
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.276716411113739,0.723283588886261,False,True,False,False,False
p02547,Description_Simple,0.9,0.9,0.9,0.9,True,0.6601529121398926,0.23984708786010744,True,True,True,True,False
p04012,Description_Simple,1.0,1.0,1.0,1.0,True,0.6095545887947083,0.39044541120529175,True,True,True,True,False
p02772,Description_Simple,0.0,0.0,0.0,0.0,False,0.4906478524208069,0.4906478524208069,True,False,False,False,True
p02578,Description_Simple,0.4,0.4,0.4,0.4,False,0.4955213963985443,0.09552139639854429,True,False,False,False,True
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.7548021078109741,0.24519789218902588,True,True,True,True,False
p02719,Description_Simple,1.0,1.0,1.0,1.0,True,0.6547470092773438,0.34525299072265625,True,True,True,True,False
p03435,Description_Simple,0.0,0.0,0.0,0.0,False,0.540176510810852,0.540176510810852,False,False,True,False,False
p02989,Description_Simple,0.0,0.0,0.0,0.0,False,0.3582010865211487,0.3582010865211487,True,False,False,False,True
