Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03493,Description_Detailed,0.4,0.0,0.2,False,0.49132245779037476,0.29132245779037474,True,False,False,False,True
p03493,Description_Fewshot,0.9,0.7,0.8,True,0.23622412979602814,0.5637758702039719,False,True,False,False,False
p03493,Description_Reason,0.7,0.4,0.55,True,0.47302544116973877,0.07697455883026127,False,True,False,False,False
p03493,Description_Simple,0.4,0.4,0.4,False,0.14427070319652557,0.25572929680347445,True,False,False,False,True
p03493,Description_Vague,0.9,0.9,0.9,True,0.13078659772872925,0.7692134022712708,False,True,False,False,False
p03136,Description_Detailed,0.7,0.9,0.8,True,0.2274903655052185,0.5725096344947815,False,True,False,False,False
p03136,Description_Fewshot,1.0,1.0,1.0,True,0.49485260248184204,0.505147397518158,False,True,False,False,False
p03136,Description_Reason,0.0,0.7,0.35,False,0.4255363941192627,0.07553639411926272,True,False,False,False,True
p03136,Description_Simple,0.1,0.4,0.25,False,0.26630884408950806,0.016308844089508057,True,False,False,False,True
p03136,Description_Vague,1.0,0.0,0.5,True,0.22633180022239685,0.27366819977760315,False,True,False,False,False
p00007,Description_Detailed,0.0,0.1,0.05,False,0.3273696005344391,0.2773696005344391,True,False,False,False,True
p00007,Description_Fewshot,0.0,0.0,0.0,False,0.5296552777290344,0.5296552777290344,False,False,True,False,False
p00007,Description_Reason,0.1,1.0,0.55,True,0.23674410581588745,0.3132558941841126,False,True,False,False,False
p00007,Description_Simple,0.0,0.1,0.05,False,0.14174887537956238,0.09174887537956238,True,False,False,False,True
p00007,Description_Vague,0.1,0.1,0.1,False,0.30917999148368835,0.20917999148368835,True,False,False,False,True
p02951,Description_Detailed,0.0,0.1,0.05,False,0.053345102816820145,0.003345102816820142,True,False,False,False,True
p02951,Description_Fewshot,0.0,0.0,0.0,False,0.13601334393024445,0.13601334393024445,True,False,False,False,True
p02951,Description_Reason,0.0,0.0,0.0,False,0.13789425790309906,0.13789425790309906,True,False,False,False,True
p02951,Description_Simple,0.0,0.0,0.0,False,0.14061126112937927,0.14061126112937927,True,False,False,False,True
p02951,Description_Vague,0.0,0.0,0.0,False,0.033819977194070816,0.033819977194070816,True,False,False,False,True
p02829,Description_Detailed,0.0,0.0,0.0,False,0.5015726089477539,0.5015726089477539,False,False,True,False,False
p02829,Description_Fewshot,0.1,0.0,0.05,False,0.47413596510887146,0.42413596510887147,True,False,False,False,True
p02829,Description_Reason,0.0,0.0,0.0,False,0.2718726694583893,0.2718726694583893,True,False,False,False,True
p02829,Description_Simple,0.0,0.1,0.05,False,0.5400986671447754,0.4900986671447754,False,False,True,False,False
p02829,Description_Vague,0.0,0.0,0.0,False,0.2795967757701874,0.2795967757701874,True,False,False,False,True
p02687,Description_Detailed,0.1,0.0,0.05,False,0.1822510063648224,0.1322510063648224,True,False,False,False,True
p02687,Description_Fewshot,0.0,0.0,0.0,False,0.114724300801754,0.114724300801754,True,False,False,False,True
p02687,Description_Reason,0.0,1.0,0.5,True,0.1556890308856964,0.3443109691143036,False,True,False,False,False
p02687,Description_Simple,0.0,0.0,0.0,False,0.16744764149188995,0.16744764149188995,True,False,False,False,True
p02687,Description_Vague,1.0,0.0,0.5,True,0.19965220987796783,0.30034779012203217,False,True,False,False,False
p02911,Description_Detailed,0.0,0.0,0.0,False,0.3075788617134094,0.3075788617134094,True,False,False,False,True
p02911,Description_Fewshot,0.0,0.0,0.0,False,0.28555887937545776,0.28555887937545776,True,False,False,False,True
p02911,Description_Reason,0.0,0.0,0.0,False,0.21513640880584717,0.21513640880584717,True,False,False,False,True
p02911,Description_Simple,0.0,0.0,0.0,False,0.17595890164375305,0.17595890164375305,True,False,False,False,True
p02911,Description_Vague,0.0,0.0,0.0,False,0.2657965123653412,0.2657965123653412,True,False,False,False,True
p02755,Description_Detailed,0.0,0.0,0.0,False,0.46212393045425415,0.46212393045425415,True,False,False,False,True
p02755,Description_Fewshot,0.0,0.0,0.0,False,0.49599725008010864,0.49599725008010864,True,False,False,False,True
p02755,Description_Reason,0.0,0.0,0.0,False,0.5319398641586304,0.5319398641586304,False,False,True,False,False
p02755,Description_Simple,0.0,0.0,0.0,False,0.46725234389305115,0.46725234389305115,True,False,False,False,True
p02755,Description_Vague,0.0,0.0,0.0,False,0.14201487600803375,0.14201487600803375,True,False,False,False,True
p03281,Description_Detailed,0.0,0.0,0.0,False,0.5720095634460449,0.5720095634460449,False,False,True,False,False
p03281,Description_Fewshot,0.3,0.0,0.15,False,0.563105583190918,0.41310558319091795,False,False,True,False,False
p03281,Description_Reason,0.4,0.3,0.35,False,0.4794048070907593,0.1294048070907593,True,False,False,False,True
