Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.7152529358863831,0.28474706411361694,True,True,True,True,False
mbpp_0323,Description_Simple,0.6,0.6,0.6,0.6,True,0.679047703742981,0.07904770374298098,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6893062591552734,0.31069374084472656,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.5070489645004272,0.49295103549957275,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6130263805389404,0.38697361946105957,True,True,True,True,False
mbpp_0039,Description_Simple,0.9,0.9,0.9,0.9,True,0.632205069065094,0.26779493093490603,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.6678692102432251,0.6678692102432251,False,False,True,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.8236744403839111,0.17632555961608887,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.7106052041053772,0.2893947958946228,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.5919492244720459,0.4080507755279541,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.4994887709617615,0.5005112290382385,False,True,False,False,False
mbpp_0223,Description_Simple,0.9,0.9,0.9,0.9,True,0.6811689138412476,0.21883108615875246,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.8547930717468262,0.14520692825317383,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7517348527908325,0.24826514720916748,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.4972044825553894,0.09720448255538938,True,False,False,False,True
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5385237336158752,0.46147626638412476,True,True,True,True,False
mbpp_0628,Description_Simple,0.9,0.9,0.9,0.9,True,0.733540952205658,0.16645904779434206,True,True,True,True,False
mbpp_0387,Description_Simple,0.7,0.7,0.7,0.7,True,0.75368732213974,0.053687322139740035,True,True,True,True,False
