Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.7466546297073364,0.2533453702926636,True,True,True,True,False
p00003,Description_Simple,0.9,0.9,0.9,0.9,True,0.6741742491722107,0.22582575082778933,True,True,True,True,False
p02259,Description_Simple,0.6,0.6,0.6,0.6,True,0.7375338077545166,0.13753380775451662,True,True,True,True,False
p00011,Description_Simple,0.9,0.9,0.9,0.9,True,0.3616514801979065,0.5383485198020935,False,True,False,False,False
p02256,Description_Simple,0.7,0.7,0.7,0.7,True,0.6075409650802612,0.09245903491973873,True,True,True,True,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.5384425520896912,0.46155744791030884,True,True,True,True,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.5546684861183167,0.44533151388168335,True,True,True,True,False
p00005,Description_Simple,0.9,0.9,0.9,0.9,True,0.7027095556259155,0.1972904443740845,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.4477158486843109,0.5522841513156891,False,True,False,False,False
p00006,Description_Simple,0.7,0.7,0.7,0.7,True,0.5398727655410767,0.1601272344589233,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7396807074546814,0.2603192925453186,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7616931200027466,0.23830687999725342,True,True,True,True,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.48211216926574707,0.5178878307342529,False,True,False,False,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.6122008562088013,0.38779914379119873,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.6876022815704346,0.31239771842956543,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.6380910277366638,0.3619089722633362,True,True,True,True,False
p02390,Description_Simple,0.9,0.9,0.9,0.9,True,0.4513252377510071,0.44867476224899294,False,True,False,False,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.5303572416305542,0.3696427583694458,True,True,True,True,False
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.568716824054718,0.431283175945282,True,True,True,True,False
p02381,Description_Simple,1.0,1.0,1.0,1.0,True,0.5936630368232727,0.4063369631767273,True,True,True,True,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.585633397102356,0.41436660289764404,True,True,True,True,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.4813801646232605,0.5186198353767395,False,True,False,False,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.5654783248901367,0.4345216751098633,True,True,True,True,False
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.5440666675567627,0.3559333324432373,True,True,True,True,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.6126981973648071,0.2873018026351929,True,True,True,True,False
p02396,Description_Simple,1.0,1.0,1.0,1.0,True,0.4631126821041107,0.5368873178958893,False,True,False,False,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.4778708219528198,0.5221291780471802,False,True,False,False,False
p02398,Description_Simple,0.7,0.7,0.7,0.7,True,0.6593721508979797,0.04062784910202022,True,True,True,True,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.582883894443512,0.41711610555648804,True,True,True,True,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.6021314263343811,0.3978685736656189,True,True,True,True,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.6854543685913086,0.3145456314086914,True,True,True,True,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.5197089910507202,0.4802910089492798,True,True,True,True,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.5052083730697632,0.4947916269302368,True,True,True,True,False
p02414,Description_Simple,1.0,1.0,1.0,1.0,True,0.6988387107849121,0.3011612892150879,True,True,True,True,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.413935124874115,0.586064875125885,False,True,False,False,False
p02416,Description_Simple,1.0,1.0,1.0,1.0,True,0.06969457119703293,0.9303054288029671,False,True,False,False,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.6023684144020081,0.39763158559799194,True,True,True,True,False
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.6236622333526611,0.37633776664733887,True,True,True,True,False
p02420,Description_Simple,1.0,1.0,1.0,1.0,True,0.3560926914215088,0.6439073085784912,False,True,False,False,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.6402499675750732,0.35975003242492676,True,True,True,True,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.4567987322807312,0.5432012677192688,False,True,False,False,False
p02413,Description_Simple,1.0,1.0,1.0,1.0,True,0.5860691070556641,0.41393089294433594,True,True,True,True,False
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.5758060812950134,0.4241939187049866,True,True,True,True,False
p02419,Description_Simple,0.9,0.9,0.9,0.9,True,0.5906370282173157,0.30936297178268435,True,True,True,True,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.6873849630355835,0.21261503696441653,True,True,True,True,False
p02408,Description_Simple,1.0,1.0,1.0,1.0,True,0.6955569982528687,0.30444300174713135,True,True,True,True,False
p02415,Description_Simple,0.9,0.9,0.9,0.9,True,0.5868090391159058,0.31319096088409426,True,True,True,True,False
p02406,Description_Simple,1.0,1.0,1.0,1.0,True,0.1355978548526764,0.8644021451473236,False,True,False,False,False
p02547,Description_Simple,1.0,1.0,1.0,1.0,True,0.5199899673461914,0.4800100326538086,True,True,True,True,False
p02421,Description_Simple,1.0,1.0,1.0,1.0,True,0.7447114586830139,0.2552885413169861,True,True,True,True,False
p02553,Description_Simple,1.0,1.0,1.0,1.0,True,0.6003655195236206,0.3996344804763794,True,True,True,True,False
p02570,Description_Simple,0.0,0.0,0.0,0.0,False,0.19533155858516693,0.19533155858516693,True,False,False,False,True
p02595,Description_Simple,1.0,1.0,1.0,1.0,True,0.43063199520111084,0.5693680047988892,False,True,False,False,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.49284353852272034,0.5071564614772797,False,True,False,False,False
p02552,Description_Simple,1.0,1.0,1.0,1.0,True,0.3477911949157715,0.6522088050842285,False,True,False,False,False
p02621,Description_Simple,1.0,1.0,1.0,1.0,True,0.33188778162002563,0.6681122183799744,False,True,False,False,False
p02612,Description_Simple,0.6,0.6,0.6,0.6,True,0.36697712540626526,0.23302287459373472,False,True,False,False,False
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.4595088064670563,0.5404911935329437,False,True,False,False,False
p02622,Description_Simple,0.9,0.9,0.9,0.9,True,0.35720711946487427,0.5427928805351258,False,True,False,False,False
p02613,Description_Simple,0.4,0.4,0.4,0.4,False,0.5258025527000427,0.1258025527000427,False,False,True,False,False
p02578,Description_Simple,1.0,1.0,1.0,1.0,True,0.23659265041351318,0.7634073495864868,False,True,False,False,False
