Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00003,Description_Simple,0.0,0.0,0.0,0.0,False,0.2967459261417389,0.2967459261417389,True,False,False,False,True
p00007,Description_Simple,0.0,0.0,0.0,0.0,False,0.5378463864326477,0.5378463864326477,False,False,True,False,False
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.5123065710067749,0.4876934289932251,True,True,True,True,False
p02256,Description_Simple,0.0,,,0.0,False,0.5692064762115479,0.5692064762115479,False,False,True,False,False
p02263,Description_Simple,1.0,,,1.0,True,0.5076251029968262,0.49237489700317383,True,True,True,True,False
p02257,Description_Simple,1.0,,,1.0,True,0.5284517407417297,0.47154825925827026,True,True,True,True,False
p02255,Description_Simple,0.0,,,0.0,False,0.1721741259098053,0.1721741259098053,True,False,False,False,True
p02264,Description_Simple,0.0,,,0.0,False,0.17991125583648682,0.17991125583648682,True,False,False,False,True
p00006,Description_Simple,0.9,,,0.9,True,0.4888114929199219,0.41118850708007815,False,True,False,False,False
p02268,Description_Simple,0.0,,,0.0,False,0.20848406851291656,0.20848406851291656,True,False,False,False,True
p02259,Description_Simple,0.0,,,0.0,False,0.42650294303894043,0.42650294303894043,True,False,False,False,True
p00005,Description_Simple,1.0,,,1.0,True,0.6697583198547363,0.33024168014526367,True,True,True,True,False
p00001,Description_Simple,0.0,,,0.0,False,0.6080164909362793,0.6080164909362793,False,False,True,False,False
p00011,Description_Simple,0.0,,,0.0,False,0.3396994471549988,0.3396994471549988,True,False,False,False,True
p02260,Description_Simple,0.1,,,0.1,False,0.7707392573356628,0.6707392573356629,False,False,True,False,False
p02258,Description_Simple,0.0,,,0.0,False,0.29164743423461914,0.29164743423461914,True,False,False,False,True
p02389,Description_Simple,0.0,0.0,0.0,0.0,False,0.6371876001358032,0.6371876001358032,False,False,True,False,False
p02393,Description_Simple,0.0,0.0,0.0,0.0,False,0.6195836663246155,0.6195836663246155,False,False,True,False,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.22233515977859497,0.777664840221405,False,True,False,False,False
p02390,Description_Simple,0.0,0.0,0.0,0.0,False,0.12495438754558563,0.12495438754558563,True,False,False,False,True
p02392,Description_Simple,0.0,0.0,0.0,0.0,False,0.19904808700084686,0.19904808700084686,True,False,False,False,True
p02381,Description_Simple,0.0,0.0,0.0,0.0,False,0.5621678829193115,0.5621678829193115,False,False,True,False,False
p02397,Description_Simple,0.1,0.1,0.1,0.1,False,0.23607102036476135,0.13607102036476135,True,False,False,False,True
p02404,Description_Simple,0.1,0.1,0.1,0.1,False,0.2682299017906189,0.1682299017906189,True,False,False,False,True
p02402,Description_Simple,0.0,0.0,0.0,0.0,False,0.5402153730392456,0.5402153730392456,False,False,True,False,False
p02399,Description_Simple,0.0,0.0,0.0,0.0,False,0.4037227928638458,0.4037227928638458,True,False,False,False,True
p02396,Description_Simple,0.0,0.0,0.0,0.0,False,0.15469658374786377,0.15469658374786377,True,False,False,False,True
p02400,Description_Simple,0.0,0.0,0.0,0.0,False,0.6922110915184021,0.6922110915184021,False,False,True,False,False
p02403,Description_Simple,0.0,0.0,0.0,0.0,False,0.27546554803848267,0.27546554803848267,True,False,False,False,True
