,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,0.0,21.2,0.8,0.4,99.6,2.0,59.183673469387756,95.98393574297188,0.0,25.6,4.0,63.2,99.2,27.6
GPT3.5,21.2,0.0,21.2,20.8,78.4,20.8,45.30612244897959,74.69879518072288,21.2,24.4,22.8,54.0,78.8,28.799999999999997
GPT4o,0.8,21.2,0.0,1.2,98.8,2.8000000000000003,59.183673469387756,95.18072289156626,0.8,24.8,4.8,62.4,98.4,28.4
Gemini,0.4,20.8,1.2,0.0,99.2,2.4,58.77551020408164,95.58232931726907,0.4,26.0,4.3999999999999995,62.8,98.8,28.000000000000004
LlamaVL,99.6,78.4,98.8,99.2,0.0,97.6,40.40816326530612,3.614457831325301,99.6,74.0,95.6,36.4,1.2,72.0
O4-mini,2.0,20.8,2.8000000000000003,2.4,97.6,0.0,57.55102040816327,93.97590361445783,2.0,26.0,5.2,62.8,97.2,27.200000000000003
Qwen3VL,59.183673469387756,45.30612244897959,59.183673469387756,58.77551020408164,40.40816326530612,57.55102040816327,0.0,40.98360655737705,59.183673469387756,46.93877551020408,59.183673469387756,44.08163265306123,41.63265306122449,45.714285714285715
codellama,95.98393574297188,74.69879518072288,95.18072289156626,95.58232931726907,3.614457831325301,93.97590361445783,40.98360655737705,0.0,95.98393574297188,71.4859437751004,91.96787148594377,38.55421686746988,4.016064257028113,71.08433734939759
deepseek-r1,0.0,21.2,0.8,0.4,99.6,2.0,59.183673469387756,95.98393574297188,0.0,25.6,4.0,63.2,99.2,27.6
mistral,25.6,24.4,24.8,26.0,74.0,26.0,46.93877551020408,71.4859437751004,25.6,0.0,26.400000000000002,52.800000000000004,74.4,34.0
qwencoder32B,4.0,22.8,4.8,4.3999999999999995,95.6,5.2,59.183673469387756,91.96787148594377,4.0,26.400000000000002,0.0,61.6,95.19999999999999,27.6
starchat,63.2,54.0,62.4,62.8,36.4,62.8,44.08163265306123,38.55421686746988,63.2,52.800000000000004,61.6,0.0,36.8,53.2
starcoder,99.2,78.8,98.4,98.8,1.2,97.2,41.63265306122449,4.016064257028113,99.2,74.4,95.19999999999999,36.8,0.0,71.6
Llama70B,27.6,28.799999999999997,28.4,28.000000000000004,72.0,27.200000000000003,45.714285714285715,71.08433734939759,27.6,34.0,27.6,53.2,71.6,0.0
