Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00002,Description_Simple,0.3,0.3,0.3,0.3,False,0.5412883758544922,0.2412883758544922,False,False,True,False,False
p02256,Description_Simple,0.7,0.7,0.7,0.7,True,0.5962091684341431,0.10379083156585689,True,True,True,True,False
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.25916385650634766,0.7408361434936523,False,True,False,False,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.6712863445281982,0.32871365547180176,True,True,True,True,False
p00007,Description_Simple,0.7,0.7,0.7,0.7,True,0.4845288097858429,0.21547119021415706,False,True,False,False,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.38273534178733826,0.6172646582126617,False,True,False,False,False
p02258,Description_Simple,0.0,0.0,0.0,0.0,False,0.357521116733551,0.357521116733551,True,False,False,False,True
p00011,Description_Simple,1.0,1.0,1.0,1.0,True,0.2195272147655487,0.7804727852344513,False,True,False,False,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.5072879195213318,0.4927120804786682,True,True,True,True,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.7645755410194397,0.2354244589805603,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7622487545013428,0.23775124549865723,True,True,True,True,False
p00005,Description_Simple,0.9,0.9,0.9,0.9,True,0.5529698729515076,0.34703012704849245,True,True,True,True,False
p00006,Description_Simple,0.4,0.4,0.4,0.4,False,0.36526888608932495,0.03473111391067507,True,False,False,False,True
p02255,Description_Simple,0.7,0.7,0.7,0.7,True,0.5521330833435059,0.1478669166564941,True,True,True,True,False
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.6438882946968079,0.35611170530319214,True,True,True,True,False
p02257,Description_Simple,0.2,0.2,0.2,0.2,False,0.48203161358833313,0.2820316135883331,True,False,False,False,True
p02381,Description_Simple,0.8,0.8,0.8,0.8,True,0.5214939117431641,0.278506088256836,True,True,True,True,False
p02389,Description_Simple,0.0,0.0,0.0,0.0,False,0.2088480144739151,0.2088480144739151,True,False,False,False,True
p02392,Description_Simple,0.9,0.9,0.9,0.9,True,0.5331102013587952,0.36688979864120486,True,True,True,True,False
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.3952002227306366,0.40479977726936345,False,True,False,False,False
p02398,Description_Simple,0.4,0.4,0.4,0.4,False,0.390345960855484,0.009654039144516013,True,False,False,False,True
p02390,Description_Simple,1.0,1.0,1.0,1.0,True,0.39575257897377014,0.6042474210262299,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.6012014746665955,0.39879852533340454,True,True,True,True,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.4180375933647156,0.5819624066352844,False,True,False,False,False
p02396,Description_Simple,0.0,0.0,0.0,0.0,False,0.33967381715774536,0.33967381715774536,True,False,False,False,True
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.14747661352157593,0.7525233864784241,False,True,False,False,False
p02404,Description_Simple,0.8,0.8,0.8,0.8,True,0.4333299398422241,0.3666700601577759,False,True,False,False,False
p02399,Description_Simple,1.0,1.0,1.0,1.0,True,0.43990325927734375,0.5600967407226562,False,True,False,False,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.7110291123390198,0.2889708876609802,True,True,True,True,False
p02401,Description_Simple,0.9,0.9,0.9,0.9,True,0.40181607007980347,0.49818392992019656,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.791491687297821,0.20850831270217896,True,True,True,True,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.5832096338272095,0.31679036617279055,True,True,True,True,False
p02405,Description_Simple,1.0,1.0,1.0,1.0,True,0.34286272525787354,0.6571372747421265,False,True,False,False,False
p02409,Description_Simple,1.0,1.0,1.0,1.0,True,0.6049984693527222,0.39500153064727783,True,True,True,True,False
p02411,Description_Simple,0.9,0.9,0.9,0.9,True,0.5729742050170898,0.3270257949829102,True,True,True,True,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.5579591989517212,0.4420408010482788,True,True,True,True,False
p02415,Description_Simple,1.0,1.0,1.0,1.0,True,0.6048598885536194,0.3951401114463806,True,True,True,True,False
p02412,Description_Simple,1.0,1.0,1.0,1.0,True,0.5766663551330566,0.42333364486694336,True,True,True,True,False
p02416,Description_Simple,0.7,0.7,0.7,0.7,True,0.5599611401557922,0.14003885984420772,True,True,True,True,False
p02407,Description_Simple,0.0,0.0,0.0,0.0,False,0.19058796763420105,0.19058796763420105,True,False,False,False,True
p02419,Description_Simple,0.8,0.8,0.8,0.8,True,0.400977224111557,0.39902277588844304,False,True,False,False,False
p02406,Description_Simple,0.9,0.9,0.9,0.9,True,0.21837042272090912,0.6816295772790909,False,True,False,False,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.5752397179603577,0.42476028203964233,True,True,True,True,False
p02414,Description_Simple,0.2,0.2,0.2,0.2,False,0.7569807767868042,0.5569807767868042,False,False,True,False,False
p02413,Description_Simple,1.0,1.0,1.0,1.0,True,0.5617870092391968,0.4382129907608032,True,True,True,True,False
p02417,Description_Simple,0.9,0.9,0.9,0.9,True,0.6286413669586182,0.27135863304138186,True,True,True,True,False
p02408,Description_Simple,0.2,0.2,0.2,0.2,False,0.16344322264194489,0.036556777358055126,True,False,False,False,True
p02420,Description_Simple,1.0,1.0,1.0,1.0,True,0.3461593985557556,0.6538406014442444,False,True,False,False,False
p02547,Description_Simple,1.0,1.0,1.0,1.0,True,0.3572635352611542,0.6427364647388458,False,True,False,False,False
p02622,Description_Simple,1.0,1.0,1.0,1.0,True,0.30999091267585754,0.6900090873241425,False,True,False,False,False
p02421,Description_Simple,1.0,1.0,1.0,1.0,True,0.34186413884162903,0.658135861158371,False,True,False,False,False
p02553,Description_Simple,0.9,0.9,0.9,0.9,True,0.4870029091835022,0.4129970908164978,False,True,False,False,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.48914891481399536,0.5108510851860046,False,True,False,False,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.48148196935653687,0.5185180306434631,False,True,False,False,False
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.4421525299549103,0.5578474700450897,False,True,False,False,False
p02552,Description_Simple,0.9,0.9,0.9,0.9,True,0.47743451595306396,0.42256548404693606,False,True,False,False,False
p02576,Description_Simple,0.0,0.0,0.0,0.0,False,0.1448710709810257,0.1448710709810257,True,False,False,False,True
p02595,Description_Simple,1.0,1.0,1.0,1.0,True,0.36407896876335144,0.6359210312366486,False,True,False,False,False
p02627,Description_Simple,0.1,0.1,0.1,0.1,False,0.280784547328949,0.18078454732894897,True,False,False,False,True
p02570,Description_Simple,0.8,0.8,0.8,0.8,True,0.20235857367515564,0.5976414263248444,False,True,False,False,False
p02621,Description_Simple,0.9,0.9,0.9,0.9,True,0.40791043639183044,0.4920895636081696,False,True,False,False,False
p02612,Description_Simple,0.0,0.0,0.0,0.0,False,0.3581095337867737,0.3581095337867737,True,False,False,False,True
p02578,Description_Simple,1.0,1.0,1.0,1.0,True,0.22318747639656067,0.7768125236034393,False,True,False,False,False
p02613,Description_Simple,0.3,0.3,0.3,0.3,False,0.5253246426582336,0.22532464265823365,False,False,True,False,False
p02628,Description_Simple,1.0,1.0,1.0,1.0,True,0.2511982023715973,0.7488017976284027,False,True,False,False,False
p02641,Description_Simple,1.0,1.0,1.0,1.0,True,0.44443538784980774,0.5555646121501923,False,True,False,False,False
p02629,Description_Simple,1.0,1.0,1.0,1.0,True,0.23821350932121277,0.7617864906787872,False,True,False,False,False
p02640,Description_Simple,1.0,1.0,1.0,1.0,True,0.61813884973526,0.38186115026474,True,True,True,True,False
p02675,Description_Simple,0.0,0.0,0.0,0.0,False,0.3492589294910431,0.3492589294910431,True,False,False,False,True
p02639,Description_Simple,0.6,0.6,0.6,0.6,True,0.23490959405899048,0.3650904059410095,False,True,False,False,False
p02657,Description_Simple,1.0,1.0,1.0,1.0,True,0.34312117099761963,0.6568788290023804,False,True,False,False,False
p02681,Description_Simple,0.3,0.3,0.3,0.3,False,0.35677817463874817,0.05677817463874818,True,False,False,False,True
p02659,Description_Simple,1.0,1.0,1.0,1.0,True,0.6962942481040955,0.30370575189590454,True,True,True,True,False
p02687,Description_Simple,0.0,0.0,0.0,0.0,False,0.16541197896003723,0.16541197896003723,True,False,False,False,True
p02693,Description_Simple,1.0,1.0,1.0,1.0,True,0.3376992642879486,0.6623007357120514,False,True,False,False,False
p02688,Description_Simple,1.0,1.0,1.0,1.0,True,0.22801139950752258,0.7719886004924774,False,True,False,False,False
p02658,Description_Simple,0.6,0.6,0.6,0.6,True,0.5352797508239746,0.06472024917602537,True,True,True,True,False
p02676,Description_Simple,1.0,1.0,1.0,1.0,True,0.330801397562027,0.669198602437973,False,True,False,False,False
p02682,Description_Simple,1.0,1.0,1.0,1.0,True,0.32096320390701294,0.6790367960929871,False,True,False,False,False
p02694,Description_Simple,1.0,1.0,1.0,1.0,True,0.5287424325942993,0.4712575674057007,True,True,True,True,False
p02700,Description_Simple,1.0,1.0,1.0,1.0,True,0.20273931324481964,0.7972606867551804,False,True,False,False,False
p02701,Description_Simple,1.0,1.0,1.0,1.0,True,0.3082287013530731,0.6917712986469269,False,True,False,False,False
p02699,Description_Simple,1.0,1.0,1.0,1.0,True,0.4043850898742676,0.5956149101257324,False,True,False,False,False
p02711,Description_Simple,1.0,1.0,1.0,1.0,True,0.508191704750061,0.49180829524993896,True,True,True,True,False
p02706,Description_Simple,1.0,1.0,1.0,1.0,True,0.2525606155395508,0.7474393844604492,False,True,False,False,False
p02717,Description_Simple,1.0,1.0,1.0,1.0,True,0.23374617099761963,0.7662538290023804,False,True,False,False,False
p02718,Description_Simple,1.0,1.0,1.0,1.0,True,0.3020748794078827,0.6979251205921173,False,True,False,False,False
p02707,Description_Simple,1.0,1.0,1.0,1.0,True,0.5926775932312012,0.40732240676879883,True,True,True,True,False
p02712,Description_Simple,1.0,1.0,1.0,1.0,True,0.35766568779945374,0.6423343122005463,False,True,False,False,False
p02729,Description_Simple,1.0,1.0,1.0,1.0,True,0.446442186832428,0.553557813167572,False,True,False,False,False
p02724,Description_Simple,0.6,0.6,0.6,0.6,True,0.2556414306163788,0.3443585693836212,False,True,False,False,False
p02713,Description_Simple,1.0,1.0,1.0,1.0,True,0.5080588459968567,0.4919411540031433,True,True,True,True,False
p02725,Description_Simple,1.0,1.0,1.0,1.0,True,0.3757495582103729,0.6242504417896271,False,True,False,False,False
p02719,Description_Simple,0.0,0.0,0.0,0.0,False,0.3543403744697571,0.3543403744697571,True,False,False,False,True
p02723,Description_Simple,1.0,1.0,1.0,1.0,True,0.40601450204849243,0.5939854979515076,False,True,False,False,False
p02730,Description_Simple,1.0,1.0,1.0,1.0,True,0.5655751824378967,0.43442481756210327,True,True,True,True,False
p02753,Description_Simple,1.0,1.0,1.0,1.0,True,0.26174238324165344,0.7382576167583466,False,True,False,False,False
p02759,Description_Simple,0.0,0.0,0.0,0.0,False,0.20508766174316406,0.20508766174316406,True,False,False,False,True
p02766,Description_Simple,0.0,0.0,0.0,0.0,False,0.29616495966911316,0.29616495966911316,True,False,False,False,True
p02754,Description_Simple,1.0,1.0,1.0,1.0,True,0.19624628126621246,0.8037537187337875,False,True,False,False,False
p02778,Description_Simple,1.0,1.0,1.0,1.0,True,0.27230656147003174,0.7276934385299683,False,True,False,False,False
p02773,Description_Simple,1.0,1.0,1.0,1.0,True,0.356846421957016,0.643153578042984,False,True,False,False,False
p02755,Description_Simple,1.0,1.0,1.0,1.0,True,0.37150391936302185,0.6284960806369781,False,True,False,False,False
p02779,Description_Simple,1.0,1.0,1.0,1.0,True,0.4402472972869873,0.5597527027130127,False,True,False,False,False
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.14658789336681366,0.8534121066331863,False,True,False,False,False
p02785,Description_Simple,1.0,1.0,1.0,1.0,True,0.13448017835617065,0.8655198216438293,False,True,False,False,False
p02767,Description_Simple,1.0,1.0,1.0,1.0,True,0.3749930262565613,0.6250069737434387,False,True,False,False,False
p02771,Description_Simple,1.0,1.0,1.0,1.0,True,0.33367276191711426,0.6663272380828857,False,True,False,False,False
