Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02847,Description_Fewshot,0.7,0.7,0.7,True,0.6108933687210083,0.08910663127899165,True,True,True,True,False
p02847,Description_Reason,0.4,0.4,0.4,False,0.5245442986488342,0.1245442986488342,False,False,True,False,False
p02847,Description_Simple,0.7,0.9,0.8,True,0.5584453344345093,0.24155466556549077,True,True,True,True,False
p00006,Description_Fewshot,0.4,0.4,0.4,False,0.6989529728889465,0.2989529728889465,False,False,True,False,False
p00006,Description_Reason,0.9,0.4,0.65,True,0.7041465640068054,0.0541465640068054,True,True,True,True,False
p00006,Description_Simple,0.4,0.4,0.4,False,0.5979618430137634,0.1979618430137634,False,False,True,False,False
p02659,Description_Fewshot,0.9,0.7,0.8,True,0.4128296673297882,0.38717033267021184,False,True,False,False,False
p02659,Description_Reason,0.4,0.9,0.65,True,0.589680016040802,0.06031998395919802,True,True,True,True,False
p02659,Description_Simple,0.7,0.9,0.8,True,0.5568749308586121,0.24312506914138798,True,True,True,True,False
p02400,Description_Fewshot,0.9,1.0,0.95,True,0.7745804190635681,0.17541958093643184,True,True,True,True,False
p02400,Description_Reason,0.9,0.7,0.8,True,0.6898754239082336,0.1101245760917664,True,True,True,True,False
p02400,Description_Simple,0.0,1.0,0.5,True,0.7619258165359497,0.2619258165359497,True,True,True,True,False
p03292,Description_Fewshot,1.0,0.0,0.5,True,0.4262203276157379,0.07377967238426208,False,True,False,False,False
p03292,Description_Reason,1.0,0.0,0.5,True,0.44879475235939026,0.05120524764060974,False,True,False,False,False
p03292,Description_Simple,0.0,0.9,0.45,False,0.4588659405708313,0.008865940570831288,True,False,False,False,True
p03072,Description_Fewshot,0.1,1.0,0.55,True,0.6419735550880432,0.09197355508804317,True,True,True,True,False
p03072,Description_Reason,0.1,1.0,0.55,True,0.3911954462528229,0.15880455374717717,False,True,False,False,False
p03072,Description_Simple,0.1,0.1,0.1,False,0.5436838865280151,0.44368388652801516,False,False,True,False,False
p02725,Description_Fewshot,1.0,0.1,0.55,True,0.5192143321037292,0.030785667896270796,True,True,True,True,False
p02725,Description_Reason,1.0,0.1,0.55,True,0.5347769260406494,0.01522307395935063,True,True,True,True,False
p02725,Description_Simple,1.0,1.0,1.0,True,0.536173939704895,0.463826060295105,True,True,True,True,False
p02701,Description_Fewshot,1.0,1.0,1.0,True,0.46188047528266907,0.5381195247173309,False,True,False,False,False
p02701,Description_Reason,1.0,1.0,1.0,True,0.37921079993247986,0.6207892000675201,False,True,False,False,False
p02701,Description_Simple,1.0,1.0,1.0,True,0.515574038028717,0.48442596197128296,True,True,True,True,False
p02641,Description_Fewshot,1.0,0.4,0.7,True,0.5742601752281189,0.12573982477188106,True,True,True,True,False
p02641,Description_Reason,0.4,1.0,0.7,True,0.547614336013794,0.152385663986206,True,True,True,True,False
p02641,Description_Simple,1.0,0.9,0.95,True,0.6035518646240234,0.3464481353759765,True,True,True,True,False
p02707,Description_Fewshot,1.0,1.0,1.0,True,0.47983288764953613,0.5201671123504639,False,True,False,False,False
p02707,Description_Reason,1.0,1.0,1.0,True,0.5342007875442505,0.4657992124557495,True,True,True,True,False
p02707,Description_Simple,0.9,1.0,0.95,True,0.5245177745819092,0.4254822254180908,True,True,True,True,False
p02403,Description_Fewshot,0.1,0.1,0.1,False,0.47186607122421265,0.37186607122421267,True,False,False,False,True
p02403,Description_Reason,0.4,0.4,0.4,False,0.47264644503593445,0.07264644503593443,True,False,False,False,True
p02403,Description_Simple,0.4,0.6,0.5,True,0.5336861610412598,0.033686161041259766,True,True,True,True,False
p03315,Description_Fewshot,0.4,0.4,0.4,False,0.4826725721359253,0.08267257213592527,True,False,False,False,True
p03315,Description_Reason,0.4,0.4,0.4,False,0.42787086963653564,0.027870869636535622,True,False,False,False,True
p03315,Description_Simple,0.4,0.4,0.4,False,0.5283992290496826,0.1283992290496826,False,False,True,False,False
p03285,Description_Fewshot,0.4,0.4,0.4,False,0.4078434109687805,0.007843410968780495,True,False,False,False,True
p03285,Description_Reason,0.6,0.4,0.5,True,0.4475787281990051,0.05242127180099487,False,True,False,False,False
p03285,Description_Simple,0.0,0.1,0.05,False,0.3646092414855957,0.3146092414855957,True,False,False,False,True
p02687,Description_Fewshot,0.0,0.0,0.0,False,0.10717344284057617,0.10717344284057617,True,False,False,False,True
p02687,Description_Reason,0.1,0.0,0.05,False,0.24864642322063446,0.19864642322063447,True,False,False,False,True
p02687,Description_Simple,0.0,0.0,0.0,False,0.3607858717441559,0.3607858717441559,True,False,False,False,True
p02958,Description_Fewshot,1.0,1.0,1.0,True,0.6903564929962158,0.3096435070037842,True,True,True,True,False
p02958,Description_Reason,1.0,1.0,1.0,True,0.7165989279747009,0.2834010720252991,True,True,True,True,False
p02958,Description_Simple,0.9,1.0,0.95,True,0.8211751580238342,0.12882484197616573,True,True,True,True,False
p02759,Description_Fewshot,1.0,0.7,0.85,True,0.17267009615898132,0.6773299038410187,False,True,False,False,False
