Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0159,Description_Simple,0.8,0.8,0.8,0.8,True,0.6583772301673889,0.14162276983261113,True,True,True,True,False
mbpp_0323,Description_Simple,0.9,0.9,0.9,0.9,True,0.47533121705055237,0.42466878294944765,False,True,False,False,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.4417196214199066,0.5582803785800934,False,True,False,False,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.58873450756073,0.41126549243927,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7796300649642944,0.22036993503570557,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.6033203601837158,0.3966796398162842,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.5919735431671143,0.40802645683288574,True,True,True,True,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.7165154218673706,0.3165154218673706,False,False,True,False,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.7173070311546326,0.28269296884536743,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.5193775296211243,0.48062247037887573,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6588740944862366,0.3411259055137634,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.5864719152450562,0.41352808475494385,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7120068073272705,0.2879931926727295,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.789430558681488,0.21056944131851196,True,True,True,True,False
mbpp_0423,Description_Simple,0.7,0.7,0.7,0.7,True,0.5922146439552307,0.10778535604476924,True,True,True,True,False
mbpp_0408,Description_Simple,0.5,0.5,0.5,0.5,True,0.502620279788971,0.0026202797889709473,True,True,True,True,False
mbpp_0387,Description_Simple,0.9,0.9,0.9,0.9,True,0.6613654494285583,0.23863455057144167,True,True,True,True,False
