Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0031,Description_Simple,1.0,1.0,1.0,1.0,True,0.720548152923584,0.279451847076416,True,True,True,True,False
mbpp_0342,Description_Simple,1.0,1.0,1.0,1.0,True,0.5730009078979492,0.4269990921020508,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.4520305395126343,0.052030539512634255,True,False,False,False,True
mbpp_0635,Description_Simple,1.0,1.0,1.0,1.0,True,0.6267066597938538,0.37329334020614624,True,True,True,True,False
mbpp_0159,Description_Simple,0.9,0.9,0.9,0.9,True,0.5882782936096191,0.3117217063903809,True,True,True,True,False
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.627799391746521,0.372200608253479,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.3093700408935547,0.6906299591064453,False,True,False,False,False
mbpp_0843,Description_Simple,1.0,1.0,1.0,1.0,True,0.6612330079078674,0.33876699209213257,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6363533139228821,0.3636466860771179,True,True,True,True,False
mbpp_0039,Description_Simple,0.9,0.9,0.9,0.9,True,0.6526044011116028,0.24739559888839724,True,True,True,True,False
mbpp_0004,Description_Simple,0.7,0.7,0.7,0.7,True,0.6582901477813721,0.041709852218627885,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6254914999008179,0.37450850009918213,True,True,True,True,False
mbpp_0496,Description_Simple,0.9,0.9,0.9,0.9,True,0.6212174892425537,0.2787825107574463,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7435441017150879,0.2564558982849121,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.576846182346344,0.17684618234634397,False,False,True,False,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.6478803753852844,0.3521196246147156,True,True,True,True,False
mbpp_0108,Description_Simple,0.4,0.4,0.4,0.4,False,0.4577430188655853,0.057743018865585305,True,False,False,False,True
mbpp_0372,Description_Simple,1.0,1.0,1.0,1.0,True,0.6431776285171509,0.3568223714828491,True,True,True,True,False
mbpp_0209,Description_Simple,1.0,1.0,1.0,1.0,True,0.6497576236724854,0.35024237632751465,True,True,True,True,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6167004704475403,0.3832995295524597,True,True,True,True,False
mbpp_0515,Description_Simple,0.9,0.9,0.9,0.9,True,0.470653772354126,0.42934622764587405,False,True,False,False,False
mbpp_0776,Description_Simple,0.4,0.4,0.4,0.4,False,0.6712483167648315,0.2712483167648315,False,False,True,False,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7540032267570496,0.24599677324295044,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.737027108669281,0.262972891330719,True,True,True,True,False
mbpp_0315,Description_Simple,1.0,1.0,1.0,1.0,True,0.8091536164283752,0.19084638357162476,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6125496625900269,0.38745033740997314,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6248700618743896,0.37512993812561035,True,True,True,True,False
mbpp_0838,Description_Simple,1.0,1.0,1.0,1.0,True,0.7666300535202026,0.23336994647979736,True,True,True,True,False
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6674298644065857,0.3325701355934143,True,True,True,True,False
mbpp_0074,Description_Simple,0.2,0.2,0.2,0.2,False,0.4951375126838684,0.2951375126838684,True,False,False,False,True
mbpp_0834,Description_Simple,0.9,0.9,0.9,0.9,True,0.8027360439300537,0.09726395606994631,True,True,True,True,False
mbpp_0501,Description_Simple,0.2,0.2,0.2,0.2,False,0.7260255813598633,0.5260255813598633,False,False,True,False,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.5637060403823853,0.43629395961761475,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7331994771957397,0.26680052280426025,True,True,True,True,False
mbpp_0550,Description_Simple,0.4,0.4,0.4,0.4,False,0.43945637345314026,0.03945637345314024,True,False,False,False,True
mbpp_0306,Description_Simple,0.8,0.8,0.8,0.8,True,0.6406299471855164,0.1593700528144837,True,True,True,True,False
mbpp_0811,Description_Simple,0.6,0.6,0.6,0.6,True,0.627112090587616,0.02711209058761599,True,True,True,True,False
mbpp_0926,Description_Simple,0.4,0.4,0.4,0.4,False,0.6263206005096436,0.22632060050964353,False,False,True,False,False
mbpp_0850,Description_Simple,0.2,0.2,0.2,0.2,False,0.46146753430366516,0.26146753430366515,True,False,False,False,True
mbpp_0523,Description_Simple,0.4,0.4,0.4,0.4,False,0.3811325430870056,0.018867456912994407,True,False,False,False,True
mbpp_0247,Description_Simple,0.9,0.9,0.9,0.9,True,0.7698822617530823,0.13011773824691775,True,True,True,True,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.7962081432342529,0.20379185676574707,True,True,True,True,False
mbpp_0453,Description_Simple,1.0,1.0,1.0,1.0,True,0.6906090974807739,0.3093909025192261,True,True,True,True,False
mbpp_0463,Description_Simple,1.0,1.0,1.0,1.0,True,0.7544957995414734,0.2455042004585266,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.5664288401603699,0.13357115983963008,True,True,True,True,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.49352243542671204,0.506477564573288,False,True,False,False,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.751606822013855,0.35160682201385496,False,False,True,False,False
mbpp_0382,Description_Simple,1.0,1.0,1.0,1.0,True,0.7451902031898499,0.25480979681015015,True,True,True,True,False
mbpp_0239,Description_Simple,0.0,0.0,0.0,0.0,False,0.5173763632774353,0.5173763632774353,False,False,True,False,False
mbpp_0689,Description_Simple,1.0,1.0,1.0,1.0,True,0.7944676876068115,0.20553231239318848,True,True,True,True,False
mbpp_0107,Description_Simple,0.4,0.4,0.4,0.4,False,0.6919471621513367,0.29194716215133665,False,False,True,False,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.8095686435699463,0.1904313564300537,True,True,True,True,False
mbpp_0466,Description_Simple,1.0,1.0,1.0,1.0,True,0.6698047518730164,0.33019524812698364,True,True,True,True,False
mbpp_0826,Description_Simple,0.6,0.6,0.6,0.6,True,0.6624221801757812,0.06242218017578127,True,True,True,True,False
mbpp_0349,Description_Simple,0.6,0.6,0.6,0.6,True,0.57904052734375,0.020959472656249978,True,True,True,True,False
mbpp_0121,Description_Simple,0.7,0.7,0.7,0.7,True,0.6124007105827332,0.0875992894172668,True,True,True,True,False
mbpp_0597,Description_Simple,1.0,1.0,1.0,1.0,True,0.6686633229255676,0.3313366770744324,True,True,True,True,False
mbpp_0628,Description_Simple,0.6,0.6,0.6,0.6,True,0.5780227780342102,0.021977221965789773,True,True,True,True,False
mbpp_0129,Description_Simple,0.1,0.1,0.1,0.1,False,0.5837358832359314,0.4837358832359314,False,False,True,False,False
mbpp_0485,Description_Simple,1.0,1.0,1.0,1.0,True,0.7645621299743652,0.23543787002563477,True,True,True,True,False
mbpp_0054,Description_Simple,1.0,1.0,1.0,1.0,True,0.6773630380630493,0.3226369619369507,True,True,True,True,False
mbpp_0397,Description_Simple,1.0,1.0,1.0,1.0,True,0.6968981027603149,0.30310189723968506,True,True,True,True,False
mbpp_0863,Description_Simple,1.0,1.0,1.0,1.0,True,0.778797447681427,0.221202552318573,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6242542862892151,0.3757457137107849,True,True,True,True,False
mbpp_0648,Description_Simple,0.4,0.4,0.4,0.4,False,0.4084555208683014,0.00845552086830137,True,False,False,False,True
mbpp_0685,Description_Simple,1.0,1.0,1.0,1.0,True,0.6192517876625061,0.3807482123374939,True,True,True,True,False
mbpp_0885,Description_Simple,1.0,1.0,1.0,1.0,True,0.6241398453712463,0.37586015462875366,True,True,True,True,False
mbpp_0971,Description_Simple,1.0,1.0,1.0,1.0,True,0.722840428352356,0.27715957164764404,True,True,True,True,False
mbpp_0918,Description_Simple,1.0,1.0,1.0,1.0,True,0.5773265957832336,0.42267340421676636,True,True,True,True,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.7094792127609253,0.2905207872390747,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.8060370683670044,0.1939629316329956,True,True,True,True,False
mbpp_0256,Description_Simple,1.0,1.0,1.0,1.0,True,0.7539430856704712,0.2460569143295288,True,True,True,True,False
mbpp_0702,Description_Simple,1.0,1.0,1.0,1.0,True,0.5245437622070312,0.47545623779296875,True,True,True,True,False
mbpp_0531,Description_Simple,1.0,1.0,1.0,1.0,True,0.7330383062362671,0.2669616937637329,True,True,True,True,False
mbpp_0751,Description_Simple,1.0,1.0,1.0,1.0,True,0.6654379367828369,0.3345620632171631,True,True,True,True,False
mbpp_0622,Description_Simple,1.0,1.0,1.0,1.0,True,0.6730655431747437,0.32693445682525635,True,True,True,True,False
mbpp_0448,Description_Simple,1.0,1.0,1.0,1.0,True,0.3659897446632385,0.6340102553367615,False,True,False,False,False
mbpp_0717,Description_Simple,0.8,0.8,0.8,0.8,True,0.5856415033340454,0.21435849666595463,True,True,True,True,False
mbpp_0714,Description_Simple,0.0,0.0,0.0,0.0,False,0.47181761264801025,0.47181761264801025,True,False,False,False,True
mbpp_0181,Description_Simple,1.0,1.0,1.0,1.0,True,0.7620832324028015,0.2379167675971985,True,True,True,True,False
mbpp_0853,Description_Simple,1.0,1.0,1.0,1.0,True,0.693426787853241,0.30657321214675903,True,True,True,True,False
mbpp_0846,Description_Simple,1.0,1.0,1.0,1.0,True,0.6604450345039368,0.33955496549606323,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.5951321125030518,0.40486788749694824,True,True,True,True,False
mbpp_0386,Description_Simple,1.0,1.0,1.0,1.0,True,0.778627872467041,0.22137212753295898,True,True,True,True,False
mbpp_0395,Description_Simple,1.0,1.0,1.0,1.0,True,0.6165882349014282,0.3834117650985718,True,True,True,True,False
mbpp_0020,Description_Simple,1.0,1.0,1.0,1.0,True,0.671972393989563,0.328027606010437,True,True,True,True,False
mbpp_0122,Description_Simple,0.0,0.0,0.0,0.0,False,0.5398504734039307,0.5398504734039307,False,False,True,False,False
mbpp_0032,Description_Simple,1.0,1.0,1.0,1.0,True,0.8058998584747314,0.19410014152526855,True,True,True,True,False
mbpp_0492,Description_Simple,1.0,1.0,1.0,1.0,True,0.571466863155365,0.428533136844635,True,True,True,True,False
mbpp_0001,Description_Simple,0.7,0.7,0.7,0.7,True,0.6449022889137268,0.05509771108627315,True,True,True,True,False
mbpp_0856,Description_Simple,1.0,1.0,1.0,1.0,True,0.732283353805542,0.267716646194458,True,True,True,True,False
mbpp_0684,Description_Simple,0.2,0.2,0.2,0.2,False,0.5851656794548035,0.38516567945480346,False,False,True,False,False
mbpp_0231,Description_Simple,1.0,1.0,1.0,1.0,True,0.6239336729049683,0.37606632709503174,True,True,True,True,False
mbpp_0351,Description_Simple,0.9,0.9,0.9,0.9,True,0.7732399702072144,0.12676002979278567,True,True,True,True,False
