problem_id,success_rate,success_count,total_evaluations,group
p03470,0.6054,178,294,success
p02701,0.6020,177,294,success
p02898,0.5612,165,294,success
p03160,0.5442,160,294,success
p02393,0.5204,153,294,success
p02259,0.5034,148,294,success
p02835,0.5000,147,294,success
p02831,0.5000,147,294,success
p03448,0.4898,144,294,failure
p03293,0.4864,143,294,failure
p03161,0.4864,143,294,failure
p00003,0.4864,143,294,failure
p02934,0.4864,143,294,failure
p02388,0.4830,142,294,failure
p02766,0.4830,142,294,failure
p00006,0.4762,140,294,failure
p00001,0.4728,139,294,failure
p02995,0.4694,138,294,failure
p02400,0.4694,138,294,failure
p02829,0.4694,138,294,failure
p02263,0.4660,137,294,failure
p02629,0.4626,136,294,failure
p02982,0.4626,136,294,failure
p02577,0.4592,135,294,failure
p02260,0.4592,135,294,failure
p03456,0.4592,135,294,failure
p02414,0.4558,134,294,failure
p02952,0.4558,134,294,failure
p03434,0.4524,133,294,failure
p02595,0.4490,132,294,failure
p02812,0.4456,131,294,failure
p02417,0.4456,131,294,failure
p02412,0.4422,130,294,failure
p03316,0.4422,130,294,failure
p02887,0.4388,129,294,failure
p02264,0.4388,129,294,failure
p02402,0.4354,128,294,failure
p03000,0.4354,128,294,failure
p02410,0.4354,128,294,failure
p02682,0.4286,126,294,failure
p02705,0.4286,126,294,failure
p02392,0.4286,126,294,failure
p02570,0.4286,126,294,failure
p03136,0.4252,125,294,failure
p02415,0.4252,125,294,failure
p02399,0.4218,124,294,failure
p02879,0.4218,124,294,failure
p02723,0.4218,124,294,failure
p03775,0.4218,124,294,failure
p02947,0.4218,124,294,failure
p03087,0.4218,124,294,failure
p03360,0.4184,123,294,failure
p02830,0.4184,123,294,failure
p02860,0.4184,123,294,failure
p02576,0.4150,122,294,failure
p03102,0.4116,121,294,failure
p02627,0.4082,120,294,failure
p02381,0.4048,119,294,failure
p03106,0.4014,118,294,failure
p02767,0.4014,118,294,failure
p03478,0.4014,118,294,failure
p02801,0.4014,118,294,failure
p03289,0.3946,116,294,failure
p02957,0.3946,116,294,failure
p02771,0.3912,115,294,failure
p04012,0.3912,115,294,failure
p03494,0.3912,115,294,failure
p03308,0.3912,115,294,failure
p02628,0.3878,114,294,failure
p02421,0.3878,114,294,failure
p02688,0.3878,114,294,failure
p02719,0.3878,114,294,failure
p03493,0.3844,113,294,failure
p03680,0.3844,113,294,failure
p02258,0.3810,112,294,failure
p03261,0.3810,112,294,failure
p02622,0.3810,112,294,failure
p02819,0.3810,112,294,failure
p03012,0.3810,112,294,failure
p03695,0.3810,112,294,failure
p02255,0.3810,112,294,failure
p02993,0.3776,111,294,failure
p03086,0.3776,111,294,failure
p02406,0.3776,111,294,failure
p03720,0.3776,111,294,failure
p00005,0.3776,111,294,failure
p03457,0.3776,111,294,failure
p02391,0.3741,110,294,failure
p02706,0.3741,110,294,failure
p02419,0.3741,110,294,failure
p02988,0.3741,110,294,failure
p02676,0.3741,110,294,failure
