Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00002,Description_Simple,1.0,1.0,1.0,1.0,True,0.5074178576469421,0.49258214235305786,True,True,True,True,False
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.6873310208320618,0.31266897916793823,True,True,True,True,False
p00005,Description_Simple,0.9,0.9,0.9,0.9,True,0.7653167247772217,0.13468327522277834,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.42838209867477417,0.5716179013252258,False,True,False,False,False
p00001,Description_Simple,0.9,0.9,0.9,0.9,True,0.7198288440704346,0.18017115592956545,True,True,True,True,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.5162688493728638,0.48373115062713623,True,True,True,True,False
p00006,Description_Simple,0.4,0.4,0.4,0.4,False,0.5814160704612732,0.18141607046127317,False,False,True,False,False
p00011,Description_Simple,1.0,1.0,1.0,1.0,True,0.3455004394054413,0.6544995605945587,False,True,False,False,False
p02256,Description_Simple,0.2,0.2,0.2,0.2,False,0.5797992944717407,0.3797992944717407,False,False,True,False,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.4784454107284546,0.5215545892715454,False,True,False,False,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7271817326545715,0.27281826734542847,True,True,True,True,False
p02257,Description_Simple,1.0,1.0,1.0,1.0,True,0.6389189958572388,0.36108100414276123,True,True,True,True,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.686758279800415,0.31324172019958496,True,True,True,True,False
p02255,Description_Simple,1.0,1.0,1.0,1.0,True,0.5384289026260376,0.4615710973739624,True,True,True,True,False
p02259,Description_Simple,0.8,0.8,0.8,0.8,True,0.7893305420875549,0.010669457912445113,True,True,True,True,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.7478348016738892,0.25216519832611084,True,True,True,True,False
p02390,Description_Simple,1.0,1.0,1.0,1.0,True,0.41246652603149414,0.5875334739685059,False,True,False,False,False
p02381,Description_Simple,0.2,0.2,0.2,0.2,False,0.6469454169273376,0.44694541692733764,False,False,True,False,False
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.21810227632522583,0.7818977236747742,False,True,False,False,False
p02398,Description_Simple,0.8,0.8,0.8,0.8,True,0.6395958662033081,0.16040413379669194,True,True,True,True,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.5675796270370483,0.43242037296295166,True,True,True,True,False
p02396,Description_Simple,0.3,0.3,0.3,0.3,False,0.33682501316070557,0.03682501316070558,True,False,False,False,True
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.5333432555198669,0.3666567444801331,True,True,True,True,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.7440199851989746,0.2559800148010254,True,True,True,True,False
p02399,Description_Simple,0.9,0.9,0.9,0.9,True,0.5097659826278687,0.39023401737213137,True,True,True,True,False
p02388,Description_Simple,1.0,1.0,1.0,1.0,True,0.420412540435791,0.579587459564209,False,True,False,False,False
p02397,Description_Simple,0.9,0.9,0.9,0.9,True,0.426967054605484,0.473032945394516,False,True,False,False,False
p02401,Description_Simple,0.8,0.8,0.8,0.8,True,0.5271908044815063,0.2728091955184937,True,True,True,True,False
p02392,Description_Simple,0.7,0.7,0.7,0.7,True,0.5815848708152771,0.11841512918472286,True,True,True,True,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.7270024418830872,0.27299755811691284,True,True,True,True,False
p02404,Description_Simple,1.0,1.0,1.0,1.0,True,0.4454173147678375,0.5545826852321625,False,True,False,False,False
p02402,Description_Simple,0.9,0.9,0.9,0.9,True,0.383608341217041,0.516391658782959,False,True,False,False,False
p02418,Description_Simple,1.0,1.0,1.0,1.0,True,0.5869550704956055,0.41304492950439453,True,True,True,True,False
p02410,Description_Simple,1.0,1.0,1.0,1.0,True,0.6247819066047668,0.37521809339523315,True,True,True,True,False
p02406,Description_Simple,1.0,1.0,1.0,1.0,True,0.2815070152282715,0.7184929847717285,False,True,False,False,False
p02417,Description_Simple,1.0,1.0,1.0,1.0,True,0.6855068802833557,0.3144931197166443,True,True,True,True,False
p02411,Description_Simple,0.6,0.6,0.6,0.6,True,0.5857383012771606,0.014261698722839333,True,True,True,True,False
p02419,Description_Simple,0.7,0.7,0.7,0.7,True,0.5271008014678955,0.17289919853210445,True,True,True,True,False
p02409,Description_Simple,0.7,0.7,0.7,0.7,True,0.5960326790809631,0.10396732091903682,True,True,True,True,False
p02412,Description_Simple,0.7,0.7,0.7,0.7,True,0.549265444278717,0.15073455572128291,True,True,True,True,False
p02413,Description_Simple,0.0,0.0,0.0,0.0,False,0.4752289950847626,0.4752289950847626,True,False,False,False,True
p02407,Description_Simple,1.0,1.0,1.0,1.0,True,0.650097131729126,0.349902868270874,True,True,True,True,False
p02416,Description_Simple,0.2,0.2,0.2,0.2,False,0.4734710156917572,0.2734710156917572,True,False,False,False,True
