Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03059,Description_Simple,0.9,0.9,0.9,0.9,True,0.30473142862319946,0.5952685713768006,False,True,False,False,False
p02910,Description_Simple,0.6,0.6,0.6,0.6,True,0.46162688732147217,0.1383731126785278,False,True,False,False,False
p03456,Description_Simple,0.9,0.9,0.9,0.9,True,0.6484725475311279,0.2515274524688721,True,True,True,True,False
p02570,Description_Simple,0.9,0.9,0.9,0.9,True,0.5354070067405701,0.36459299325942995,True,True,True,True,False
p02729,Description_Simple,0.6,0.6,0.6,0.6,True,0.4385242760181427,0.16147572398185728,False,True,False,False,False
p02773,Description_Simple,0.5,0.5,0.5,0.5,True,0.4926178455352783,0.00738215446472168,False,True,False,False,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.4391116499900818,0.23911164999008178,True,False,False,False,True
p02917,Description_Simple,0.6,0.8,0.7,0.6499999999999999,True,0.5645182132720947,0.08548178672790518,True,True,True,True,False
p03493,Description_Simple,0.6,0.6,0.6,0.6,True,0.5395912528038025,0.06040874719619749,True,True,True,True,False
p03494,Description_Simple,0.6,0.6,0.6,0.6,True,0.5201490521430969,0.07985094785690305,True,True,True,True,False
p03469,Description_Simple,0.6,0.6,0.6,0.6,True,0.595142662525177,0.004857337474822976,True,True,True,True,False
p02988,Description_Simple,0.6,0.6,0.6,0.6,True,0.40782442688941956,0.19217557311058042,False,True,False,False,False
p02577,Description_Simple,0.9,0.9,0.9,0.9,True,0.697236955165863,0.20276304483413699,True,True,True,True,False
p03035,Description_Simple,0.2,0.2,0.2,0.2,False,0.2806187570095062,0.08061875700950621,True,False,False,False,True
p02921,Description_Simple,0.6,0.6,0.6,0.6,True,0.5630190372467041,0.036980962753295876,True,True,True,True,False
p02381,Description_Simple,0.8,0.8,0.8,0.8,True,0.6224040985107422,0.17759590148925786,True,True,True,True,False
p03854,Description_Simple,0.6,0.6,0.6,0.6,True,0.47596871852874756,0.12403128147125242,False,True,False,False,False
p02911,Description_Simple,0.2,0.2,0.2,0.2,False,0.4748256206512451,0.2748256206512451,True,False,False,False,True
p02718,Description_Simple,0.9,0.9,0.9,0.9,True,0.5616472959518433,0.33835270404815676,True,True,True,True,False
p03457,Description_Simple,0.9,0.9,0.9,0.9,True,0.5978171825408936,0.30218281745910647,True,True,True,True,False
p02576,Description_Simple,0.6,0.6,0.6,0.6,True,0.45126771926879883,0.14873228073120115,False,True,False,False,False
p03434,Description_Simple,0.9,0.9,0.9,0.9,True,0.6378160715103149,0.2621839284896851,True,True,True,True,False
p02916,Description_Simple,0.6,0.6,0.6,0.6,True,0.386970579624176,0.21302942037582395,False,True,False,False,False
