Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.46410462260246277,0.5358953773975372,False,True,False,False,False
p02921,Description_Simple,0.4,0.4,0.4,0.4,False,0.6464166641235352,0.24641666412353513,False,False,True,False,False
p02773,Description_Simple,0.4,0.4,0.4,0.4,False,0.6096373796463013,0.20963737964630125,False,False,True,False,False
p03493,Description_Simple,0.5,0.5,0.5,0.5,True,0.6294553279876709,0.1294553279876709,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.8389463424682617,0.16105365753173828,True,True,True,True,False
p03035,Description_Simple,0.4,0.4,0.4,0.4,False,0.621519923210144,0.22151992321014402,False,False,True,False,False
p02910,Description_Simple,0.0,0.0,0.0,0.0,False,0.5767464637756348,0.5767464637756348,False,False,True,False,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.5585967302322388,0.44140326976776123,True,True,True,True,False
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.5809838175773621,0.41901618242263794,True,True,True,True,False
p02917,Description_Simple,0.0,0.0,0.0,0.0,False,0.5827584266662598,0.5827584266662598,False,False,True,False,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.48709478974342346,0.48709478974342346,True,False,False,False,True
p03469,Description_Simple,0.2,0.2,0.2,0.2,False,0.5694848895072937,0.3694848895072937,False,False,True,False,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.3984571099281311,0.6015428900718689,False,True,False,False,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.5084341764450073,0.4915658235549927,True,True,True,True,False
p02381,Description_Simple,0.9,0.9,0.9,0.9,True,0.6678394079208374,0.23216059207916262,True,True,True,True,False
p02711,Description_Simple,0.1,0.1,0.1,0.1,False,0.6111761331558228,0.5111761331558228,False,False,True,False,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.26539111137390137,0.7346088886260986,False,True,False,False,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.4909955561161041,0.2909955561161041,True,False,False,False,True
p02718,Description_Simple,0.6,0.6,0.6,0.6,True,0.4735584259033203,0.12644157409667967,False,True,False,False,False
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.7031261324882507,0.09687386751174931,True,True,True,True,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.47485941648483276,0.5251405835151672,False,True,False,False,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.7300774455070496,0.26992255449295044,True,True,True,True,False
p02916,Description_Simple,0.4,0.4,0.4,0.4,False,0.5517811179161072,0.15178111791610716,False,False,True,False,False
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.38356509804725647,0.6164349019527435,False,True,False,False,False
p03239,Description_Simple,0.8,0.8,0.8,0.8,True,0.2966451644897461,0.503354835510254,False,True,False,False,False
p02911,Description_Simple,0.0,0.0,0.0,0.0,False,0.3044121265411377,0.3044121265411377,True,False,False,False,True
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.6868851184844971,0.31311488151550293,True,True,True,True,False
p02582,Description_Simple,0.9,0.9,0.9,0.9,True,0.792007327079773,0.10799267292022707,True,True,True,True,False
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.3634416162967682,0.6365583837032318,False,True,False,False,False
p04012,Description_Simple,0.4,0.4,0.4,0.4,False,0.7957116961479187,0.3957116961479187,False,False,True,False,False
