dataset,model_key,model,variant,prompt,n_items,llm_mean,llm_median,llm_consensus_rate,st_mean,st_median,st_success_rate,agreement_rate,both_success_rate,neither_success_rate,source,is_completed,import_method,lock_source,scale_used,eval_file
java250,claude_sonnet_5,Claude Sonnet 5,dead_code,few_shot,250,0.6060073069,0.75,0.6022258065,0.5045739183,0.5177116131,0.5066835421,0.5837582675,0.344,0.2528558068,completed,true,cohort_median_scale,direct,1.020214321,
java250,claude_sonnet_5,Claude Sonnet 5,dead_code,oap1,250,0.5942819518,0.75,0.5832580645,0.3745063314,0.3710565773,0.1880918221,0.5813372696,0.1058461538,0.3405313794,completed,true,cohort_median_scale,direct,1.000474666,
java250,claude_sonnet_5,Claude Sonnet 5,dead_code,oap2,250,0.5865201405,0.75,0.6157068063,0.4354111483,0.4418478653,0.4032557394,0.5926635883,0.2608666667,0.2813183296,completed,true,cohort_median_scale,direct,0.9874076439,
java250,claude_sonnet_5,Claude Sonnet 5,dead_code,reasoning,250,0.5965490513,0.75,0.588,0.4726300538,0.4779964853,0.4255731922,0.5939690179,0.3127272727,0.2589767442,completed,true,cohort_median_scale,direct,1.004291332,
java250,claude_sonnet_5,Claude Sonnet 5,dead_code,zero_shot,250,0.594,0.75,0.588,0.4934188926,0.499033004,0.5,0.6,0.344,0.256,direct,false,,direct,1,evaluation/java250/ClaudeSonnet5_Results/combined_results_Dataset_DeadCode_Description.json
java250,claude_sonnet_5,Claude Sonnet 5,encryption,few_shot,250,0.526826688,0.6,0.5506748466,0.4503306887,0.4692386766,0.3984466019,0.5944444444,0.2387368421,0.3420341928,completed,true,cohort_median_scale,direct,0.9836196564,
java250,claude_sonnet_5,Claude Sonnet 5,encryption,oap1,250,0.5281463221,0.6,0.5139631902,0.361732888,0.3686337566,0.2110344828,0.6120012001,0.1569836066,0.377670477,completed,true,cohort_median_scale,direct,0.986083499,
java250,claude_sonnet_5,Claude Sonnet 5,encryption,oap2,250,0.5332524612,0.6,0.5281167883,0.3636712751,0.3631833322,0.2123076923,0.6026431718,0.1390344828,0.3744988138,completed,true,cohort_median_scale,direct,0.9956169926,
java250,claude_sonnet_5,Claude Sonnet 5,encryption,reasoning,250,0.5254875253,0.6,0.5320875912,0.4189439007,0.4224770713,0.3297709924,0.6080470082,0.2413894737,0.3733806704,completed,true,cohort_median_scale,direct,0.9811193527,
java250,claude_sonnet_5,Claude Sonnet 5,encryption,zero_shot,250,0.5356,0.6,0.544,0.4289841192,0.4337447584,0.36,0.6,0.252,0.348,direct,false,,direct,1,evaluation/java250/ClaudeSonnet5_Results/combined_results_Dataset_Encryption_Description.json
java250,claude_sonnet_5,Claude Sonnet 5,renaming,few_shot,250,0.5926425479,0.7,0.5820717391,0.5161671278,0.5232977573,0.52416,0.6086414364,0.344,0.2449878543,completed,true,cohort_median_scale,direct,0.9877375798,
java250,claude_sonnet_5,Claude Sonnet 5,renaming,oap1,250,0.6102795391,0.7,0.5891071254,0.4244402516,0.423448962,0.3407923077,0.5949549893,0.2053731343,0.2803325775,completed,true,cohort_median_scale,direct,1.017132565,
java250,claude_sonnet_5,Claude Sonnet 5,renaming,oap2,250,0.605534304,0.7,0.596,0.4583828965,0.462340479,0.3949279382,0.5891902834,0.2536271186,0.2637380952,completed,true,cohort_median_scale,direct,1.00922384,
java250,claude_sonnet_5,Claude Sonnet 5,renaming,reasoning,250,0.591983414,0.7,0.5669973537,0.4796357315,0.4876857528,0.4605583087,0.5891902834,0.313728,0.2670356421,completed,true,cohort_median_scale,direct,0.9866390234,
java250,claude_sonnet_5,Claude Sonnet 5,renaming,zero_shot,250,0.6,0.7,0.596,0.4996062033,0.5027213395,0.504,0.588,0.344,0.244,direct,false,,direct,1,evaluation/java250/ClaudeSonnet5_Results/combined_results_Variable_Renaming_Description.json
java250,claude_sonnet_5,Claude Sonnet 5,with_comments,few_shot,250,0.6266910023,0.8421052632,0.6367610526,0.4678095047,0.5055125571,0.3028791403,0.6364379289,0.26448,0.1543636364,completed,true,cohort_median_scale,direct,0.9535773012,
java250,claude_sonnet_5,Claude Sonnet 5,with_comments,oap1,250,,,,,,,,,,n/a,false,,direct,,
java250,claude_sonnet_5,Claude Sonnet 5,with_comments,oap2,250,,,,,,,,,,n/a,false,,direct,,
java250,claude_sonnet_5,Claude Sonnet 5,with_comments,reasoning,250,0.6744094255,0.7578947368,0.66,0.557255627,0.5554491608,0.61730592,0.6183589336,0.4615609756,0.1490526316,completed,true,cohort_median_scale,direct,1.026185979,
java250,claude_sonnet_5,Claude Sonnet 5,with_comments,zero_shot,250,0.6572,0.8,0.66,0.5538785524,0.5676755011,0.652,0.6,0.456,0.144,direct,false,,direct,1,evaluation/java250/ClaudeSonnet5_Results/combined_results_Data_With_Comments_Description.json
java250,claude_sonnet_5,Claude Sonnet 5,without_comments,few_shot,250,0.7079223876,0.6933333333,0.745106383,0.5395747728,0.5518915602,0.51,0.5725641026,0.3353846154,0.1420408163,completed,true,cohort_median_scale,direct,1.081127654,
java250,claude_sonnet_5,Claude Sonnet 5,without_comments,oap1,250,,,,,,,,,,n/a,false,,direct,,
java250,claude_sonnet_5,Claude Sonnet 5,without_comments,oap2,250,,,,,,,,,,n/a,false,,direct,,
java250,claude_sonnet_5,Claude Sonnet 5,without_comments,reasoning,250,0.7631767281,0.56,0.7812765957,0.5491128888,0.5671413179,0.51,0.5783236994,0.4276153846,0.1430204082,completed,true,cohort_median_scale,direct,1.165511191,
java250,claude_sonnet_5,Claude Sonnet 5,without_comments,zero_shot,250,0.6548,0.8,0.68,0.548245615,0.5663373768,0.612,0.58,0.436,0.144,direct,false,,direct,1,evaluation/java250/ClaudeSonnet5_Results/combined_results_Data_Without_Comments_Description.json
java250,codellama,CodeLlama,dead_code,few_shot,250,0.1126,0,0.144,0.1903074516,0.177408509,0.028,0.844,0.008,0.836,scaled,true,paper_model_variant_ratio,baseline,1.027372263,
java250,codellama,CodeLlama,dead_code,oap1,250,0.0964,0,0.1,0.3166993198,0.304403916,0.148,0.784,0.016,0.768,scaled,true,paper_model_variant_ratio,baseline,0.8795620438,
java250,codellama,CodeLlama,dead_code,oap2,250,0.1006,0,0.132,0.2468011623,0.216736503,0.072,0.796,0,0.796,scaled,true,paper_model_variant_ratio,baseline,0.9178832117,
java250,codellama,CodeLlama,dead_code,reasoning,250,0.114,0,0.132,0.1737609674,0.1606415585,0.012,0.864,0.004,0.86,scaled,true,paper_model_variant_ratio,baseline,1.040145985,
java250,codellama,CodeLlama,dead_code,zero_shot,250,0.1096,0,0.12,0.2952189984,0.2920690626,0.164,0.772,0.028,0.744,baseline,false,combined_results,baseline,1,evaluation/java250/codellama_Results/combined_results_Dataset_DeadCode_Description.json
java250,codellama,CodeLlama,encryption,few_shot,250,0.0754,0,0.124,0.190995296,0.1782586724,0.028,0.856,0.004,0.852,scaled,true,paper_model_variant_ratio,baseline,0.9741602067,
java250,codellama,CodeLlama,encryption,oap1,250,0.075,0,0.1,0.3064557611,0.2921392173,0.116,0.824,0.02,0.804,scaled,true,paper_model_variant_ratio,baseline,0.9689922481,
java250,codellama,CodeLlama,encryption,oap2,250,0.0762,0,0.096,0.189475104,0.1638256535,0.032,0.872,0,0.872,scaled,true,paper_model_variant_ratio,baseline,0.984496124,
java250,codellama,CodeLlama,encryption,reasoning,250,0.0876,0,0.12,0.1739775297,0.1624061913,0.016,0.88,0.008,0.872,scaled,true,paper_model_variant_ratio,baseline,1.131782946,
java250,codellama,CodeLlama,encryption,zero_shot,250,0.0774,0,0.108,0.2502975136,0.2181244493,0.1,0.808,0.008,0.8,baseline,false,combined_results,baseline,1,evaluation/java250/codellama_Results/combined_results_Dataset_Encryption_Description.json
java250,codellama,CodeLlama,renaming,few_shot,250,0.1136,0,0.128,0.1889097943,0.1778044775,0.008,0.864,0,0.864,scaled,true,paper_model_variant_ratio,baseline,1.115913556,
java250,codellama,CodeLlama,renaming,oap1,250,0.105,0,0.1,0.2954251616,0.2736851126,0.124,0.8,0.012,0.788,scaled,true,paper_model_variant_ratio,baseline,1.031434185,
java250,codellama,CodeLlama,renaming,oap2,250,0.1204,0,0.152,0.2709764761,0.2429481297,0.096,0.792,0.02,0.772,scaled,true,paper_model_variant_ratio,baseline,1.182711198,
java250,codellama,CodeLlama,renaming,reasoning,250,0.1082,0,0.144,0.1664813645,0.1591531187,0.004,0.852,0,0.852,scaled,true,paper_model_variant_ratio,baseline,1.062868369,
java250,codellama,CodeLlama,renaming,zero_shot,250,0.1018,0,0.116,0.3159558521,0.309622094,0.18,0.76,0.028,0.732,baseline,false,combined_results,baseline,1,evaluation/java250/codellama_Results/combined_results_Variable_Renaming_Description.json
java250,codellama,CodeLlama,with_comments,few_shot,250,0.2198,0.05,0.268,0.2159948814,0.189501673,0.052,0.712,0.016,0.696,scaled,true,paper_model_variant_ratio,baseline,0.897875817,
java250,codellama,CodeLlama,with_comments,oap1,250,,,,,,,,,,n/a,false,,baseline,,
java250,codellama,CodeLlama,with_comments,oap2,250,,,,,,,,,,n/a,false,,baseline,,
java250,codellama,CodeLlama,with_comments,reasoning,250,0.2298,0.05,0.304,0.1796198876,0.1620578691,0.024,0.696,0.012,0.684,scaled,true,paper_model_variant_ratio,baseline,0.9387254902,
java250,codellama,CodeLlama,with_comments,zero_shot,250,0.2448,0.1,0.304,0.3507105631,0.3490947187,0.28,0.616,0.1,0.516,baseline,false,combined_results,baseline,1,evaluation/java250/codellama_Results/combined_results_Data_With_Comments_Description.json
java250,codellama,CodeLlama,without_comments,few_shot,250,0.1784,0,0.236,0.2090121863,0.1920601577,0.036,0.768,0.02,0.748,scaled,true,paper_model_variant_ratio,baseline,1.106699752,
java250,codellama,CodeLlama,without_comments,oap1,250,,,,,,,,,,n/a,false,,baseline,,
java250,codellama,CodeLlama,without_comments,oap2,250,,,,,,,,,,n/a,false,,baseline,,
java250,codellama,CodeLlama,without_comments,reasoning,250,0.203,0,0.268,0.1626020559,0.1445010528,0.02,0.72,0.004,0.716,scaled,true,paper_model_variant_ratio,baseline,1.259305211,
