,DeepseekV3.1,GPT3.5,GPT4o,Gemini,LlamaVL,O4-mini,Qwen3VL,codellama,deepseek-r1,mistral,qwencoder32B,starchat,starcoder,Llama70B
DeepseekV3.1,94.8,97.6,98.8,99.6,94.8,98.8,95.47325102880659,95.19999999999999,99.2,96.8,100.0,95.19999999999999,94.8,97.2
GPT3.5,97.6,70.39999999999999,96.39999999999999,99.2,70.39999999999999,98.0,76.5432098765432,71.2,99.2,83.2,94.39999999999999,73.6,70.8,84.0
GPT4o,98.8,96.39999999999999,95.19999999999999,100.0,95.19999999999999,98.8,95.88477366255144,95.19999999999999,99.2,96.8,98.8,95.19999999999999,95.19999999999999,96.39999999999999
Gemini,99.6,99.2,100.0,99.2,99.2,100.0,99.1769547325103,99.2,100.0,99.6,99.6,99.2,99.2,99.6
LlamaVL,94.8,70.39999999999999,95.19999999999999,99.2,0.8,96.39999999999999,26.74897119341564,4.3999999999999995,98.8,60.0,91.60000000000001,24.4,2.4,70.39999999999999
O4-mini,98.8,98.0,98.8,100.0,96.39999999999999,96.39999999999999,97.53086419753086,96.39999999999999,99.6,98.4,99.6,96.8,96.39999999999999,98.4
Qwen3VL,95.47325102880659,76.5432098765432,95.88477366255144,99.1769547325103,26.74897119341564,97.53086419753086,26.337448559670783,27.983539094650205,98.76543209876543,67.90123456790124,93.4156378600823,41.56378600823045,27.572016460905353,74.48559670781893
codellama,95.19999999999999,71.2,95.19999999999999,99.2,4.3999999999999995,96.39999999999999,27.983539094650205,3.5999999999999996,98.8,60.8,91.60000000000001,26.0,4.8,71.2
deepseek-r1,99.2,99.2,99.2,100.0,98.8,99.6,98.76543209876543,98.8,98.8,100.0,99.6,98.8,98.8,99.6
mistral,96.8,83.2,96.8,99.6,60.0,98.4,67.90123456790124,60.8,100.0,59.599999999999994,93.2,67.60000000000001,60.8,82.0
qwencoder32B,100.0,94.39999999999999,98.8,99.6,91.60000000000001,99.6,93.4156378600823,91.60000000000001,99.6,93.2,91.60000000000001,92.4,92.0,94.8
starchat,95.19999999999999,73.6,95.19999999999999,99.2,24.4,96.8,41.56378600823045,26.0,98.8,67.60000000000001,92.4,23.599999999999998,25.2,75.6
starcoder,94.8,70.8,95.19999999999999,99.2,2.4,96.39999999999999,27.572016460905353,4.8,98.8,60.8,92.0,25.2,1.6,70.8
Llama70B,97.2,84.0,96.39999999999999,99.6,70.39999999999999,98.4,74.48559670781893,71.2,99.6,82.0,94.8,75.6,70.8,70.39999999999999
