Sub_Directory,Description_Type,LLM_GPT4.5_Score,LLM_Claude_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p02982,Description_Detailed,0.3,0.1,0.2,False,0.4337957501411438,0.2337957501411438,True,False,False,False,True
p02982,Description_Fewshot,0.1,0.1,0.1,False,0.5685542821884155,0.46855428218841555,False,False,True,False,False
p02982,Description_Reason,0.1,0.4,0.25,False,0.5881525874137878,0.33815258741378784,False,False,True,False,False
p02982,Description_Simple,0.9,0.3,0.6,True,0.6159989833831787,0.015998983383178733,True,True,True,True,False
p02982,Description_Vague,0.9,0.1,0.5,True,0.44846311211586,0.051536887884140015,False,True,False,False,False
p02612,Description_Detailed,0.1,0.9,0.5,True,0.18811409175395966,0.31188590824604034,False,True,False,False,False
p02612,Description_Fewshot,0.0,0.9,0.45,False,0.3731834590435028,0.0768165409564972,True,False,False,False,True
p02612,Description_Reason,0.4,0.0,0.2,False,0.24200809001922607,0.04200809001922606,True,False,False,False,True
p02612,Description_Simple,0.9,0.0,0.45,False,0.2911444902420044,0.15885550975799562,True,False,False,False,True
p02612,Description_Vague,0.0,0.9,0.45,False,0.13770584762096405,0.31229415237903596,True,False,False,False,True
p03086,Description_Detailed,0.9,0.4,0.65,True,0.44666433334350586,0.20333566665649416,False,True,False,False,False
p03086,Description_Fewshot,0.4,0.0,0.2,False,0.6365156173706055,0.43651561737060546,False,False,True,False,False
p03086,Description_Reason,0.4,0.9,0.65,True,0.5918173789978027,0.05818262100219729,True,True,True,True,False
p03086,Description_Simple,0.1,0.4,0.25,False,0.6601996421813965,0.4101996421813965,False,False,True,False,False
p03086,Description_Vague,0.4,0.4,0.4,False,0.587672233581543,0.18767223358154295,False,False,True,False,False
p03126,Description_Detailed,0.1,0.1,0.1,False,0.11861519515514374,0.018615195155143732,True,False,False,False,True
p03126,Description_Fewshot,0.1,0.1,0.1,False,0.3326963186264038,0.2326963186264038,True,False,False,False,True
p03126,Description_Reason,0.1,0.1,0.1,False,0.1599598079919815,0.0599598079919815,True,False,False,False,True
p03126,Description_Simple,0.1,0.1,0.1,False,0.3202790319919586,0.2202790319919586,True,False,False,False,True
p03126,Description_Vague,0.0,0.0,0.0,False,0.0915205255150795,0.0915205255150795,True,False,False,False,True
p02681,Description_Detailed,0.1,0.0,0.05,False,0.3914364278316498,0.3414364278316498,True,False,False,False,True
p02681,Description_Fewshot,0.1,0.1,0.1,False,0.44010502099990845,0.34010502099990847,True,False,False,False,True
p02681,Description_Reason,0.0,0.1,0.05,False,0.42482849955558777,0.3748284995555878,True,False,False,False,True
p02681,Description_Simple,0.0,0.0,0.0,False,0.48595133423805237,0.48595133423805237,True,False,False,False,True
p02681,Description_Vague,0.4,0.1,0.25,False,0.2953338027000427,0.045333802700042725,True,False,False,False,True
p03243,Description_Detailed,0.3,0.3,0.3,False,0.2549276649951935,0.04507233500480651,True,False,False,False,True
p03243,Description_Fewshot,0.0,0.4,0.2,False,0.49785375595092773,0.2978537559509277,True,False,False,False,True
p03243,Description_Reason,0.1,0.0,0.05,False,0.3666236400604248,0.3166236400604248,True,False,False,False,True
p03243,Description_Simple,0.1,0.9,0.5,True,0.38832738995552063,0.11167261004447937,False,True,False,False,False
p03243,Description_Vague,0.9,0.1,0.5,True,0.33278197050094604,0.16721802949905396,False,True,False,False,False
p02700,Description_Detailed,0.0,0.8,0.4,False,0.15639539062976837,0.24360460937023165,True,False,False,False,True
p02700,Description_Fewshot,0.0,0.0,0.0,False,0.2462642639875412,0.2462642639875412,True,False,False,False,True
p02700,Description_Reason,0.1,0.0,0.05,False,0.17331725358963013,0.12331725358963012,True,False,False,False,True
p02700,Description_Simple,0.0,0.0,0.0,False,0.2530393898487091,0.2530393898487091,True,False,False,False,True
p02700,Description_Vague,0.7,0.0,0.35,False,0.18407660722732544,0.16592339277267454,True,False,False,False,True
p02910,Description_Detailed,0.0,0.0,0.0,False,0.2416655719280243,0.2416655719280243,True,False,False,False,True
p02910,Description_Fewshot,0.0,0.0,0.0,False,0.33357658982276917,0.33357658982276917,True,False,False,False,True
p02910,Description_Reason,0.0,0.1,0.05,False,0.3007431626319885,0.25074316263198854,True,False,False,False,True
p02910,Description_Simple,0.0,0.0,0.0,False,0.31582850217819214,0.31582850217819214,True,False,False,False,True
p02910,Description_Vague,0.0,0.1,0.05,False,0.44110560417175293,0.39110560417175294,True,False,False,False,True
p03261,Description_Detailed,0.1,0.0,0.05,False,0.29633963108062744,0.24633963108062745,True,False,False,False,True
p03261,Description_Fewshot,0.1,0.1,0.1,False,0.4668988585472107,0.3668988585472107,True,False,False,False,True
p03261,Description_Reason,0.6,0.4,0.5,True,0.33111557364463806,0.16888442635536194,False,True,False,False,False
p03261,Description_Simple,0.4,0.4,0.4,False,0.47400379180908203,0.07400379180908201,True,False,False,False,True
p03261,Description_Vague,0.4,0.4,0.4,False,0.2898777425289154,0.11012225747108462,True,False,False,False,True
p04044,Description_Detailed,0.1,0.0,0.05,False,0.33578377962112427,0.2857837796211243,True,False,False,False,True
p04044,Description_Fewshot,1.0,1.0,1.0,True,0.3310254216194153,0.6689745783805847,False,True,False,False,False
p04044,Description_Reason,0.9,0.1,0.5,True,0.27299338579177856,0.22700661420822144,False,True,False,False,False
p04044,Description_Simple,0.4,0.0,0.2,False,0.23690387606620789,0.036903876066207875,True,False,False,False,True
p04044,Description_Vague,0.0,0.1,0.05,False,0.25362253189086914,0.20362253189086915,True,False,False,False,True
p03160,Description_Detailed,0.0,0.9,0.45,False,0.4811258316040039,0.031125831604003895,True,False,False,False,True
p03160,Description_Fewshot,1.0,1.0,1.0,True,0.5899071097373962,0.41009289026260376,True,True,True,True,False
p03160,Description_Reason,1.0,0.4,0.7,True,0.5681486129760742,0.13185138702392574,True,True,True,True,False
p03160,Description_Simple,0.9,0.9,0.9,True,0.5563012361526489,0.3436987638473511,True,True,True,True,False
p03160,Description_Vague,0.0,1.0,0.5,True,0.5520689487457275,0.05206894874572754,True,True,True,True,False
p02945,Description_Detailed,0.0,0.0,0.0,False,0.3541322946548462,0.3541322946548462,True,False,False,False,True
p02945,Description_Fewshot,0.0,0.0,0.0,False,0.44602304697036743,0.44602304697036743,True,False,False,False,True
p02945,Description_Reason,0.0,0.0,0.0,False,0.43787649273872375,0.43787649273872375,True,False,False,False,True
p02945,Description_Simple,0.0,0.0,0.0,False,0.4320774972438812,0.4320774972438812,True,False,False,False,True
p02945,Description_Vague,0.1,0.0,0.05,False,0.4022766053676605,0.35227660536766053,True,False,False,False,True
p02417,Description_Detailed,1.0,0.1,0.55,True,0.6554831862449646,0.10548318624496456,True,True,True,True,False
p02417,Description_Fewshot,0.1,0.0,0.05,False,0.6626870036125183,0.6126870036125183,False,False,True,False,False
p02417,Description_Reason,0.1,1.0,0.55,True,0.7946342825889587,0.2446342825889587,True,True,True,True,False
p02417,Description_Simple,0.7,0.7,0.7,True,0.7876874208450317,0.08768742084503178,True,True,True,True,False
