Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.64628666639328,0.25371333360672,True,True,True,True,False
p03494,Description_Simple,0.9,0.9,0.9,0.9,True,0.5778638124465942,0.3221361875534058,True,True,True,True,False
p02773,Description_Simple,0.6,0.6,0.6,0.6,True,0.7878607511520386,0.1878607511520386,True,True,True,True,False
p02921,Description_Simple,0.4,0.4,0.4,0.4,False,0.6596764922142029,0.25967649221420286,False,False,True,False,False
p03035,Description_Simple,0.4,0.4,0.4,0.4,False,0.7212945222854614,0.3212945222854614,False,False,True,False,False
p02910,Description_Simple,0.2,0.2,0.2,0.2,False,0.580201268196106,0.38020126819610595,False,False,True,False,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.6102050542831421,0.3897949457168579,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.8239452838897705,0.1760547161102295,True,True,True,True,False
p02917,Description_Simple,0.0,0.0,0.0,0.0,False,0.6276562213897705,0.6276562213897705,False,False,True,False,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.5918262600898743,0.5918262600898743,False,False,True,False,False
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.7531923055648804,0.24680769443511963,True,True,True,True,False
p03469,Description_Simple,0.2,0.2,0.2,0.2,False,0.6383481025695801,0.43834810256958007,False,False,True,False,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.6319868564605713,0.4319868564605713,False,False,True,False,False
p03059,Description_Simple,0.8,0.8,0.8,0.8,True,0.4128034710884094,0.3871965289115906,False,True,False,False,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.5334009528160095,0.4665990471839905,True,True,True,True,False
p02381,Description_Simple,0.8,0.8,0.8,0.8,True,0.6879296898841858,0.11207031011581425,True,True,True,True,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.49864956736564636,0.29864956736564635,True,False,False,False,True
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.411761075258255,0.588238924741745,False,True,False,False,False
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.7677071690559387,0.032292830944061324,True,True,True,True,False
p02718,Description_Simple,0.6,0.6,0.6,0.6,True,0.5466142296791077,0.05338577032089231,True,True,True,True,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.42071282863616943,0.5792871713638306,False,True,False,False,False
p02916,Description_Simple,0.4,0.4,0.4,0.4,False,0.40781617164611816,0.007816171646118142,True,False,False,False,True
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.5937150120735168,0.40628498792648315,True,True,True,True,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.7508991360664368,0.24910086393356323,True,True,True,True,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.5399264693260193,0.4600735306739807,True,True,True,True,False
p03239,Description_Simple,0.8,0.8,0.8,0.8,True,0.350332647562027,0.44966735243797307,False,True,False,False,False
