Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.701026439666748,0.29897356033325195,True,True,True,True,False
mbpp_0323,Description_Simple,0.0,0.0,0.0,0.0,False,0.6176161766052246,0.6176161766052246,False,False,True,False,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.4549986720085144,0.5450013279914856,False,True,False,False,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.641782820224762,0.35821717977523804,True,True,True,True,False
mbpp_0039,Description_Simple,1.0,1.0,1.0,1.0,True,0.5931903719902039,0.40680962800979614,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.44910115003585815,0.5508988499641418,False,True,False,False,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.7965399026870728,0.20346009731292725,True,True,True,True,False
mbpp_0776,Description_Simple,0.0,0.0,0.0,0.0,False,0.66948401927948,0.66948401927948,False,False,True,False,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.5679624080657959,0.4320375919342041,True,True,True,True,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.49339526891708374,0.5066047310829163,False,True,False,False,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.4284263253211975,0.5715736746788025,False,True,False,False,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6406498551368713,0.35935014486312866,True,True,True,True,False
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7560277581214905,0.24397224187850952,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.5458090901374817,0.4541909098625183,True,True,True,True,False
mbpp_0838,Description_Simple,0.5,0.5,0.5,0.5,True,0.8414900302886963,0.3414900302886963,True,True,True,True,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.4705396592617035,0.07053965926170347,True,False,False,False,True
mbpp_0315,Description_Simple,0.8,0.8,0.8,0.8,True,0.7540267109870911,0.04597328901290898,True,True,True,True,False
mbpp_0387,Description_Simple,0.2,0.2,0.2,0.2,False,0.7415231466293335,0.5415231466293335,False,False,True,False,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6855702996253967,0.31442970037460327,True,True,True,True,False
mbpp_0628,Description_Simple,0.9,0.9,0.9,0.9,True,0.610434889793396,0.289565110206604,True,True,True,True,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.5955905914306641,0.40440940856933594,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6482226848602295,0.3517773151397705,True,True,True,True,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.43709951639175415,0.5629004836082458,False,True,False,False,False
mbpp_0834,Description_Simple,1.0,1.0,1.0,1.0,True,0.70026695728302,0.29973304271698,True,True,True,True,False
mbpp_0665,Description_Simple,0.0,0.0,0.0,0.0,False,0.5497773885726929,0.5497773885726929,False,False,True,False,False
mbpp_0898,Description_Simple,0.2,0.2,0.2,0.2,False,0.41022762656211853,0.21022762656211852,True,False,False,False,True
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6427609324455261,0.3572390675544739,True,True,True,True,False
mbpp_0501,Description_Simple,0.4,0.4,0.4,0.4,False,0.8221520185470581,0.4221520185470581,False,False,True,False,False
mbpp_0060,Description_Simple,0.2,0.2,0.2,0.2,False,0.7345355153083801,0.5345355153083802,False,False,True,False,False
