Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03493,Description_Simple,0.9,0.9,0.9,0.9,True,0.5964295268058777,0.30357047319412234,True,True,True,True,False
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.4726383686065674,0.5273616313934326,False,True,False,False,False
p02773,Description_Simple,0.8,0.8,0.8,0.8,True,0.6681590676307678,0.13184093236923222,True,True,True,True,False
p02921,Description_Simple,0.2,0.2,0.2,0.2,False,0.582163393497467,0.38216339349746703,False,False,True,False,False
p03035,Description_Simple,0.4,0.4,0.4,0.4,False,0.5885862708091736,0.18858627080917356,False,False,True,False,False
p02910,Description_Simple,1.0,1.0,1.0,1.0,True,0.505191445350647,0.494808554649353,True,True,True,True,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.573405385017395,0.426594614982605,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.7389194965362549,0.2610805034637451,True,True,True,True,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.4732152223587036,0.4732152223587036,True,False,False,False,True
p03456,Description_Simple,1.0,1.0,1.0,1.0,True,0.7645245790481567,0.23547542095184326,True,True,True,True,False
p03469,Description_Simple,0.2,0.2,0.2,0.2,False,0.6764211654663086,0.4764211654663086,False,False,True,False,False
p02917,Description_Simple,0.0,0.0,0.0,0.0,False,0.6053760647773743,0.6053760647773743,False,False,True,False,False
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.3619433641433716,0.6380566358566284,False,True,False,False,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.615978479385376,0.41597847938537597,False,False,True,False,False
p02381,Description_Simple,0.6,0.6,0.6,0.6,True,0.6538307666778564,0.05383076667785647,True,True,True,True,False
p02988,Description_Simple,0.9,0.9,0.9,0.9,True,0.4576188921928406,0.44238110780715945,False,True,False,False,False
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.7191656827926636,0.08083431720733647,True,True,True,True,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.27659836411476135,0.7234016358852386,False,True,False,False,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.4428843557834625,0.2428843557834625,True,False,False,False,True
p02718,Description_Simple,0.6,0.6,0.6,0.6,True,0.6190212965011597,0.01902129650115969,True,True,True,True,False
p03434,Description_Simple,1.0,1.0,1.0,1.0,True,0.6975676417350769,0.3024323582649231,True,True,True,True,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.725019633769989,0.274980366230011,True,True,True,True,False
p02916,Description_Simple,0.2,0.2,0.2,0.2,False,0.5668400526046753,0.3668400526046753,False,False,True,False,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.5028401017189026,0.4971598982810974,True,True,True,True,False
p02582,Description_Simple,0.9,0.9,0.9,0.9,True,0.8307350277900696,0.06926497220993044,True,True,True,True,False
p03239,Description_Simple,0.7,0.7,0.7,0.7,True,0.26365405321121216,0.4363459467887878,False,True,False,False,False
p02911,Description_Simple,1.0,1.0,1.0,1.0,True,0.4888189136981964,0.5111810863018036,False,True,False,False,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.5755211114883423,0.4244788885116577,True,True,True,True,False
p02547,Description_Simple,0.4,0.4,0.4,0.4,False,0.651651918888092,0.251651918888092,False,False,True,False,False
p04012,Description_Simple,0.9,0.9,0.9,0.9,True,0.7315857410430908,0.1684142589569092,True,True,True,True,False
p02772,Description_Simple,0.7,0.7,0.7,0.7,True,0.7250486016273499,0.025048601627349898,True,True,True,True,False
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.4496896266937256,0.5503103733062744,False,True,False,False,False
p03435,Description_Simple,1.0,1.0,1.0,1.0,True,0.47654688358306885,0.5234531164169312,False,True,False,False,False
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.7135697603225708,0.2864302396774292,True,True,True,True,False
p02719,Description_Simple,1.0,1.0,1.0,1.0,True,0.5115529894828796,0.48844701051712036,True,True,True,True,False
p02578,Description_Simple,0.7,0.7,0.7,0.7,True,0.5930100679397583,0.10698993206024165,True,True,True,True,False
p02945,Description_Simple,1.0,1.0,1.0,1.0,True,0.7022086977958679,0.2977913022041321,True,True,True,True,False
p02989,Description_Simple,0.0,0.0,0.0,0.0,False,0.3690730631351471,0.3690730631351471,True,False,False,False,True
p03060,Description_Simple,1.0,1.0,1.0,1.0,True,0.6078281998634338,0.39217180013656616,True,True,True,True,False
p02987,Description_Simple,0.8,0.8,0.8,0.8,True,0.7434890270233154,0.056510972976684615,True,True,True,True,False
p02801,Description_Simple,0.6,0.6,0.6,0.6,True,0.6681762933731079,0.06817629337310793,True,True,True,True,False
p03316,Description_Simple,0.8,0.8,0.8,0.8,True,0.4995667338371277,0.30043326616287236,False,True,False,False,False
p02830,Description_Simple,0.9,0.9,0.9,0.9,True,0.5954266786575317,0.3045733213424683,True,True,True,True,False
p02717,Description_Simple,0.0,0.0,0.0,0.0,False,0.4919893741607666,0.4919893741607666,True,False,False,False,True
p03775,Description_Simple,1.0,1.0,1.0,1.0,True,0.6111363768577576,0.38886362314224243,True,True,True,True,False
p02899,Description_Simple,0.0,0.0,0.0,0.0,False,0.3518409729003906,0.3518409729003906,True,False,False,False,True
p02263,Description_Simple,0.8,0.8,0.8,0.8,True,0.8677884936332703,0.06778849363327022,True,True,True,True,False
p02264,Description_Simple,0.8,0.8,0.8,0.8,True,0.6641073226928711,0.13589267730712895,True,True,True,True,False
p02404,Description_Simple,0.4,0.4,0.4,0.4,False,0.41302216053009033,0.01302216053009031,True,False,False,False,True
