Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p03494,Description_Simple,1.0,1.0,1.0,1.0,True,0.4830830991268158,0.5169169008731842,False,True,False,False,False
p02773,Description_Simple,0.6,0.6,0.6,0.6,True,0.6866793632507324,0.08667936325073244,True,True,True,True,False
p02921,Description_Simple,0.5,0.5,0.5,0.5,True,0.5812164545059204,0.08121645450592041,True,True,True,True,False
p03493,Description_Simple,0.8,0.8,0.8,0.8,True,0.5608404278755188,0.23915957212448125,True,True,True,True,False
p03035,Description_Simple,0.6,0.6,0.6,0.6,True,0.5664809346199036,0.03351906538009641,True,True,True,True,False
p02910,Description_Simple,0.9,0.9,0.9,0.9,True,0.5661938190460205,0.3338061809539795,True,True,True,True,False
p02577,Description_Simple,1.0,1.0,1.0,1.0,True,0.8240862488746643,0.1759137511253357,True,True,True,True,False
p02570,Description_Simple,1.0,1.0,1.0,1.0,True,0.6182155013084412,0.38178449869155884,True,True,True,True,False
p03469,Description_Simple,0.4,0.4,0.4,0.4,False,0.715720534324646,0.315720534324646,False,False,True,False,False
p03456,Description_Simple,0.9,0.9,0.9,0.9,True,0.7037699222564697,0.1962300777435303,True,True,True,True,False
p02917,Description_Simple,0.0,0.0,0.0,0.0,False,0.536312997341156,0.536312997341156,False,False,True,False,False
p02729,Description_Simple,0.0,0.0,0.0,0.0,False,0.27944281697273254,0.27944281697273254,True,False,False,False,True
p03059,Description_Simple,1.0,1.0,1.0,1.0,True,0.374959260225296,0.625040739774704,False,True,False,False,False
p02711,Description_Simple,0.2,0.2,0.2,0.2,False,0.5403594374656677,0.3403594374656677,False,False,True,False,False
p02988,Description_Simple,1.0,1.0,1.0,1.0,True,0.5079132318496704,0.4920867681503296,True,True,True,True,False
p02381,Description_Simple,0.5,0.5,0.5,0.5,True,0.6458559036254883,0.14585590362548828,True,True,True,True,False
p02718,Description_Simple,0.8,0.8,0.8,0.8,True,0.4915364682674408,0.30846353173255925,False,True,False,False,False
p02388,Description_Simple,0.9,0.9,0.9,0.9,True,0.7725816369056702,0.12741836309432986,True,True,True,True,False
p02981,Description_Simple,1.0,1.0,1.0,1.0,True,0.4610118865966797,0.5389881134033203,False,True,False,False,False
p03854,Description_Simple,0.2,0.2,0.2,0.2,False,0.4563862979412079,0.2563862979412079,True,False,False,False,True
p02916,Description_Simple,0.3,0.3,0.3,0.3,False,0.664661169052124,0.36466116905212403,False,False,True,False,False
p03434,Description_Simple,0.9,0.9,0.9,0.9,True,0.6745693683624268,0.22543063163757326,True,True,True,True,False
p03457,Description_Simple,1.0,1.0,1.0,1.0,True,0.6743179559707642,0.32568204402923584,True,True,True,True,False
p02571,Description_Simple,1.0,1.0,1.0,1.0,True,0.3897441327571869,0.6102558672428131,False,True,False,False,False
p02576,Description_Simple,1.0,1.0,1.0,1.0,True,0.6432214379310608,0.3567785620689392,True,True,True,True,False
p03239,Description_Simple,0.9,0.9,0.9,0.9,True,0.34167182445526123,0.5583281755447388,False,True,False,False,False
p02582,Description_Simple,1.0,1.0,1.0,1.0,True,0.6298394799232483,0.3701605200767517,True,True,True,True,False
p02911,Description_Simple,0.0,0.0,0.0,0.0,False,0.3364199101924896,0.3364199101924896,True,False,False,False,True
p02786,Description_Simple,1.0,1.0,1.0,1.0,True,0.5892024040222168,0.4107975959777832,True,True,True,True,False
p02772,Description_Simple,0.8,0.8,0.8,0.8,True,0.5338961482048035,0.2661038517951966,True,True,True,True,False
p04012,Description_Simple,0.8,0.8,0.8,0.8,True,0.6676410436630249,0.13235895633697514,True,True,True,True,False
p02547,Description_Simple,1.0,1.0,1.0,1.0,True,0.4729456305503845,0.5270543694496155,False,True,False,False,False
p03435,Description_Simple,0.0,0.0,0.0,0.0,False,0.6146457195281982,0.6146457195281982,False,False,True,False,False
p02719,Description_Simple,1.0,1.0,1.0,1.0,True,0.4704069495201111,0.5295930504798889,False,True,False,False,False
p02578,Description_Simple,0.1,0.1,0.1,0.1,False,0.5586220026016235,0.45862200260162356,False,False,True,False,False
