Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
mbpp_0323,Description_Simple,1.0,1.0,1.0,1.0,True,0.4591013789176941,0.5408986210823059,False,True,False,False,False
mbpp_0159,Description_Simple,1.0,1.0,1.0,1.0,True,0.6508320569992065,0.34916794300079346,True,True,True,True,False
mbpp_0189,Description_Simple,1.0,1.0,1.0,1.0,True,0.6515568494796753,0.3484431505203247,True,True,True,True,False
mbpp_0771,Description_Simple,1.0,1.0,1.0,1.0,True,0.4748276472091675,0.5251723527908325,False,True,False,False,False
mbpp_0039,Description_Simple,0.7,0.7,0.7,0.7,True,0.6644867062568665,0.0355132937431335,True,True,True,True,False
mbpp_0245,Description_Simple,1.0,1.0,1.0,1.0,True,0.6038634181022644,0.3961365818977356,True,True,True,True,False
mbpp_0522,Description_Simple,1.0,1.0,1.0,1.0,True,0.788986086845398,0.21101391315460205,True,True,True,True,False
mbpp_0776,Description_Simple,0.1,0.1,0.1,0.1,False,0.5414444804191589,0.44144448041915896,False,False,True,False,False
mbpp_0069,Description_Simple,1.0,1.0,1.0,1.0,True,0.46442389488220215,0.5355761051177979,False,True,False,False,False
mbpp_0123,Description_Simple,1.0,1.0,1.0,1.0,True,0.6246985197067261,0.3753014802932739,True,True,True,True,False
mbpp_0223,Description_Simple,1.0,1.0,1.0,1.0,True,0.6775879263877869,0.32241207361221313,True,True,True,True,False
mbpp_0515,Description_Simple,1.0,1.0,1.0,1.0,True,0.42657405138015747,0.5734259486198425,False,True,False,False,False
mbpp_0408,Description_Simple,0.4,0.4,0.4,0.4,False,0.49435585737228394,0.09435585737228391,True,False,False,False,True
mbpp_0747,Description_Simple,1.0,1.0,1.0,1.0,True,0.7746551036834717,0.22534489631652832,True,True,True,True,False
mbpp_0423,Description_Simple,1.0,1.0,1.0,1.0,True,0.6334625482559204,0.3665374517440796,True,True,True,True,False
mbpp_0838,Description_Simple,0.4,0.4,0.4,0.4,False,0.8282108306884766,0.42821083068847654,False,False,True,False,False
mbpp_0628,Description_Simple,0.7,0.7,0.7,0.7,True,0.5853393077850342,0.11466069221496578,True,True,True,True,False
mbpp_0940,Description_Simple,1.0,1.0,1.0,1.0,True,0.6705377101898193,0.32946228981018066,True,True,True,True,False
mbpp_0387,Description_Simple,1.0,1.0,1.0,1.0,True,0.7483938336372375,0.25160616636276245,True,True,True,True,False
mbpp_0315,Description_Simple,0.0,0.0,0.0,0.0,False,0.7308892011642456,0.7308892011642456,False,False,True,False,False
mbpp_0516,Description_Simple,1.0,1.0,1.0,1.0,True,0.6453222036361694,0.35467779636383057,True,True,True,True,False
mbpp_0152,Description_Simple,1.0,1.0,1.0,1.0,True,0.6454697847366333,0.3545302152633667,True,True,True,True,False
mbpp_0834,Description_Simple,0.4,0.4,0.4,0.4,False,0.6887268424034119,0.28872684240341184,False,False,True,False,False
mbpp_0901,Description_Simple,1.0,1.0,1.0,1.0,True,0.6190065741539001,0.38099342584609985,True,True,True,True,False
mbpp_0665,Description_Simple,0.2,0.2,0.2,0.2,False,0.43954434990882874,0.23954434990882872,True,False,False,False,True
mbpp_0501,Description_Simple,0.2,0.2,0.2,0.2,False,0.6590282917022705,0.4590282917022705,False,False,True,False,False
mbpp_0898,Description_Simple,0.2,0.2,0.2,0.2,False,0.44054079055786133,0.24054079055786132,True,False,False,False,True
mbpp_0938,Description_Simple,1.0,1.0,1.0,1.0,True,0.6956950426101685,0.30430495738983154,True,True,True,True,False
mbpp_0822,Description_Simple,0.4,0.4,0.4,0.4,False,0.5211989283561707,0.12119892835617063,False,False,True,False,False
mbpp_0060,Description_Simple,0.4,0.4,0.4,0.4,False,0.714687705039978,0.314687705039978,False,False,True,False,False
mbpp_0548,Description_Simple,1.0,1.0,1.0,1.0,True,0.6622855067253113,0.3377144932746887,True,True,True,True,False
mbpp_0149,Description_Simple,1.0,1.0,1.0,1.0,True,0.7014895677566528,0.29851043224334717,True,True,True,True,False
mbpp_0524,Description_Simple,1.0,1.0,1.0,1.0,True,0.7013787031173706,0.2986212968826294,True,True,True,True,False
mbpp_0468,Description_Simple,1.0,1.0,1.0,1.0,True,0.6957684755325317,0.30423152446746826,True,True,True,True,False
mbpp_0523,Description_Simple,0.6,0.6,0.6,0.6,True,0.44722530245780945,0.15277469754219053,False,True,False,False,False
mbpp_0550,Description_Simple,0.0,0.0,0.0,0.0,False,0.5340489149093628,0.5340489149093628,False,False,True,False,False
mbpp_0068,Description_Simple,1.0,1.0,1.0,1.0,True,0.7237297296524048,0.2762702703475952,True,True,True,True,False
mbpp_0755,Description_Simple,0.7,0.7,0.7,0.7,True,0.44522979855537415,0.2547702014446258,False,True,False,False,False
mbpp_0926,Description_Simple,0.4,0.4,0.4,0.4,False,0.6513466238975525,0.25134662389755247,False,False,True,False,False
mbpp_0881,Description_Simple,0.0,0.0,0.0,0.0,False,0.4720546007156372,0.4720546007156372,True,False,False,False,True
mbpp_0866,Description_Simple,1.0,1.0,1.0,1.0,True,0.6218243837356567,0.37817561626434326,True,True,True,True,False
mbpp_0907,Description_Simple,1.0,1.0,1.0,1.0,True,0.6806128025054932,0.31938719749450684,True,True,True,True,False
mbpp_0850,Description_Simple,0.2,0.2,0.2,0.2,False,0.4557109475135803,0.2557109475135803,True,False,False,False,True
mbpp_0455,Description_Simple,1.0,1.0,1.0,1.0,True,0.5764994025230408,0.42350059747695923,True,True,True,True,False
mbpp_0463,Description_Simple,0.7,0.7,0.7,0.7,True,0.7137168645858765,0.01371686458587651,True,True,True,True,False
mbpp_0074,Description_Simple,0.2,0.2,0.2,0.2,False,0.5008894205093384,0.30088942050933837,False,False,True,False,False
mbpp_0453,Description_Simple,0.0,0.0,0.0,0.0,False,0.7362945079803467,0.7362945079803467,False,False,True,False,False
mbpp_0031,Description_Simple,1.0,1.0,1.0,1.0,True,0.6647477746009827,0.33525222539901733,True,True,True,True,False
mbpp_0854,Description_Simple,1.0,1.0,1.0,1.0,True,0.5276293158531189,0.4723706841468811,True,True,True,True,False
mbpp_0129,Description_Simple,0.0,0.0,0.0,0.0,False,0.5810288786888123,0.5810288786888123,False,False,True,False,False
mbpp_0113,Description_Simple,0.8,0.8,0.8,0.8,True,0.5566356778144836,0.2433643221855164,True,True,True,True,False
mbpp_0469,Description_Simple,1.0,1.0,1.0,1.0,True,0.6511975526809692,0.34880244731903076,True,True,True,True,False
