Sub_Directory,Description_Type,Judge_1_Score,Judge_2_Score,Judge_3_Score,LLM_Average_Score,LLM_Consensus,ST_Similarity_Score,Score_Difference,Agreement,LLM_Success,ST_Success,Both_Success,Neither_Success
p00001,Description_Simple,1.0,1.0,1.0,1.0,True,0.4102945923805237,0.5897054076194763,False,True,False,False,False
p00002,Description_Simple,0.4,0.4,0.4,0.4,False,0.46664151549339294,0.06664151549339292,True,False,False,False,True
p00006,Description_Simple,1.0,1.0,1.0,1.0,True,0.2793046832084656,0.7206953167915344,False,True,False,False,False
p00003,Description_Simple,1.0,1.0,1.0,1.0,True,0.5677816867828369,0.4322183132171631,True,True,True,True,False
p02268,Description_Simple,1.0,1.0,1.0,1.0,True,0.21023744344711304,0.789762556552887,False,True,False,False,False
p00011,Description_Simple,0.1,0.1,0.1,0.1,False,0.2634257674217224,0.1634257674217224,True,False,False,False,True
p02255,Description_Simple,0.9,0.9,0.9,0.9,True,0.5792839527130127,0.3207160472869873,True,True,True,True,False
p00005,Description_Simple,1.0,1.0,1.0,1.0,True,0.5922976732254028,0.40770232677459717,True,True,True,True,False
p02260,Description_Simple,1.0,1.0,1.0,1.0,True,0.7308939099311829,0.26910609006881714,True,True,True,True,False
p00007,Description_Simple,1.0,1.0,1.0,1.0,True,0.41225937008857727,0.5877406299114227,False,True,False,False,False
p02264,Description_Simple,1.0,1.0,1.0,1.0,True,0.627109944820404,0.37289005517959595,True,True,True,True,False
p02256,Description_Simple,0.7,0.7,0.7,0.7,True,0.5272793769836426,0.17272062301635738,True,True,True,True,False
p02258,Description_Simple,1.0,1.0,1.0,1.0,True,0.43798238039016724,0.5620176196098328,False,True,False,False,False
p02263,Description_Simple,1.0,1.0,1.0,1.0,True,0.5921376347541809,0.4078623652458191,True,True,True,True,False
p02259,Description_Simple,1.0,1.0,1.0,1.0,True,0.7945996522903442,0.20540034770965576,True,True,True,True,False
p02257,Description_Simple,0.2,0.2,0.2,0.2,False,0.47822192311286926,0.27822192311286925,True,False,False,False,True
p02389,Description_Simple,1.0,1.0,1.0,1.0,True,0.1998005360364914,0.8001994639635086,False,True,False,False,False
p02388,Description_Simple,0.8,0.8,0.8,0.8,True,0.3071293830871582,0.49287061691284184,False,True,False,False,False
p02390,Description_Simple,0.8,0.8,0.8,0.8,True,0.4988608956336975,0.30113910436630253,False,True,False,False,False
p02393,Description_Simple,1.0,1.0,1.0,1.0,True,0.46224746108055115,0.5377525389194489,False,True,False,False,False
p02381,Description_Simple,0.1,0.1,0.1,0.1,False,0.40056365728378296,0.300563657283783,True,False,False,False,True
p02399,Description_Simple,0.8,0.8,0.8,0.8,True,0.4212718904018402,0.37872810959815983,False,True,False,False,False
p02396,Description_Simple,0.9,0.9,0.9,0.9,True,0.3408038020133972,0.5591961979866028,False,True,False,False,False
p02394,Description_Simple,1.0,1.0,1.0,1.0,True,0.68799889087677,0.31200110912323,True,True,True,True,False
p02404,Description_Simple,0.9,0.9,0.9,0.9,True,0.32363736629486084,0.5763626337051392,False,True,False,False,False
p02403,Description_Simple,0.9,0.9,0.9,0.9,True,0.3893946409225464,0.5106053590774536,False,True,False,False,False
p02401,Description_Simple,1.0,1.0,1.0,1.0,True,0.4580923318862915,0.5419076681137085,False,True,False,False,False
p02402,Description_Simple,1.0,1.0,1.0,1.0,True,0.29928407073020935,0.7007159292697906,False,True,False,False,False
p02400,Description_Simple,1.0,1.0,1.0,1.0,True,0.5921576619148254,0.40784233808517456,True,True,True,True,False
p02397,Description_Simple,1.0,1.0,1.0,1.0,True,0.2922153174877167,0.7077846825122833,False,True,False,False,False
